"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"616",5.967,-52.1500022888,3.415,45.6750015259,760,3.017,-51.1125038147,431.345,-75.2312561035,4.9646449054,97.8250038147,"Rorb-IRES2-Cre"
"619",5.61,-47.2656259537,3.52125,39.1093759537,0,3.09375,-42.6875009537,598.3225,-76.7890663147,3.5281314023,86.3750019074,"Cux2-CreERT2"
"629",5.42,-54.15625,3.84,32.3437538147,810,3.4,-53.2187538147,681.94,-81.7500076294,3.4530383473,86.5000038147,"Rorb-IRES2-Cre"
"643",4.865,-50.6875,3.28625,47.671877861,790,2.97875,-43.500002861,450.8175,-78.1796894073,4.4171658857,98.359377861,"Rorb-IRES2-Cre"
"646",5.16,-50.7937515259,3.451,41.1187522888,0,3.089,-49.3437522888,66.403,-71.7375045776,3.1691812909,91.9125038147,"Rbp4-Cre_KL100"
"653",5.215,-51.3177083333,3.39,45.2343762716,630,2.9633333,-44.5729173024,362.5608333,-75.4062512716,4.0443060928,96.5520846049,"Nr5a1-Cre"
"659",5.3408333,-53.9114596049,3.3733333,42.1875006358,489.999969482,3.0125,-48.4062519073,375.6741667,-76.1197929382,3.8169240581,96.0989602407,"Rorb-IRES2-Cre"
"679",5.066,-46.5875022888,3.31,43.7000030518,424,3.007,-48.5562515259,396.055,-75.0625,3.8570286445,90.2875053406,"Scnn1a-Tg3-Cre"
"698",6.85,-51.3489608765,3.4766667,43.4062531789,700,3.01,-45.4635448456,447.4033333,-73.0781288147,3.7104175381,94.7552140554,"Cux2-CreERT2"
"699",5.13875,-55.132815361,3.38875,31.7734384537,1060,3,-53.046877861,634.6175,-84.7187519073,3.4116822101,86.9062538147,"Nr5a1-Cre"
"725",5.186,-53.8562515259,3.485,46.6875022888,630,3.069,-47.6625030518,235.866,-76.0625030518,3.4410326392,100.543753815,"Ntsr1-Cre_GN220"
"736",5.225,-51.640625,3.53,40.804690361,850,3.125,-44.8046884537,587.28,-80.7421913147,3.7829078428,92.445315361,"Cux2-CreERT2"
"737",6.5933333,-46.1458358765,3.5866667,39.1562525431,390,3.0866667,-44.8854179382,406.16,-66.9687550863,4.0352812301,85.3020884196,"Ctgf-T2A-dgCre"
"756",5.095,-55.3515663147,3.34125,35.656252861,207.5,3.0125,-50.1953163147,402.44375,-75.1953144073,3.6942070171,91.0078191757,"Rorb-IRES2-Cre"
"759",4.709,-52.4062538147,3.298,47.6000007629,509.999969482,2.961,-44.3937507629,117.7,-69.6937530518,3.3569542082,100.006254578,"Nr5a1-Cre"
"767",6.775,-53.4000015259,3.494,43.0875,830,3.057,-47.2437530518,856.509,-77.4250030518,4.7944087703,96.4875015259,"Cux2-CreERT2"
"784",5.275,-48.8515634537,3.51875,29.9531259537,0,3.1025,-39.3984375,348.71,-70,2.6824267003,78.8046894074,"Scnn1a-Tg2-Cre"
"787",5.109,-55.4625022888,3.372,38.2875007629,880,2.952,-50.6125022888,495.931,-80.0500045776,3.0042710453,93.7500030517,"Ntsr1-Cre_GN220"
"795",4.7614286,-53.6562516349,3.335,33.0848219735,350,2.9585714,-44.5625016349,723.5285714,-66.0312521798,2.9864809094,86.7410736084,"Rorb-IRES2-Cre"
"820",5.508,-61.0437538147,3.5,40.8312515259,640,3.036,-49.7750007629,111.664,-77.7375030518,2.8444643211,101.875005341,"Scnn1a-Tg3-Cre"
"824",6.92,-51.9218788147,3.6075,41.2500019073,900,3.1225,-46.9687519073,565.0925,-78.1562538147,3.3718911394,93.171880722,"Rbp4-Cre_KL100"
"832",4.92,-51.5062522888,3.332,40.9687507629,720,2.968,-45.5500007629,523.88,-75.7375030518,3.7606988746,92.4750030517,"Nr5a1-Cre"
