"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"241",0.0031995565,16.6033898305,0.9703539823,32.46,3.3246066667,4.265,-58.78125,-56.0208358765,-61.2968788147,0.01172,31.48,3.3233266667,3.465,11.5312509537,9.7604169846,21.1875009537,235.625118017,0.0235721748,70,83.0416666667,290,31.14,3.32292,3.185,-38.4687538147,-34.7291692098,-42.4218759537,32.54,3.32502,362.515,-58.9375,-56.2812525431,-70.476568222,1.5697188572,1.4383912282,1.6742627065,-69.0758590698,"Nkx2-1-CreERT2",9.55324627213,60.2286647612,82.4843797684,70.3125009537,65.7812528611
"246",0.0215097192,60.3490625,0.2678926561,71.885,4.3152816667,4.48875,-64.8750076294,-60.6666704814,-64.187502861,0.016975,70.96,4.3143033333,3.3875,23.125,26.3437512716,23.1015634537,186.718642712,0.1274576187,100,107.83333079,430.000030518,70.615,4.3139483333,3.05375,-48.90625,-44.9791692098,-49.117190361,71.94,4.315415,390.12625,-64.96875,-60.8437512716,-77.0156326294,1.7228706028,1.7892661009,1.8291749198,-76.3768463135,"Sst-IRES-Cre",12.0585229506,16.5702656939,87.2890663147,88.0000076294,87.010421753
"248",-0.204913284,51.342,0.9805317777,295.315,11.2412966667,3.797,-64.84375,-62.7187525431,-65.9625,0.00982,294.795,11.24076,3.285,20.6875,25.4895846049,32.2875007629,93.5937836766,0.0973421112,320,281,112,294.53,11.240485,3.042,-36.78125,-33.8229179382,-45.2687515259,295.35,11.2413366667,254.855,-64.9375,-62.833337148,-73.9187515259,1.0492669235,1.1284611973,1.22354413,-72.8668365479,"Gad2-IRES-Cre",6.0174659318,19.4772311168,98.2500007629,85.53125,88.208337148
"259",0.0053025992,52.4047058824,0.3281249954,812.88,7.1394866667,7.3366667,-49.9375,-51.9895858765,-60.0364615122,0.08436,809.96,7.13638,3.4333333,26.9062519073,28.8229179382,29.8125009537,82.6562866569,0.0443052985,230,178.333333333,750,809.54,7.1359533333,3.0666667,-36.6875,-36.6562512716,-41.8333346049,817.92,7.1458933333,354.46,-52.0312538147,-54.7500012716,-76.6562525431,3.9792604023,4.1372714002,2.5753322441,-76.6352844238,"Ndnf-IRES2-dgCre",4.76388273059,19.0822557471,89.8489624659,76.8437519073,80.8125038147
"296",-0.0165641499,51.1505263158,0.1843406593,304.8,1.76916,5.43,-50.7500038147,-49.9843769073,-60.2812538147,0.01136,302.74,1.76721,3.44,16.78125,23.7343759537,29.9843759537,170.312494039,0.0800907835,70,44.1875,320,302.18,1.76669,3.1,-39.3437538147,-38.890625,-46.1875038147,305.9,1.77076,463.35,-51.0937538147,-50.4375019073,-74.296875,2.5551521951,2.6256495889,2.980521937,-73.2969207764,"Htr3a-Cre_NO152",11.1733582836,19.5501409668,90.2656297684,67.5312538147,73.718752861
"349",0.1579015491,38.5333333333,0.0308988764,36.58,3.5523133333,4.964,-51.4687538147,-46.9166692098,-53.8875022888,0.0118,35,3.5506266667,3.276,33.6250038147,26.8020846049,29.5562511444,193.437457085,0.0550305173,80,88.75,320,34.6,3.55012,2.908,-42.3750038147,-36.8854166667,-46.8312515259,36.68,3.56758,347.728,-51.53125,-48.2187525431,-72.3312545776,3.1612024479,2.6271524345,3.3139818348,-71.559135437,"Vip-IRES-Cre",12.0755784004,25.9515570934,83.4437534332,85.0937576294,73.7187538147
"352",0.0239337667,111.165,0.0859304091,192.3,4.68866,6.075,-49.0000038147,-49.5520846049,-51.8593788147,0.08058,188.12,4.68508,3.6,42.7812538147,45.0833358765,45.679690361,105.00010848,0.1081390157,130,117.125002543,1170,187.66,4.68462,3.205,-37.90625,-40.0000012716,-48.1250009537,229.62,4.7273333333,321.195,-56,-56.8437538147,-73.0000038147,4.6902212158,4.8255071228,4.7504634714,-72.03099823,"Chrna2-Cre_OE25",19.396197513,8.995637116,97.5390691757,91.7812576294,94.6354204814
"356",0.0131235671,60.1221875,0.2699356861,63.365,7.46237,8.193,-46.6250038147,-48.5625,-58.3125030518,0.02422,61.35,7.45848,3.395,28.9062519073,32.109375,31.3312515259,112.187504768,0.0678921714,190,186.4375,640,60.92,7.45799,2.99,-39.6875038147,-38.5468769073,-41.4625015259,71.605,7.4694575,475.88,-50.8125,-51.7812519073,-71.7000030518,3.0218314261,3.2456711885,2.2556877757,-70.7862167358,"Htr3a-Cre_NO152",6.83821743391,16.6327946733,89.6437545777,75.531255722,80.671875
"357",1,20.16,0.6658,42.4,5.7654,4.1266667,-60.8750038147,-52.40625,-61.9635454814,0.01342,41.6,5.7641,3.3333333,26.7812519073,10.9375009537,29.4895846049,283.437490463,0.0736826658,50,144.125,310,41.26,5.7636,3.0266667,-38.28125,-27.5625,-43.7500025431,42.52,5.76554,158.1433333,-60.9687538147,-52.5937538147,-63.8125025431,1.4801811082,1.053326711,1.6137147859,-62.6981468201,"Ndnf-IRES2-dgCre",25.9780140442,49.6031746032,91.4531300863,87.656255722,63.3437509537
"361",0.04197886,68.1230769231,0.2663265306,188.66,2.9292,4.97,-53.7812538147,-56.052087148,-56.6640644073,0.05456,187.18,2.9275666667,3.51,36.1562538147,35.0937525431,35.6875009537,184.218749404,0.0322502516,70,73.2083333333,820,186.76,2.9271266667,3.12,-40.21875,-42.9895833333,-45.9218759537,188.9,2.9368333333,512.335,-54.0625038147,-56.3229192098,-75.2265663147,2.8135972084,2.9003067668,2.8108172521,-74.6732559204,"Htr3a-Cre_NO152",24.5061665571,14.6793134598,92.351565361,89.9375076294,91.1458396911
"363",0.0442867069,92.924,0.2995321019,121.52,3.54934,4.6166667,-61.5937538147,-61.8229204814,-62.6979198456,0.0473,120.06,3.5477533333,3.5066667,42.5,43.6354204814,38.213543574,216.718822718,0.0732740611,110,88.7083333333,700,119.56,3.5472533333,3.0833333,-43.8125038147,-41.1979179382,-45.4062519073,121.7,3.5495466667,477.8133333,-61.8437538147,-62.0104192098,-72.8750038147,2.4281945647,2.4377206869,2.0688658956,-71.9751281738,"Chrna2-Cre_OE25",24.3527628332,10.7614825018,100.91146342,104.093753815,105.458340963
"403",0.0017407936,13.7625,0.6646874812,138.13,9.1381075,4.2316667,-58.6562538147,-57.1250019073,-61.9270858765,0.035345,137.175,9.1371925,3.4283333,8.75,17.7187509537,18.1979179382,95.9821417928,0.0352624357,209.999984741,228.437515259,0,136.82,9.1368575,3.1533333,-33.34375,-32.7187519073,-44.333337148,138.345,9.13871,427.1533333,-58.9375,-57.5781269073,-75.7395833333,1.1604599878,1.2377131195,1.3460910208,-75.1253509521,"Pvalb-IRES-Cre",11.5881878613,72.6612170754,80.1250038147,67.4062538147,74.843752861
"428",-0.0298406635,11.9627586207,1.4351851852,9.66,8.42514,4.044,-67.1875,-60.0729204814,-65.7500015259,0.0067,8.9,8.4242,3.236,14.3125009537,8.2708336512,13.2187503815,158.906280994,0.0123020681,150,210.625,330,8.56,8.4237866667,2.904,-50.15625,-40.7187512716,-51.0312530518,9.74,8.4251866667,556.792,-67.3750076294,-60.1666704814,-69.6687545776,1.3203843998,1.2995334901,1.4114069003,-68.9107208252,"Pvalb-IRES-Cre",9.27556419046,83.5927591375,78.9687519074,81.5000009537,68.3437541326
