"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"53",-0.0453611792,83.9513636364,0.2767352379,666.8,8.6316933333,8.391,-50.6875038147,-53.8125025431,-60.8375030518,0.063285,663.24,8.6277866667,3.523,21.375,26.9791679382,29.3875015259,96.2498858571,0.1156082377,230,215.708333333,760,662.775,8.6273683333,3.144,-34.59375,-35.6458346049,-42.9187515259,670.635,8.6373316667,119.618,-52.71875,-56.489587148,-74.2937561035,2.948517225,3.4432682918,2.4746186884,-73.3089828491,"Htr3a-Cre_NO152",5.9953477945,11.9116588068,90.2250045777,72.0625038147,80.7916704813
"64",0.0319007384,68.1142857143,0.2767857143,62.82,1.86732,5.2725,-48.4375038147,-44.2083346049,-50.484377861,0.02318,59.84,1.86524,3.4575,27.6562519073,31.6875006358,30.7500014305,381.116092205,0.0323237255,50,46.6666666667,410,59.28,1.8646333333,3.01,-35.1250038147,-30.9895846049,-40.6132845879,75.44,1.8858466667,257.7825,-52.9375038147,-52.5104192098,-62.7226605415,2.4101321443,2.2152280436,2.5170382486,-61.2463378906,"Chrna2-Cre_OE25",37.5600806138,14.6812080537,81.2343792915,76.093755722,75.8958352407
"65",0.012016623,25.8751351351,0.4754385998,127.18,0.578535,4.488,-52.3125,-53.6979179382,-57.5687522888,0.011025,126.16,0.577305,3.331,10.7812509537,14.614584287,14.7687509537,429.464250803,0.0329337977,10,14.4583330154,92,125.77,0.576895,2.967,-44.65625,-44.052087148,-45.8312522888,145.36,0.59139,584.589,-55.4062538147,-56.0104204814,-63.1812561035,1.8165165381,1.798190938,1.7545012615,-61.4177131653,"Htr3a-Cre_NO152",47.3079940834,38.6471411561,72.3375032425,63.0937509537,68.3125022252
"66",0.0313114025,43.6734090909,0.4428571429,111.345,1.0056883333,6.495,-39.875,-49.7604204814,-50.4687519073,0.02949,108.695,1.0019983333,3.6825,14.375,9.0312506358,2.84375,274.062603712,0.0039073336,50,25.0416666667,0,108.05,1.001205,3.1175,-37.09375,-46.2187525431,-39.5625,159.765,1.035805,586.105,-46.5,-52.3854179382,-64.3125,2.7535484331,3.2843303473,2.8410738781,-64.5871353149,"Htr3a-Cre_NO152",28.0869513051,22.8972278743,53.3125019073,54.25,58.7916711172
"68",0.0048987382,34.1567857143,0.5352867133,101.335,4.4786966667,4.43,-65.46875,-65.3125050863,-67.3125045776,0.014115,100.26,4.47777,3.37,22.53125,33.8541692098,29.2875019073,182.500004768,0.1197708249,100,111.958333333,380,99.9,4.4774033333,3.031,-45.53125,-44.3229204814,-46.4000007629,101.475,4.4788016667,23.153,-65.7187576294,-65.4479166667,-72.8187561035,1.7103609361,1.6934609688,1.7069360077,-71.7014846802,"Sst-IRES-Cre",10.9378135591,29.276759481,96.6000064849,88,99.1666742961
"71",-0.0168356848,51.3175,0.2532188891,510.66,3.3364066667,5.04,-53.6562538147,-53.114587148,-56.5750015259,0.14006,507.7,3.3335466667,2.852,26.5000019073,26.4479173024,29.5312511444,179.531320929,0.0298339929,110,83.3333333333,499.999969482,507.22,3.3330666667,2.484,-37.09375,-35.2708346049,-43.0687522888,512.54,3.3413533333,222.056,-54.5000038147,-55.1562538147,-68.1375061035,3.277697075,3.2931319956,2.6193813298,-67.0462722778,"Ndnf-IRES2-dgCre",19.1539949988,19.4865299362,86.1062526703,80.156255722,79.5625044504
"73",0.0021119329,8.4403418803,1.7409722222,12.08,4.27267,3.784,-65.78125,-65.09375,-64.2562530518,0.00582,11.52,4.27197,3.24,14.6875009537,13.2656259537,21.3187507629,98.9955067635,0.0657196864,330,106.75,336,11.2,4.27164,2.984,-37.5937538147,-41.4687519073,-48.3437515259,12.12,4.27272,157.052,-65.9062576294,-65.1875019073,-76.2125061035,1.0852792862,1.2854071248,1.3318430976,-74.5770797729,"Pvalb-IRES-Cre",8.68457655995,118.478613092,85.5750038147,80.4687509537,78.3593759537
"74",0.0287648843,49.6315789474,0.1913333333,74.48,2.84281,5.196,-48.96875,-44.8437519073,-50.9500007629,0.02754,71.68,2.84047,3.436,35.875,36.9843769073,36.5437522888,270.312130451,0.0580473505,70,71,710,71.18,2.8399,3,-40.5,-35.2656288147,-44.4125015259,92.42,2.87221,785.636,-53.7187538147,-54.2187519073,-78.5000045776,3.4984139427,2.9913936002,3.3282394175,-78.7274246216,"Chrna2-Cre_OE25",26.3619109762,20.1484623542,87.4937530517,84.84375,81.8281288146
"78",-0.0099461747,70.8661538462,0.1915019763,838.68,9.89632,7.78,-54.40625,-53.8125025431,-63.4609384537,0.04966,834.28,9.8927266667,3.425,28.3437519073,32.9375,33.445315361,84.3750014901,0.0581761338,290,247.33333842,840,833.88,9.89234,3.09,-32.9687538147,-33.6666679382,-39.2421894073,841.7,9.9006533333,132.265,-55.8750038147,-56.895837148,-75.8203144073,4.3216035135,4.2754700282,2.5683954669,-75.4689025879,"Htr3a-Cre_NO152",5.87087504062,14.1111086989,96.9062538147,82.7500019073,86.7500025431
"79",0.002774219,13.8646478873,0.7539651924,17.09,6.6963866667,4.28,-55.4687538147,-54.2604166667,-58.9427108765,0.008405,16.07,6.6953216667,3.38,13.03125,17.4270833333,21.2395836512,135.312616825,0.0169601105,160,167.375,0,15.705,6.6949283333,3.0958333,-33.40625,-30.1562512716,-41.5520839691,17.31,6.6964833333,223.265,-55.6250038147,-54.3541666667,-68.7447929382,1.4533911611,1.3753943484,1.5930840462,-68.6992721558,"Pvalb-IRES-Cre",7.93224649857,72.125885066,80.1822945277,68.5000038147,71.6875
"80",0.0161224236,27.0981818182,0.4368303571,30.46,2.92032,5.73,-49.625,-47.0104166667,-53.8750019073,0.01316,28.92,2.91876,3.76,18.5625019073,20.8333346049,15.828125,258.593797684,0.1468254179,90,72.9583282471,290,28.56,2.9183533333,3.41,-40.1875,-36.8125,-47.2343769073,30.5,2.92102,414.05,-49.6875,-47.3437538147,-75.8906326294,2.6421826655,2.6665714698,2.5165700738,-75.1858596802,"Vip-IRES-Cre",12.8784298339,36.9028448738,69.7031269073,68.1875019073,67.8437512716
"82",1,21.405,0.0382275144,64.25,4.4487516667,4.205,-58.625,-54.1875012716,-59.1953125,0.019825,63.315,4.4476983333,3.2975,32.15625,26.9062512716,32.4140639305,233.816966415,0.0327632576,90,111.166664123,450,62.975,4.4472983333,2.98125,-41.9375,-35.3958346049,-45.195315361,64.285,4.44884,795.085,-58.6875038147,-54.3750025431,-70.117193222,1.7674112725,1.5604233823,1.7677309963,-69.3228683472,"Htr3a-Cre_NO152",19.1087142287,46.7180565288,91.6093764305,90.78125,81.0937525432
"83",0.4922276637,325.006666667,0.7641952507,15.12,13.0831516667,4.2366667,-67.875,-60.6666679382,-67.9531262716,0.013895,14.235,13.0822583333,3.3316667,4.34375,17.3854173024,17.5000003179,82.8124955297,0.0359153226,270,327.041666667,226.666666667,13.93,13.08191,3.05,-47.53125,-32.5625,-45.6145852407,15.16,13.0832066667,655.8608333,-68.03125,-60.8333358765,-82.5989634196,1.5017895171,1.2959735445,1.4823086662,-83.3805465698,"Pvalb-IRES-Cre",5.73907481427,3.07685996185,85.4531265895,72.21875,78.0520852406
"90",0.0030900005,14.2991304348,0.3858872104,13.17,14.73947,4.8925,-54.46875,-50.0729204814,-56.380212148,0.008155,12.375,14.7376,3.2891667,16.6875019073,3.7916669846,17.6302089691,82.5000405312,0.0312513895,390,368.416666667,820,12.08,14.7371916667,3.0233333,-34.6875,-26.1354179382,-43.4479192098,13.275,14.7409983333,306.8966667,-54.6875038147,-51.270837148,-69.9375025431,1.4003167676,1.1283099568,1.5989405595,-69.6435470581,"Pvalb-IRES-Cre",7.87073364991,69.9343225492,74.0104211171,71.1562519073,53.864587466
"100",0.0084344899,36.0992592593,0.4800000127,27.64,6.6229266667,7.312,-47.4375038147,-46.3958358765,-56.9812530518,0.01428,26.02,6.6199,2.94,25,23.3125006358,27.5625011444,134.843826294,0.0294129495,190,165.5,700,25.64,6.6194066667,2.612,-31.5937519073,-33.03125,-35.4812522888,29.16,6.6270266667,320.548,-48.0625038147,-48.1041679382,-73.2375,2.7806876741,3.0894304586,2.6010461662,-72.8857345581,"Ndnf-IRES2-dgCre",9.04232449491,27.7013994336,84.5437541962,72.4375038147,69.7083365123
"104",0.0025449441,8.3008888889,1.3648704244,9.525,11.5587966667,4.2,-65.15625,-57.1875038147,-62.781252861,0.004955,8.965,11.5580283333,3.43375,25.5000019073,14.2187503179,16.2890629768,105.156250298,0.0280808564,370,288.958333333,0,8.68,11.557645,3.16125,-34.71875,-29.447918574,-41.6015663147,9.55,11.5588466667,678.995,-65.28125,-57.2708358765,-75.1718769073,1.1571953402,1.1058517755,1.3465538054,-74.0991973877,"Pvalb-IRES-Cre",7.76872792077,120.469026075,79.0703158378,90.6562519073,71.4062541326
"110",-0.0023096331,24.285,1.0592179284,9.815,11.2590783333,4.0175,-59.90625,-61.7812525431,-66.9791679382,0.006695,8.86,11.2583,3.1908333,-1,15.0625009537,13.2291671435,101.250037551,0.0176252462,310,281.458333333,433.333333333,8.585,11.2580133333,2.9466667,-39.5,-32.7291692098,-45.3281269073,9.835,11.2591366667,531.3425,-60.0000038147,-61.9166704814,-76.0625050863,1.5467735243,1.2199565626,1.4128399276,-75.108543396,"Pvalb-IRES-Cre",4.23919909702,41.1776816965,80.2083350817,58.90625,76.8437534968
"112",0.2219406227,55.24,0.194525554,44.62,5.17772,4.23,-64.96875,-59.2604192098,-63.4531288147,0.03324,43.72,5.1768333333,3.38,30.7812519073,34.8229166667,32.84375,132.656246424,0.1843403727,170,129.416666667,890,43.34,5.1764866667,3.075,-46.1562538147,-39.8229204814,-45.0000019073,44.68,5.1777733333,282.71,-65.0000076294,-59.3437538147,-74.2500038147,1.9211690004,1.9883128947,1.9522777167,-73.6015090942,"Sst-IRES-Cre",19.5277364589,18.1028240406,96.2968788147,95.7500019073,94.0833358765
"120",0.274982113,41.93,0.0192418887,214.58,2.22909,5.54,-44.3750038147,-43.984375,-53.5937519073,0.02564,212.52,2.2271,3.5075,32.7500038147,32.53125,40.7890634537,174.374997616,0.0474362895,50,55.6875,360,212.06,2.22661,3.1275,-37.0312538147,-36.015625,-44.7500009537,311.42,32.89256,643.965,-51.8750038147,-70.7343788147,-74.3789100647,3.3627786398,3.1779604285,3.5367902517,-73.5498428345,"Chat-IRES-Cre-neo",11.7746910685,23.8492725972,94.382815361,77.1250076294,76.515625
"121",1,1000,0.0067287786,44.96,4.34102,5.46,-44.3750038147,-41.9296884537,-49.1250038147,0.01486,43.24,4.338955,3.57,22.4375019073,21.7578139305,22.5625009537,239.687502384,0.0489184335,90,108.437494278,340,42.76,4.338175,3.14,-35.40625,-29.2421894073,-39.3437519073,80.78,4.34122,685.17,-45.375,-42.015625,-73.6093788147,2.6704405879,1.9941455018,2.8718069181,-73.0588912964,"Chat-IRES-Cre-neo",12.5838858687,1,71.6875047684,66.812505722,63.6875023842
