"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"184",3.8737916667,-57.3854192098,3.8711683333,40.1979192098,96.7499974569,3.870665,-41.8020846049,3.91345,-62.1979192098,3.5995495951,97.5833384196,"Rbp4-Cre_KL100"
"190",5.7213533333,-45.6875012716,5.7192083333,47.71875,142.958328247,5.7188333333,-40.8958346049,5.7901166667,-53.6979204814,4.2980526995,93.4062512716,"Rbp4-Cre_KL100"
"191",9.2124866667,-47.020837148,9.2075533333,37.3229179382,230.166666667,9.2069133333,-34.7395846049,9.2259733333,-51.770837148,4.400859881,84.3437550862,"Ctgf-T2A-dgCre"
"195",3.84926,-48.7395858765,3.84726,40.2708346049,96.1666666667,3.8468533333,-34.1250038147,3.8739666667,-55.7916704814,3.5790734756,89.0104204814,"Cux2-CreERT2"
"200",3.15222,-46.0312512716,3.1481466667,28.3541679382,78.7083333333,3.1475366667,-37.2083346049,3.1978,-54.0520858765,4.3875852558,74.3854192098,"Rorb-IRES2-Cre"
"206",1.0063266667,-46.5937512716,1.0036133333,37.6979179382,25.0833326976,1.00312,-34.7708333333,1.0338733333,-55.0104192098,3.384262875,84.2916692098,"Rbp4-Cre_KL100"
"208",2.8486416667,-50.5416704814,2.846825,38.2187512716,71.1249974569,2.84646,-36.9166679382,2.8879183333,-57.4062525431,3.388868911,88.760421753,"Scnn1a-Tg3-Cre"
"209",7.49848,-45.6979192098,7.4965783333,42.5000012716,187.374994914,7.4960116667,-29.0000019073,7.521385,-47.5312525431,2.1037421171,88.1979204814,"Ntsr1-Cre_GN220"
"210",1.5828733333,-51.8645858765,1.5808133333,45.3645858765,39.4583333333,1.5803866667,-36.2500012716,1.5997133333,-57.0104204814,3.7250987515,97.229171753,"Scnn1a-Tg3-Cre"
"211",6.23717,-47.2604179382,6.235215,46.1041692098,155.833333333,6.2348566667,-35.5000012716,6.2581533333,-53.239587148,3.9233688707,93.364587148,"Rorb-IRES2-Cre"
"215",3.2212066667,-44.5312525431,3.2194416667,41.0937512716,80.4583333333,3.2190616667,-32.8333346049,3.2441016667,-51.9583358765,2.9897993001,85.6250038147,"Cux2-CreERT2"
"219",2.1002016667,-51.0104192098,2.0986016667,39.3541679382,52.4583320618,2.0980966667,-42.5000038147,2.1328466667,-54.2812512716,2.4828724092,90.364587148,"Rbp4-Cre_KL100"
"221",12.8979016667,-44.1041666667,12.8916433333,21.7291679382,322.25,12.8908616667,-29.7291673024,12.9145083333,-49.4270858765,2.652842375,65.8333346049,"Rorb-IRES2-Cre"
"224",2.6858533333,-51.8437525431,2.6821133333,37.8750012716,67.0416666667,2.68166,-35.9166666667,2.7052266667,-58.6562525431,3.802911229,89.7187538147,"Rorb-IRES2-Cre"
"229",2.2155783333,-48.8750012716,2.2124866667,45.5729166667,55.3333346049,2.2120866667,-37.8958358765,2.253265,-57.3541704814,4.2779831474,94.4479179383,"Rorb-IRES2-Cre"
"231",3.6214,-50.4166679382,3.6195183333,49.4375038147,90.5,3.6191666667,-39.2395846049,3.6508333333,-57.8854166667,4.3763501976,99.8541717529,"Rorb-IRES2-Cre"
"234",1.12802,-44.1875,1.124635,39.5,28.125,1.123995,-37.3125,1.195035,-52.875,2.9634292559,83.6875,"Rorb-IRES2-Cre"
"236",2.2820183333,-51.6041704814,2.27834,46.4062525431,56.9166666667,2.2777966667,-34.4895846049,2.3057883333,-58.0520858765,3.8803080459,98.0104230245,"Ntsr1-Cre_GN220"
"239",2.141575,-51.2812538147,2.1393983333,35.1250012716,53.5000012716,2.138965,-35.2083358765,2.1722566667,-60.6666679382,3.0120864214,86.4062550863,"Scnn1a-Tg2-Cre"
"240",4.00867,-47.1250012716,4.006265,42.5729166667,100.125,4.0057966667,-37.2604192098,4.04657,-57.520837148,3.1817626143,89.6979179383,"Rbp4-Cre_KL100"
"244",3.85002,-47.4062525431,3.8475266667,45.5416692098,96.1666666667,3.8470933333,-36.3541679382,3.8913733333,-54.4270858765,4.493890238,92.9479217529,"Rorb-IRES2-Cre"
"245",0.7699666667,-48.9270858765,0.76655,38.5520833333,19.1666666667,0.76609,-34.4479166667,0.810165,-59.6562512716,3.8004989787,87.4791692098,"Scnn1a-Tg3-Cre"
"247",4.45531,-49.0729192098,4.4534383333,33.9791666667,111.333333333,4.453,-36.7083333333,4.4751066667,-53.9583346049,2.7734693276,83.0520858765,"Nr5a1-Cre"
"251",7.12928,-44.1666692098,7.1277466667,33.1145839691,178.208333333,7.1272533333,-30.9687525431,7.151265,-48.0416692098,2.1418234579,77.2812531789,"Ntsr1-Cre_GN220"
"255",4.01061,-54.1979192098,4.0052016667,29.5729173024,100.125,4.0046866667,-38.2500012716,4.043655,-60.3437538147,4.0130559841,83.7708365122,"Rorb-IRES2-Cre"
"256",0.95948,-54.7812519073,0.95783,42.5937538147,23.9375,0.9573975,-42.875,0.996675,-60.0156288147,2.981056576,97.375005722,"Nr5a1-Cre"
"257",4.1064533333,-49.4166692098,4.1044933333,44.3854179382,102.5,4.1040933333,-35.1145858765,4.1269466667,-54.5937512716,3.5144191329,93.802087148,"Cux2-CreERT2"
"258",3.01784,-52.0937512716,3.0160666667,37.3750012716,75.375,3.0156133333,-43.3958346049,3.0694666667,-57.895837148,3.0341228205,89.4687525432,"Rbp4-Cre_KL100"
"260",7.0426083333,-47.2187525431,7.0408066667,42.8229179382,176,7.0403566667,-31.9270852407,7.0640783333,-51.2291679382,2.5102833192,90.0416704813,"Ntsr1-Cre_GN220"
"264",1.9692266667,-49.4687512716,1.96661,47.3541692098,49.1666666667,1.966245,-37.625,1.9982533333,-56.3541704814,5.118272089,96.8229204814,"Rorb-IRES2-Cre"
"266",1.9139866667,-52.6458358765,1.90958,42.4270858765,47.75,1.90908,-36.0104179382,1.9337333333,-58.6979204814,4.3618932875,95.072921753,"Cux2-CreERT2"
"267",3.5315883333,-49.5312512716,3.5297666667,43.25,88.25,3.529365,-38.5625012716,3.56141,-55.4479179382,3.3814930799,92.7812512716,"Rorb-IRES2-Cre"
"270",11.4843966667,-43.9791666667,11.4824933333,23.8645846049,287.041666667,11.4816866667,-29.7916679382,11.50623,-47.6250025431,1.7891355966,67.8437512716,"Ntsr1-Cre_GN220"
