"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"70",0.0455503957,94.072,0.2083333387,253.52,5.0158266667,5.3333333,-52.5000038147,-54.4583346049,-57.9166704814,0.05872,251.62,5.01404,3.5466667,46.5,47.8333358765,43.645837148,149.151861668,0.1280240119,150,125.33333079,580,251.18,5.0135666667,3.1533333,-34.0312538147,-36.4270858765,-44.3333346049,259.72,5.02588,63.3333333,-53.03125,-55.9270846049,-73.5625025431,2.8329930535,2.7116600364,2.661199136,-73.0108566284,"Ntsr1-Cre_GN220",11.782991498,10.6301556255,101.562507629,99.0000038147,102.291670481
"76",0.0503965892,76.6381818182,0.121361509,102.04,3.57284,5.6,-46.59375,-44.7395833333,-54.0625038147,0.05434,98.18,3.5700866667,3.25,36.375,38.7291666667,40.5156288147,202.812537551,0.062282633,130,89.25,800,97.72,3.5695866667,2.87,-32.21875,-32.4479198456,-47.0156288147,117.68,3.6033,502.88,-51.375,-54.4166704814,-78.0781288147,4.2642714544,3.7955504783,4.1365961772,-77.232673645,"Cux2-CreERT2",20.7574754721,13.0483262556,94.5781326294,82.96875,83.46875
"77",0.1291978713,50.5925,0.1235294036,61.785,3.6402683333,9.433,-49.6562538147,-47.9583346049,-59.5562530518,0.03008,57.925,3.63592,3.451,29.59375,33.8541692098,38.1750022888,124.062463641,0.0150359999,190,90.875,344.000024414,57.37,3.6353916667,3.016,-37.5,-35.7916679382,-49.2875015259,74.28,3.6757766667,329.609,-54.1875038147,-55.020837148,-80.4687530518,3.8895726102,3.998154499,4.7665922507,-80.3704452515,"Cux2-CreERT2",17.1659822889,19.7657755596,97.7312553406,79.2500038147,81.8125038147
"85",1,1000,0.01461039,44.94,7.9977666667,5.31,-43.40625,-40.6041679382,-54.125,0.02006,42.88,7.9959466667,3.47,28.1875019073,32.8125,32.2656269073,194.218784571,0.1414680332,190,199.916666667,690,42.26,7.99526,3.01,-29.2187519073,-28.6666679382,-46.5312538147,797.86,8.01752,605.2,-46.65625,-45.8750012716,-78.0937576294,2.1574245857,2.0307934004,3.0121027887,-77.8036346436,"Ntsr1-Cre_GN220",17.9649075208,1,86.3906269073,71.5937519073,73.4166679382
"87",0.0640748559,98.0666666667,0.179113936,160.315,2.34348,6.4566667,-47.5937538147,-47.0208346049,-52.9791679382,0.061335,155.715,2.3399666667,3.52,35.6250038147,40.3958346049,39.7187525431,208.906248212,0.0733392835,70,58.5,770,155.15,2.3394283333,3.0416667,-37.40625,-37.4166679382,-46.5520858765,204.55,2.3837166667,293.3183333,-53.6562538147,-55.458337148,-74.9270858765,4.1967505762,3.9828134155,3.9572650136,-72.9885177612,"Cux2-CreERT2",27.6165733133,10.1971447995,92.6979204813,83.2187576294,87.4166692098
"88",0.110505779,90.435,0.1218390805,176.73,2.44798,5.33125,-47.9375,-48.65625,-50.6171894073,0.05537,173.86,2.44545,3.50375,35.90625,37.53125,37.296875,186.875000596,0.0202918146,90,61.125,830,173.38,2.44498,3.09125,-33.5625,-33.6875038147,-43.09375,205.11,2.47128,802.48375,-54.40625,-55,-74.8984394073,3.1423566242,3.0306799947,3.4011178458,-75.2422332764,"Nr5a1-Cre",24.2792770492,11.0576657268,87.9140644073,83.84375,86.1875
"89",0.227778151,72.46,0.0696428441,89.16,4.2767183333,4.6983333,-50.2812538147,-49.9062525431,-52.9375012716,0.024765,87.395,4.2748983333,3.2066667,41.1250038147,44.1666692098,44.1979179382,109.218865633,0.0487773642,170,106.916671753,610,86.97,4.27447,2.8616667,-39.1250038147,-37.1145833333,-48.1666679382,109.015,4.3158516667,368.025,-53.84375,-56.6354192098,-70.28125,3.2390660332,3.3374489963,3.804037551,-69.3731918335,"Cux2-CreERT2",13.2480858952,13.8007176373,97.1354192098,91.4062576294,94.0729217529
"91",1,1000,0.1299973091,15.295,7.741275,5.5125,-51.9687538147,-46.2916679382,-52.932293574,0.00522,13.185,7.7392533333,3.4708333,31.0000019073,26.9687519073,34.2708339691,100.000038743,0.0120830201,140,193.41666158,260,12.705,7.7385966667,3.0283333,-42.65625,-34.2604179382,-46.4427102407,15.605,7.755585,29.555,-52.25,-47.895837148,-59.4322948456,2.7462963644,1.99134582,3.0003606778,-57.3023872375,"Rorb-IRES2-Cre",8.48381375018,1,87.2031275431,82.968755722,73.2604198455
"93",0.0752613537,109.455,0.1596650892,182.305,2.2078466667,5.206,-46.0625038147,-47.2291692098,-49.1562522888,0.064345,179.685,2.2055733333,3.385,46.03125,47.7812525431,45.0875022888,233.281329274,0.1183055267,50,55.125,800,179.225,2.2050966667,2.991,-37.40625,-37.7916679382,-44.7500022888,255.735,2.2528216667,548.509,-55.6875038147,-56.145837148,-74.4437561035,3.6236248733,3.513540135,3.9519837346,-73.0314865112,"Rorb-IRES2-Cre",30.4840765486,9.13617468366,94.2437545776,92.0937538147,95.0104217529
"94",1,49.28,0.0707386364,67.56,4.8708866667,4.8533333,-48.5,-44.8541666667,-50.9062519073,0.03072,65.86,4.8692533333,3.3566667,36.1562538147,31.0416673024,37.8906262716,220.156252384,0.1936496496,70,121.66666158,650,65.42,4.8686533333,2.9566667,-40.9687538147,-32.1770846049,-47.8541692098,97.84,4.89192,492.96,-56.2187538147,-53.958337148,-76.1354230245,2.8178060899,1.8692291679,3.2438825818,-75.2548217773,"Scnn1a-Tg3-Cre",24.715286411,20.2922077922,88.7968781789,84.6562538147,75.8958339691
"95",0.0543448402,77.4791666667,0.1738764199,155.68,4.78178,5.108,-46.5625038147,-47.2916704814,-50.5125015259,0.048245,153.84,4.7801866667,3.416,44.1875,50.1562538147,50.2125015259,121.562540531,0.1921915859,120.000007629,119.499992371,979.999938965,153.435,4.7798,3.054,-43,-39.2916679382,-46.2500022888,206.765,4.8251033333,93.651,-57.0000038147,-54.1250025431,-72.2250030518,3.7168961468,3.8413954768,3.5774376865,-70.8589324951,"Rbp4-Cre_KL100",17.6999565475,12.9066953482,100.725003052,90.7500038147,97.4479242961
"96",0.0083711584,138.005,0.1679961244,87.815,3.37875,4.8233333,-50.34375,-51.3593769073,-53.7187531789,0.05319,85.79,3.3770425,3.2933333,37.7812538147,41.875,39.5468762716,85.9374776483,0.1082189828,130,84.375,920,85.39,3.376665,2.9666667,-42.03125,-42.7187519073,-48.9583346049,119.105,3.415555,189.0991667,-58.21875,-58.3906288147,-70.9062525431,3.5580965198,3.2268222561,3.6303314586,-70.4233016968,"Rbp4-Cre_KL100",10.9784275589,7.24611427122,93.2656294505,88.1250038147,93.2343769073
"97",0.0201171852,65.7785714286,0.1890661903,539.56,3.33376,6.1266667,-52.6562538147,-51.8437525431,-55.1979192098,0.05602,536.56,3.3306933333,3.5933333,37.0625038147,35.3750012716,34.5937512716,148.437619209,0.0588746518,59.9999961853,83.25,0,535.98,3.3301133333,3.1066667,-41.0312538147,-40.2083333333,-42.8750012716,606.66,3.3786666667,504.4666667,-62.375,-56.9479192098,-79.1875050863,3.685256854,3.6073560039,3.7050475115,-78.7241210938,"Rorb-IRES2-Cre",18.8904002954,15.2025192746,89.7916704814,89.7187576294,87.2187538147
"98",0.5957585165,293.97,0.2038612644,63.9,3.5237666667,5.698,-46.6875038147,-45.78125,-52.0937522888,0.02812,61.37,3.5213916667,3.52,37.25,37.8854192098,39.1000015259,248.125046492,0.178474471,90,88.0416666667,530,60.745,3.520735,3.013,-37,-36.5520846049,-48.7562522888,73.475,3.5520966667,556.521,-48.4687538147,-50.5104192098,-72.9187561035,2.754261032,2.6133343996,3.1924265565,-72.4742507935,"Rorb-IRES2-Cre",22.1116708312,3.40170765724,91.1937538147,83.9375038147,83.6666692098
"99",0.0187310267,49.4557894737,0.2459748145,399.255,1.96699,5.2766667,-54.3125,-49.0937512716,-54.4010416667,0.03755,397.325,1.9649716667,3.4383333,39.625,45.3229179382,39.8593756358,195.937529206,0.0292322263,50,49.125,105,396.83,1.9645383333,3.0325,-41.5000038147,-36.3854179382,-42.651043574,440.715,2.0046166667,452.04,-61.1875038147,-52.4062512716,-80.1718762716,3.3482350151,3.7882966343,3.4824437894,-78.8551330566,"Scnn1a-Tg3-Cre",21.92828359,20.2200796033,94.2604173025,93.9375,94.4166692098
"101",0.1864363974,133.743333333,0.1182619205,96.105,2.7646833333,4.762,-42.0937538147,-43.5729192098,-47.3062530518,0.04158,94.44,2.76313,3.28,37.8125,41.9270858765,40.0437530518,154.218822718,0.1746139079,70,69.0833333333,568,94.035,2.76272,2.93,-40.1562538147,-41.0000025431,-43.2062507629,96.235,2.7647566667,170.634,-42.28125,-43.7083346049,-67.4312515259,3.345482063,3.3462739757,3.4425334928,-66.1993484497,"Rbp4-Cre_KL100",22.5543011985,7.47700819979,87.3500061036,79.9062538147,85.5000050863
"111",0.0297156416,49.5855263158,0.2057377049,53.79,1.4559375,5.3316667,-50.7500038147,-47.203125,-53.5000012716,0.021885,51.875,1.4535425,3.495,26.84375,34.03125,30.0729173024,267.968744039,0.1623771042,50,36.3125,410,51.38,1.453055,3.0866667,-41.6562538147,-34.921875,-46.9270846049,60.365,1.488675,250.2566667,-51.6875,-54.5625,-73.71875,2.6286820771,2.8669443365,2.8628917349,-73.1547622681,"Scnn1a-Tg3-Cre",26.0993637697,20.1671752687,83.572918574,77.5937538147,81.234375
"113",0.0278465493,151.652,0.1074452029,261.2,6.7423466667,6.0533333,-49.4062538147,-51.1250025431,-48.3541704814,0.08578,257.04,6.7388866667,3.6133333,40.03125,49.6666679382,41.2500012716,99.06257689,0.0279425401,130,168.458333333,1190,256.48,6.7384066667,3.1533333,-39.7500038147,-40.5104179382,-42.0416692098,307,6.76842,621.1466667,-57.59375,-56.427087148,-75.7083384196,4.0615370028,4.6145018645,4.034912342,-75.1433410645,"Ctgf-T2A-dgCre",18.6710725472,6.59404425923,89.604171753,89.4375038147,100.791670481
"115",0.288858289,147.79,0.1621387283,31.765,2.560725,10.045,-49.1875,-47.8125038147,-54.5625,0.01549,26.835,2.55477,3.51,33,42.40625,43.21875,58.2812875509,0.0498790592,190,63.8750038147,0,26.235,2.55418,3.04,-40.34375,-34.59375,-42.5,37.575,2.573095,65.43,-50.875,-51.1562538147,-64.53125,5.2611661773,5.3864399823,5.9495754457,-63.5755844116,"Scnn1a-Tg2-Cre",17.0602466832,6.76635766967,97.78125,82.1875,90.2187538147
