"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"88",0.110505779,90.435,0.1218390805,0.05537,186.875000596,0.0202918146,24.2792770492,-75.2422332764,11.0576657268,176.73,-47.9375,173.86,35.90625,90,173.38,-33.5625,205.11,-54.40625,3.1423566242,83.84375,"Nr5a1-Cre"
"89",0.227778151,72.46,0.0696428441,0.024765,109.218865633,0.0487773642,13.2480858952,-69.3731918335,13.8007176373,89.16,-50.2812538147,87.395,41.1250038147,170,86.97,-39.1250038147,109.015,-53.84375,3.2390660332,91.4062576294,"Cux2-CreERT2"
"91",1,1000,0.1299973091,0.00522,100.000038743,0.0120830201,8.48381375018,-57.3023872375,1,15.295,-51.9687538147,13.185,31.0000019073,140,12.705,-42.65625,15.605,-52.25,2.7462963644,82.968755722,"Rorb-IRES2-Cre"
"93",0.0752613537,109.455,0.1596650892,0.064345,233.281329274,0.1183055267,30.4840765486,-73.0314865112,9.13617468366,182.305,-46.0625038147,179.685,46.03125,50,179.225,-37.40625,255.735,-55.6875038147,3.6236248733,92.0937538147,"Rorb-IRES2-Cre"
"94",1,49.28,0.0707386364,0.03072,220.156252384,0.1936496496,24.715286411,-75.2548217773,20.2922077922,67.56,-48.5,65.86,36.1562538147,70,65.42,-40.9687538147,97.84,-56.2187538147,2.8178060899,84.6562538147,"Scnn1a-Tg3-Cre"
"95",0.0543448402,77.4791666667,0.1738764199,0.048245,121.562540531,0.1921915859,17.6999565475,-70.8589324951,12.9066953482,155.68,-46.5625038147,153.84,44.1875,120.000007629,153.435,-43,206.765,-57.0000038147,3.7168961468,90.7500038147,"Rbp4-Cre_KL100"
"96",0.0083711584,138.005,0.1679961244,0.05319,85.9374776483,0.1082189828,10.9784275589,-70.4233016968,7.24611427122,87.815,-50.34375,85.79,37.7812538147,130,85.39,-42.03125,119.105,-58.21875,3.5580965198,88.1250038147,"Rbp4-Cre_KL100"
"97",0.0201171852,65.7785714286,0.1890661903,0.05602,148.437619209,0.0588746518,18.8904002954,-78.7241210938,15.2025192746,539.56,-52.6562538147,536.56,37.0625038147,59.9999961853,535.98,-41.0312538147,606.66,-62.375,3.685256854,89.7187576294,"Rorb-IRES2-Cre"
"98",0.5957585165,293.97,0.2038612644,0.02812,248.125046492,0.178474471,22.1116708312,-72.4742507935,3.40170765724,63.9,-46.6875038147,61.37,37.25,90,60.745,-37,73.475,-48.4687538147,2.754261032,83.9375038147,"Rorb-IRES2-Cre"
"99",0.0187310267,49.4557894737,0.2459748145,0.03755,195.937529206,0.0292322263,21.92828359,-78.8551330566,20.2200796033,399.255,-54.3125,397.325,39.625,50,396.83,-41.5000038147,440.715,-61.1875038147,3.3482350151,93.9375,"Scnn1a-Tg3-Cre"
"101",0.1864363974,133.743333333,0.1182619205,0.04158,154.218822718,0.1746139079,22.5543011985,-66.1993484497,7.47700819979,96.105,-42.0937538147,94.44,37.8125,70,94.035,-40.1562538147,96.235,-42.28125,3.345482063,79.9062538147,"Rbp4-Cre_KL100"
"111",0.0297156416,49.5855263158,0.2057377049,0.021885,267.968744039,0.1623771042,26.0993637697,-73.1547622681,20.1671752687,53.79,-50.7500038147,51.875,26.84375,50,51.38,-41.6562538147,60.365,-51.6875,2.6286820771,77.5937538147,"Scnn1a-Tg3-Cre"
"113",0.0278465493,151.652,0.1074452029,0.08578,99.06257689,0.0279425401,18.6710725472,-75.1433410645,6.59404425923,261.2,-49.4062538147,257.04,40.03125,130,256.48,-39.7500038147,307,-57.59375,4.0615370028,89.4375038147,"Ctgf-T2A-dgCre"
"115",0.288858289,147.79,0.1621387283,0.01549,58.2812875509,0.0498790592,17.0602466832,-63.5755844116,6.76635766967,31.765,-49.1875,26.835,33,190,26.235,-40.34375,37.575,-50.875,5.2611661773,82.1875,"Scnn1a-Tg2-Cre"
"116",0.0127354028,46.165,0.2849806132,0.05064,189.107134938,0.0259323791,22.8357900394,-77.3416595459,21.6614318206,206.32,-48.5,204.51,31.6875019073,59.9999961853,204.04,-39.4375038147,243.295,-55.15625,2.937839269,80.1875019073,"Scnn1a-Tg3-Cre"
"118",0.0145937569,63.3460714286,0.1823616584,0.06211,210.624992847,0.2835232019,25.0833391584,-68.5026245117,15.7862986204,482.145,-48.96875,479.03,36.0625,59.9999961853,478.4,-38.5625038147,529.615,-54.71875,3.3291524076,85.03125,"Rorb-IRES2-Cre"
"119",0.0135167677,56.1635294118,0.2239130435,0.04022,217.187687755,0.0523097552,25.8783158023,-70.7851715088,17.8051488301,233.94,-48.5625,230.92,44.125,50,230.48,-33.6875038147,258.52,-56.46875,3.8047895317,92.6875,"Cux2-CreERT2"
"123",0.0180185396,46.556,0.2642649763,0.035175,212.031289935,0.0468316674,26.5532295727,-73.9191589355,21.4795085488,210.72,-47.5937538147,208.6,38.4687538147,70,208.2,-36.0937538147,233.81,-55.4687538147,3.0987129734,86.0625076294,"Cux2-CreERT2"
"124",0.0362674315,62.1703333333,0.2393501805,0.02706,162.812381983,0.1168040186,19.4287140851,-73.9795761108,16.0848421809,54.79,-46.4375,52.995,36.375,150,52.59,-34.625,64.44,-49.21875,2.7614619912,82.8125,"Rorb-IRES2-Cre"
