"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"51",149.066784,118.080377579,0.0944587662816,-80.6250076294,-68.4131774902,72.5000030518,"Excitatory",3.40693833333,-45.6770846049,3.40511666667,33.3437506358,59.5833333333,3.404635,-42.1562512716,3.44091,-48.7604192098,3.04381741532
"53",128.370248,96.2498858571,0.115608237684,-84.0312576294,-73.3089828491,90.2250045776,"Inhibitory",9.65169333333,-53.8125025431,9.64778666667,26.9791679382,215.708333333,9.64736833333,-35.6458346049,9.65733166667,-56.489587148,3.44326829177
"56",245.483136,342.343896627,0.0631874278188,-97.7812576294,-71.8004760742,85.6937526703,"Excitatory",2.31538666667,-48.3645858765,2.313565,39.5,32.3333333333,2.31306,-37.6250025431,2.35563166667,-54.5416692098,2.89224148624
"57",244.460368,178.28117311,0.0534816235304,-96.09375,-79.4305877686,87.867190361,"Excitatory",3.69296166667,-45.8437525431,3.69031,37.8958358765,66.75,3.689865,-32.3958339691,3.73089666667,-57.1666679382,3.38663802001
"60",89.69156,116.718634963,0.101548105478,-86.96875,-73.244430542,76.2031254768,"Excitatory",6.009055,-44.2916679382,6.00630666667,32.8229166667,124.625,6.00588833333,-34.9270833333,6.04769333333,-56.0208333333,3.04764947117
"61",141.49072,136.87504828,0.204059511423,-82.21875,-68.0052108765,90.3812561035,"Excitatory",5.03284666667,-48.5208358765,5.03032,40.3333358765,100.25,5.02985666667,-43.4687512716,5.093455,-56.5312538147,4.17568735203
"63",121.629184,114.375077188,0.00830821041018,-87.96875,-74.8086242676,92.8875038147,"Excitatory",6.78996666667,-42.2812525431,6.78766,42.1666679382,144.208333333,6.78714666667,-32.5208333333,6.82152,-49.9479179382,3.59775787553
"64",295.471392,381.116092205,0.0323237255216,-97.2500076294,-61.2463378906,81.2343792915,"Inhibitory",2.88732,-44.2083346049,2.88524,31.6875006358,46.6666666667,2.88463333333,-30.9895846049,2.90584666667,-52.5104192098,2.21522804361
"65",457.05392,429.464250803,0.0329337976873,-101.125,-61.4177131653,72.3375032425,"Inhibitory",1.598535,-53.6979179382,1.597305,14.614584287,14.4583330154,1.596895,-44.052087148,1.61139,-56.0104204814,1.798190938
"68",184.539952,182.500004768,0.119770824909,-92.1875,-71.7014846802,96.600006485,"Inhibitory",5.49869666667,-65.3125050863,5.49777,33.8541692098,111.958333333,5.49740333333,-44.3229204814,5.49880166667,-65.4479166667,1.69346096879
"69",190.300928,200.468793511,0.0824973285198,-88.1875,-67.3841094971,91.6250061035,"Excitatory",3.26562,-49.6250025431,3.26278666667,36.1458358765,56.0833320618,3.26232,-37.9791679382,3.30112666667,-56.1041679382,3.72127105784
"70",264.798528,149.151861668,0.12802401185,-89.5312576294,-73.0108566284,101.562507629,"Excitatory",6.03582666667,-54.4583346049,6.03404,47.8333358765,125.33333079,6.03356666667,-36.4270858765,6.04588,-55.9270846049,2.71166003642
"71",222.887792,179.53132093,0.0298339929432,-86.7812576294,-67.0462722778,86.1062526703,"Excitatory",4.35640666667,-53.114587148,4.35354666667,26.4479173024,83.3333333333,4.35306666667,-35.2708346049,4.36135333333,-55.1562538147,3.29313199563
