"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"531",233.522944,305.937498808,0.0182690694928,-95.5000076294,-61.8339958191,"Ctgf-T2A-dgCre",10.8394033992,1.97142666667,-50.4166666667,1.96985333333,41.7187512716,23.75,1.96936,-37.8750025431,1.98784666667,-52.6875025431,3.04360942763
"534",412.559424,238.593742251,0.0209839530289,-99.5000076294,-76.0615768433,"Rorb-IRES2-Cre",22.3947446999,2.37632666667,-55.8229204814,2.37409333333,43.6770858765,33.8333333333,2.37358666667,-40.4166679382,2.39043333333,-58.7916692098,3.5655087325
"535",189.824944,237.500116229,0.0383980758488,-95.6250076294,-69.4436645508,"Scnn1a-Tg2-Cre",18.4002597684,2.67520666667,-43.5937512716,2.67369333333,37.5625012716,41.3333333333,2.67321333333,-32.8750012716,2.71364,-51.4791692098,2.6729266981
"550",154.061072,226.562425494,0.0979147925973,-97.5937576294,-73.26587677,"Rbp4-Cre_KL100",9.75371860522,3.65463333333,-48.8333358765,3.652875,39.6458346049,65.8333333333,3.65237333333,-37.5625025431,3.70247666667,-56.9687538147,2.70476971038
"578",140.227936,109.843634069,0.188126638532,-88.2187576294,-75.0866622925,"Rbp4-Cre_KL100",12.9754277836,6.85470833333,-48.4166704814,6.853335,43.4375025431,145.833323161,6.85290166667,-40.3125025431,6.9385,-51.677087148,2.74711994965
"583",113.789904,122.656323016,0.141528874636,-88.5312576294,-74.2980117798,"Scnn1a-Tg2-Cre",12.8040973111,6.37753333333,-50.5416692098,6.37522666667,41.8229192098,133.874992371,6.37478,-41.7708358765,6.41953333333,-56.6562538147,4.51173116919
"618",124.964032,85.7813283801,0.0465083830059,-87.9375076294,-78.3298187256,"Ctgf-T2A-dgCre",9.1926550686,9.65195333333,-52.4270858765,9.64904666667,43.3020858765,215.708333333,9.64858,-45.5312512716,9.68041333333,-57.4687512716,4.4920025143
"620",207.647488,185.468822718,0.0676468536258,-98.84375,-79.0932922363,"Rorb-IRES2-Cre",12.5704468794,5.45626,-47.1875025431,5.45306666667,42.8333346049,110.791666667,5.45255333333,-33.1562512716,5.47253333333,-54.989587148,3.76675139921
"638",160.02456,146.249994636,0.0350065603852,-93.7812576294,-78.3960266113,"Rorb-IRES2-Cre",8.14420675426,4.31530166667,-45.2187512716,4.31031166667,43.6666679382,82.25,4.30976833333,-35.9583358765,4.36991833333,-53.8750012716,4.88510318638
"646",100.855432,75.6250023842,0.208229541779,-78.84375,-70.3271865845,"Rbp4-Cre_KL100",7.8393603082,7.56476666667,-45.3958358765,7.56290166667,42.9895833333,163.583333333,7.56251,-41.2083358765,7.61753166667,-54.1875012716,3.42421112699
"657",116.010432,115.625075996,0.0224851034582,-82.1562576294,-69.5698165894,"Ntsr1-Cre_GN220",15.0026254595,9.89133666667,-47.3125012716,9.889355,29.9895852407,221.75,9.88864833333,-32.2812512716,9.90384,-48.2187538147,1.90281428307
"678",154.854688,192.812457681,0.222997888923,-94.84375,-73.0367202759,"Scnn1a-Tg3-Cre",17.0457572045,4.54663166667,-61.6354179382,4.54501333333,40.5104192098,88.125,4.54453,-46.4895846049,4.54697166667,-61.8958346049,2.58582181636
"684",155.374656,140.937536955,0.0578350350261,-91.5625,-76.5860595703,"Cux2-CreERT2",10.6990014265,5.111035,-43.7708358765,5.10825,40.7083333333,102.208333333,5.10777166667,-36.8750025431,5.15711666667,-52.2916666667,3.85979633609
"686",249.672928,249.218702316,0.0317335948348,-87.2812576294,-59.6444473267,"Scnn1a-Tg3-Cre",15.1459419694,1.71487333333,-49.989587148,1.71261333333,35.6041692098,17.2916666667,1.71213333333,-38.8437525431,1.74142666667,-55.7291666667,3.41177362453
