"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"123",202.347344,212.031289935112,0.0468316674232483,-97.84375,-73.9191589355469,84.6666730244955,"Excitatory",1.02490666666667,-50.6875038146973,1.02336166666667,33.9791692097982,1.79030166666667,-75.9791692097982,690,1.02300833333333,-44.1979179382324,1.79030166666667,-75.9791692097982,3.23600092111967
"124",104.156048,162.812381982803,0.116804018616676,-94.5937576293945,-73.9795761108398,94.2187545776367,"Excitatory",1.024631,-53.7062530517578,1.023265,40.5125015258789,1.804775,-75.0187515258789,378,1.022924,-46.3312522888184,1.804775,-75.0187515258789,2.85398766644662
"125",153.991008,250.468790531158,0.154492259025574,-89.28125,-66.1167221069336,103.156253814697,"Excitatory",1.024991,-51.2812515258789,1.023265,51.8750022888184,1.176302,-66.8750015258789,530,1.022887,-41.4687515258789,1.176302,-66.8750015258789,3.0481075253885
"129",146.92272,103.906251490116,0.0919351428747177,-84.6875,-72.3729629516602,78.8437523841858,"Excitatory",1.0242125,-61.1875009536743,1.02312625,17.6562514305115,1.55408875,-72.3828163146973,397.5,1.02281875,-42.3515625,1.55408875,-72.3828163146973,1.64806893553873
"130",152.78832,122.187457978725,0.0110582625493407,-99.59375,-75.73974609375,101.08854230245,"Inhibitory",1.02414166666667,-69.4791666666667,1.0234375,31.6093756357829,1.55817,-75.7552108764648,370,1.02311916666667,-51.255210240682,1.55817,-75.7552108764648,1.34666814065237
"132",159.014672,180.625006556511,0.0429490320384502,-100.968757629395,-78.754508972168,72.2000022888184,"Excitatory",1.025061,-51.2125015258789,1.023392,20.9875007629395,1.352554,-78.8250061035156,670,1.022978,-44.8187507629395,1.352554,-78.8250061035156,2.57040958273091
"136",100.70636,147.499918937683,0.137995809316635,-90.9062576293945,-74.1732482910156,99.3062545776367,"Excitatory",1.025126,-56.0312515258789,1.023595,43.2750030517578,1.123507,-75.1000045776367,509.999969482422,1.023175,-51.4937538146973,1.123507,-75.1000045776367,2.75114308121574
"137",176.9292,123.281359672546,0.0316939763724804,-99.6562576293945,-85.1570739746094,88.8906278610229,"Excitatory",1.02522375,-52.9687519073486,1.02349125,35.9218759536743,1.72551,-84.7109375,840,1.0230625,-46.2031259536743,1.72551,-84.7109375,3.54903700402711
"140",293.105056,170.312494039536,0.04738874360919,-97.21875,-78.7213439941406,95.8854166666667,"Excitatory",1.02484,-51.4166666666667,1.023465,44.46875,1.53128833333333,-79.2604192097982,900,1.02310166666667,-47.1770833333333,1.53128833333333,-79.2604192097982,3.24858341086265
"141",159.685184,137.656286358833,0.0748733133077621,-92.28125,-76.3616561889648,79.1562528610229,"Inhibitory",1.023945,-61.1015644073486,1.02331,18.0546884536743,1.1075925,-77.3593788146973,122.499992370605,1.0230525,-47.2812519073486,1.1075925,-77.3593807220459,1.2703708776937
"144",443.305856,491.874992847443,0.0494608357548714,-94.46875,-58.3895721435547,74.0750009536744,"Inhibitory",1.024946,-57.9750007629395,1.023571,16.1000001907349,1.559341,-60.8437507629395,47.9999969482422,1.023144,-41.4000015258789,1.559341,-60.8437507629395,1.63644646546409
"145",262.940592,197.968780994415,0.121957555413246,-100.90625,-72.2550735473633,65.7291679382324,"Inhibitory",1.02441166666667,-60.9895846048991,1.02339833333333,4.73958333333333,1.52568333333333,-72.1666666666667,0,1.023135,-45.8750012715658,1.52568333333333,-72.1666666666667,1.4944817952681
"146",198.265632,191.093742847443,0.131337389349937,-96.59375,-76.0379028320312,82.6937534332276,"Excitatory",1.026192,-56.6062522888184,1.02354,26.0875011444092,1.312492,-76.1250045776367,800,1.023036,-45.5375030517578,1.312492,-76.1250061035156,3.49215807790001
"148",332.561728,217.187389731407,0.0512986890971661,-96.9375076293945,-72.9392852783203,90.166670481364,"Inhibitory",1.02605333333333,-55.6041692097982,1.02364666666667,34.5625012715658,1.66969333333333,-72.9479192097982,300,1.02313333333333,-47.5416692097982,1.66969333333333,-72.9479217529297,2.83531082658315
