"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","adaptation","avg_isi","f_i_curve_slope","latency","height","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"417",123.484768,72.6563259959,0.0517423599958,-92.875,-84.1187515259,"Cux2-CreERT2",10.3514906146,0.0284241611215,96.6044444444,0.100673226308,0.07058,90.7968797684,1.36686,-46.1875,1.3643,42.28125,210,1.36378,-40.0937538147,1.4068,-55.5000038147,3.74284168634
"426",154.913792,173.593640327,0.0580313242972,-90.53125,-71.9915924072,"Scnn1a-Tg3-Cre",10.8331277045,0.0416870724956,92.3094444444,0.108257151119,0.070805,102.109376907,1.31686,-45.5625038147,1.31299,49.6562538147,60.0000038147,1.31253,-35.3750038147,1.37533,-56.625,4.22662043511
"438",213.1416,242.031246424,0.0318112708628,-101,-73.0221557617,"Nr5a1-Cre",13.6562272396,0.216747636176,73.2266666667,0.25240826787,0.03554,90.9687547684,1.08556,-45.0937538147,1.08376,37.5,130,1.0833,-33.40625,1.10056,-45.9062538147,3.44128567901
"455",159.772032,99.06257689,0.0131795164198,-77.3437576294,-65.9213867188,"Scnn1a-Tg3-Cre",10.5224391014,0.200067807617,95.035,0.0861344513403,0.048005,95.5703144073,1.176415,-49.4687538147,1.171295,32.875,230,1.17078,-31.3125,1.18668,-53.2187538147,3.9532771964
"467",153.395168,136.250078678,0.00684092659503,-84.6875,-70.2135238647,"Scnn1a-Tg3-Cre",14.7268175347,0.117267300541,67.9033333333,0.202651514639,0.033955,92.71875,1.088835,-48.78125,1.086475,32.1875,210,1.08603,-33.9375,1.098495,-51.21875,3.26675297741
"475",201.752208,193.437546492,0.0190457105637,-98.8125076294,-80.5246505737,"Cux2-CreERT2",18.5937645264,0.0329465394915,53.7814705882,0.271532343424,0.051805,100.337504578,1.34504,-54.9687538147,1.343025,40.0625038147,80,1.342595,-40.7812538147,1.376505,-56.46875,3.36966127737
"491",119.350064,170.781180263,0.0273176431656,-91.375,-72.5783004761,"Cux2-CreERT2",10.220478432,0.074486195342,97.8427777778,0.2,0.0464,81.7812544505,1.120275,-45.4375038147,1.11737,34.15625,90,1.116855,-34.625,1.1463,-49.5000038147,3.79532217176
"502",201.297152,244.375005364,0.0143414670601,-96.40625,-70.5972824097,"Scnn1a-Tg3-Cre",10.0569221795,0.151628667332,99.434,0.127029369383,0.03375,100.587503815,1.19811,-48.90625,1.19497,45.875,70,1.194545,-38.3125038147,1.225065,-56,3.72175347457
"504",120.129272,225.000008941,0.117309264839,-93.5937576294,-69.0845108032,"Rorb-IRES2-Cre",16.38001638,0.0219615694984,61.05,0.193048780488,0.03964,81.4791711171,1.13176,-47.5625038147,1.129945,33.3125038147,50,1.12942,-41.0625,1.163305,-53.7812538147,2.95970401174
"538",215.524288,135.468870401,0.0208985544741,-95.5312576294,-80.2579421997,"Rorb-IRES2-Cre",18.3241426305,0.0228414567868,54.5728125,0.250221267912,0.045005,95.9635461171,1.13827,-50.0312538147,1.13641,42.90625,110,1.136015,-41.6562538147,1.15852,-55.1875,3.59154402172
"544",151.11048,228.515625,0.0570130385458,-98.25,-75.684387207,"Nr5a1-Cre",17.4547676061,0.0263349865081,57.2909375,0.23011810556,0.04043,91.8250022888,1.220605,-48.71875,1.218545,34.75,59.9999961853,1.218095,-38.65625,1.2472,-57.5625,3.23786450233
"554",225.165888,162.656202912,0.00851554609835,-93.5,-75.2355270386,"Rorb-IRES2-Cre",17.0394036209,0.0179674667311,58.6875,0.257843149097,0.02762,99.2250030518,1.07716,-50.40625,1.07488,42.2500038147,130,1.07446,-39.5937538147,1.08482,-54.5937538147,4.14659621988
"556",295.526688,171.2500453,0.0251490939409,-97.40625,-78.4160385132,"Cux2-CreERT2",13.2611338269,0.0455405854122,75.4083333333,0.151875007803,0.053705,92.5052134196,1.154605,-47.2812538147,1.15115,35.2812538147,110,1.150655,-38.5000038147,1.186065,-53.59375,4.19230516979
"569",257.497024,244.687616825,0.14827914536,-95.1875076294,-67.9803619385,"Ctgf-T2A-dgCre",12.8893159289,0.0333816133004,77.5836363636,0.18885209713,0.1441,90.317712148,1.38662,-48.8125,1.38228,34.1875038147,90,1.38178,-39.3750038147,1.4014,-54,4.6809277135
"572",216.749616,213.750079274,0.0653698220849,-94.3125076294,-70.960609436,"Scnn1a-Tg2-Cre",12.9860930749,0.0362030288764,77.0054545455,0.182480310922,0.05864,89.0000047684,1.28346,-47,1.28006,32.5000038147,59.9999961853,1.27958,-36.7187538147,1.34496,-54.4375038147,4.45577223103
"585",145.408496,159.531101584,0.0436736829579,-92.5312576294,-75.1710586548,"Rbp4-Cre_KL100",15.1729444724,0.0249703832123,65.9067857143,0.218132910924,0.03656,88.9947980245,1.087045,-44.65625,1.084125,23.5937519073,190,1.08339,-32.9062538147,1.099135,-48.8437538147,2.57946920311
"592",245.20992,211.250036955,0.05200971663,-99.09375,-82.4907913208,"Nr5a1-Cre",13.9717341072,0.0447834448143,71.5730769231,0.233596825096,0.037405,91.3187522888,1.16951,-48.78125,1.167415,40.125,119.999992371,1.167085,-33.5,1.187105,-56.625,3.54170620216
"620",207.647488,185.468822718,0.0676468536258,-98.84375,-79.0932922363,"Rorb-IRES2-Cre",12.5704468794,0.0260206409647,79.5516666667,0.225852278631,0.04296,96.5416730245,1.1131,-46.09375,1.11012,39.7500038147,150,1.10962,-32.5937538147,1.12566,-51.9687538147,3.57013652341
