"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"209",0.0539655045115,73.9578571429,0.167625417449,1.089385,8.51848,1.02518916667,-46.9375038147,-45.6979192098,-53.0572942098,86.395136,0.038035,1.087535,8.51657833333,1.02336583333,43.6875038147,42.5000012716,47.8177102407,138.258814812,0.118607446551,1.32346666667,-72.786462148,180,187.374994914,770,1.087055,8.51601166667,1.02294916667,-32.2500038147,-29.0000019073,-45.0312519073,1.108135,8.541385,1.32346666667,-48.71875,-47.5312525431,-72.786462148,2.31254135086,2.10374211712,2.75261395643,-88.1250076294,-72.4948730469,"Ntsr1-Cre_GN220",100.87500445,13.5212138187
"231",0.207725089803,141.385833333,0.115174903047,1.11852,4.6414,1.024589,-51.7812538147,-50.4166679382,-52.0750038147,158.781888,0.045985,1.11635,4.63951833333,1.023051,46.65625,49.4375038147,44.0187515259,175.000041723,0.036180742085,1.681236,-79.8937530518,90,90.5,930,1.116005,4.63916666667,1.022738,-42.5,-39.2395846049,-49.2312530518,1.14219,4.67083333333,1.681236,-57.8125038147,-57.8854166667,-79.8937530518,4.31172561303,4.37635019764,4.48030398561,-95.4062576294,-78.5516433716,"Rorb-IRES2-Cre",96.0937553406,7.07284440332
"236",0.0226394565263,59.69,0.196153846154,1.5342,3.30201833333,1.02589,-55.28125,-51.6041704814,-59.24375,334.118944,0.038845,1.52998,3.29834,1.023405,44.3125,46.4062525431,44.2687522888,278.794765472,0.0985685810447,1.804796,-76.9250030518,70,56.9166666667,730,1.52943,3.29779666667,1.022982,-36.5625038147,-34.4895846049,-45.8937507629,1.5441,3.32578833333,1.804796,-58.84375,-58.0520858765,-76.9250030518,4.31481912564,3.88030804595,4.04489022204,-102.5,-74.1093292236,"Ntsr1-Cre_GN220",103.512502289,16.7532249958
"240",0.206937365479,123.719,0.129289952399,1.121995,5.02867,1.02497916667,-46.7187538147,-47.1250012716,-47.5260429382,215.525728,0.04564,1.120075,5.026265,1.023435,40.7187538147,42.5729166667,35.5677108765,180.46875298,0.165725931525,1.579935,-77.8750025431,90,100.125,989.999938965,1.11966,5.02579666667,1.02304666667,-39.8125,-37.2604192098,-42.9062519073,1.18822,5.06657,1.579935,-56.0937538147,-57.520837148,-77.8750025431,3.54815885301,3.18176261433,3.3109276703,-98.1875076294,-77.5682601929,"Rbp4-Cre_KL100",83.0937538147,8.08283287126
"244",0.0358613138775,107.61,0.146334901375,1.19494,4.87002,1.025344,-46.1250038147,-47.4062525431,-51.4375022888,94.737656,0.07696,1.19188,4.86752666667,1.023356,40.5,45.5416692098,46.4687538147,160.312458873,0.0773743540049,1.585836,-74.9875030518,90,96.1666666667,949.999938965,1.1914,4.86709333333,1.02298,-35.7812538147,-36.3541679382,-47.9625007629,1.2331,4.91137333333,1.585836,-54.9375038147,-54.4270858765,-74.9875030518,4.14364361028,4.493890238,4.32754701505,-91.0000076294,-74.1493377686,"Rorb-IRES2-Cre",97.9062561035,9.29281665273
"247",0.0320481522716,63.9953571429,0.15297620164,1.125425,5.47531,1.024975,-49.34375,-49.0729192098,-51.7708358765,105.3152,0.05055,1.123485,5.47343833333,1.02346833333,34,33.9791666667,31.7708326976,155.781254172,0.0507714226842,1.67486833333,-81.4479166667,110,111.333333333,343.333333333,1.12306,5.473,1.02308166667,-36.1562538147,-36.7083333333,-44.5416692098,1.139325,5.49510666667,1.67486833333,-53.6875,-53.9583346049,-81.4479166667,3.05444884735,2.77346932765,2.96563140841,-99.0625,-81.7539978027,"Nr5a1-Cre",83.541668574,15.6261335923
"257",0.130370892948,74.37,0.0313543562831,1.09552,5.12645333333,1.02486666667,-47.78125,-49.4166692098,-51.6718775431,217.039808,0.04106,1.0935,5.12449333333,1.02335,40.28125,44.3854179382,45.8958346049,134.687542915,0.0297235641629,1.58754,-81.8697967529,150,102.5,850,1.0931,5.12409333333,1.02302,-36.1562538147,-35.1145858765,-46.5729192098,1.10526,5.14694666667,1.58754,-51.0312538147,-54.5937512716,-81.8697967529,3.63151189771,3.51441913295,4.30041403575,-96.59375,-81.1610488892,"Cux2-CreERT2",97.567712148,13.446282103
"264",0.0740124609042,98.3183333333,0.202867397397,1.21906,2.98922666667,1.025479,-50.7812538147,-49.4687512716,-54.9687515259,370.4088,0.056525,1.21526,2.98661,1.022873,43.375,47.3541692098,43.5937515259,201.87497139,0.0250958018005,1.796269,-77.9875045776,70,49.1666666667,680,1.214875,2.986245,1.022551,-38.2500038147,-37.625,-49.7437530518,1.253845,3.01825333333,1.796269,-58.375,-56.3541704814,-77.9875045776,4.81694493563,5.11827208903,5.22847801961,-100.625007629,-77.4324569702,"Rorb-IRES2-Cre",98.5625030518,10.1710430405
"284",0.0200246041489,77.6227272727,0.275,1.330675,4.52297333333,1.02486833333,-40.90625,-44.5104166667,-47.1979204814,116.738032,0.078965,1.32797,4.52128333333,1.023465,23.25,42.5520846049,31.0312512716,182.968750596,0.0105836531147,1.488845,-76.9895858765,90,87.5416666667,1050,1.32749,4.52090333333,1.02312166667,-32.0625,-34.4375025431,-35.4791692098,1.37091,4.556065,1.488845,-51.28125,-52.2708358765,-76.9895858765,2.93029720711,3.56738393853,2.80144732119,-95.0312576294,-76.0704803467,"Nr5a1-Cre",78.2291717529,12.8828248521
"315",0.0296417934626,62.0183333333,0.25231092437,1.101605,4.21157833333,1.02540083333,-49,-47.03125,-53.3333352407,437.222848,0.029715,1.09909,4.20865166667,1.0234875,35.8437538147,36.1458333333,42.7031256358,144.687533379,0.0101551264524,1.28397916667,-62.1406243642,70,79.7083333333,380,1.098585,4.20814333333,1.0231175,-34.6875,-33.625,-46.8697923024,1.112695,4.22866,1.28397916667,-53.28125,-52.5937512716,-62.140625,3.0914355399,3.06799985461,3.92889394871,-78.96875,-61.4261207581,"Scnn1a-Tg3-Cre",96.0364608765,16.1242643304
