"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"265",187.116976,182.81237781,0.117170937359,-89.4687576294,-69.3327636719,88.3750030518,"Inhibitory",1.024668,-55.6750022888,1.023388,32.7000007629,1.05246,-70.3875030518,390,1.02308,-42.1687522888,1.05246,-70.3875030518,2.56836759615
"266",300.17504,216.562509537,0.0540811754763,-91.875,-71.4015350342,98.6484413147,"Excitatory",1.0259,-55.1718769073,1.023505,43.4765644073,1.573485,-72.101568222,680,1.02309,-46.1562519073,1.573485,-72.101568222,4.13123493516
"279",232.153328,422.031313181,0.0748344138265,-98.96875,-66.7581329346,75.1250026703,"Inhibitory",1.024386,-55.4687515259,1.023112,19.6562511444,1.642853,-67.3125045776,600,1.022723,-36.8437522888,1.642853,-67.3125045776,1.74702807695
"281",225.293296,231.562420726,0.0236294623464,-96.0312576294,-71.2807159424,98.1125030518,"Inhibitory",1.024332,-56.4375022888,1.023336,41.6750007629,1.60636,-71.5125045776,499.999969482,1.023008,-45.3687515259,1.60636,-71.5125045776,2.88153401493
"284",116.738032,182.968750596,0.0105836531147,-95.0312576294,-76.0704803467,78.2291717529,"Excitatory",1.02486833333,-47.1979204814,1.023465,31.0312512716,1.488845,-76.9895858765,1050,1.02312166667,-35.4791692098,1.488845,-76.9895858765,2.80144732119
"288",239.244688,174.375116825,0.0130160385743,-85.0312576294,-65.881477356,72.8242218494,"Inhibitory",1.0241575,-57.2343773842,1.023145,15.5898444653,1.666695,-66.7929697037,340,1.02278,-46.0703139305,1.666695,-66.7929697037,1.48562221257
"294",168.499824,219.999998808,0.112370699644,-96.1875,-75.9695968628,87.7083346049,"Excitatory",1.025545,-57.5729179382,1.02350666667,30.1354166667,1.49982,-76.9270909627,0,1.02307833333,-42.6979179382,1.49982,-76.9270909627,2.81020990393
"299",228.0352,263.437449932,0.0362643152475,-97.9062576294,-73.1930770874,84.3625026703,"Excitatory",1.024796,-52.2750015259,1.023356,32.0875011444,1.740169,-74.8562545776,440,1.022989,-47.0937522888,1.740169,-74.8562545776,3.0884879472
"304",233.527488,247.209787369,0.130555033684,-102.65625,-75.7673873901,91.8697967529,"Inhibitory",1.02543,-51.9270865122,1.02358,39.9427102407,1.75829,-77.0104204814,850,1.02311,-44.1145846049,1.75829,-77.0104204814,3.07141281111
"310",194.35896,160.044744611,0.0414860658348,-97.625,-80.5922088623,92.421880722,"Excitatory",1.025865,-51.9479198456,1.02349833333,40.4739608765,1.644205,-82.4791704814,1120,1.0230425,-46.8489596049,1.644205,-82.4791704814,4.16979177065
"323",126.105232,108.593635261,0.155113935471,-86.4687576294,-75.1248931885,91.0703163147,"Excitatory",1.02503,-52.7500019073,1.023515,38.3203144073,1.12065,-76.210943222,1240,1.023135,-51.9062538147,1.12065,-76.210943222,3.50827954268
"327",87.087664,51.5625067055,0.0474356599152,-94.0000076294,-80.152633667,76.6437519073,"Inhibitory",1.0246,-63.8437515259,1.023416,12.8000003815,1.264444,-80.9812515259,0,1.023118,-46.8187515259,1.264444,-80.9812515259,1.4204635159
"329",138.22736,131.093755364,0.0597853958607,-92.1875,-77.7642974854,98.2083358765,"Excitatory",1.02673833333,-55.2291679382,1.02342666667,42.9791679382,1.402735,-78.40625,1300,1.02301666667,-46.8333333333,1.402735,-78.40625,4.46587537856
"340",191.326528,145.468786359,0.0182432401925,-88.6562576294,-73.6837921143,93.9937538147,"Inhibitory",1.024728,-51.9687515259,1.023392,42.0250022888,1.32546,-74.8812545776,780,1.023064,-38.4875007629,1.32546,-74.8812545776,2.82084499823
"349",291.219424,193.437457085,0.0550305172801,-92.8437576294,-71.559135437,83.4437534332,"Inhibitory",1.024964,-53.8875022888,1.023276,29.5562511444,1.367728,-72.3312545776,320,1.022908,-46.8312515259,1.367728,-72.3312545776,3.31398183485
"360",206.043216,151.562511921,0.0181719250977,-91.96875,-76.6518173218,95.8875030518,"Excitatory",1.025276,-50.5625007629,1.023423,45.3250022888,1.682619,-77.7750015259,180,1.023051,-48.9062522888,1.682619,-77.7750015259,3.89266252825
"364",164.929792,139.687538147,0.0298760719597,-79.625,-63.8380661011,86.7562522888,"Excitatory",1.026762,-53.6250015259,1.023393,33.1312507629,1.08744,-65.3187530518,568,1.022911,-45.4500007629,1.08744,-65.3187530518,4.05564164294
"365",402.665312,315.937489271,0.072896912694,-101.9375,-72.3513641357,85.1937530518,"Inhibitory",1.024246,-54.2250015259,1.022987,30.9687515259,1.85105,-73.0500015259,260,1.022671,-45.3375022888,1.85105,-73.0500015259,2.79054856662
"368",162.721248,144.53125,0.0176777113229,-91.8125076294,-75.2367324829,99.2109413147,"Excitatory",1.02489125,-53.0312519073,1.02329875,46.1796894073,1.63081625,-76.1953201294,192.5,1.02303,-44.5937509537,1.63081625,-76.1953201294,3.60474228651
"374",141.185456,95.3126102686,0.0731262862682,-82.90625,-72.6440582275,86.9000045776,"Inhibitory",1.02418,-58.7562530518,1.023376,28.1437515259,1.461616,-73.5375015259,690,1.02306,-43.7250022888,1.461616,-73.5375015259,1.47838962195
"378",110.398784,105.156250298,0.0230337269604,-83.4687576294,-72.0595779419,83.7312530518,"Inhibitory",1.02934,-61.4062522888,1.023323,22.3250007629,1.249051,-72.1125,820,1.023005,-33.4250015259,1.249051,-72.1125,2.29638946662
"380",124.02236,154.68749404,0.0369148589671,-98.90625,-81.3229217529,74.070315361,"Excitatory",1.0256175,-53.445315361,1.02355125,20.625,1.6340775,-82.1562519073,0,1.02313875,-38.2734394073,1.6340775,-82.1562519073,2.60300539272
"381",121.527552,146.093860269,0.0295471437275,-95.4375076294,-78.6970443726,90.4937561035,"Excitatory",1.025088,-52.0062530518,1.023352,38.4875030518,1.822308,-78.8687530518,528,1.022932,-48.0312522888,1.822308,-78.8687530518,3.92975442357
