"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"389",199.343808,198.906213045,0.00907935388386,-99.15625,-77.2901382446,99.1562538147,"Excitatory",1.0259825,-54.679690361,1.02352625,44.4765634537,1.35528875,-78.171880722,580,1.0230975,-47.125002861,1.35528875,-78.171880722,4.65618262055
"394",345.971648,341.718673706,0.0355428121984,-101.968757629,-74.6933822632,93.7321469443,"Inhibitory",1.02476,-61.5312538147,1.02340571429,32.2008931296,1.82014,-75.1473257882,530,1.02298,-41.6785741534,1.82014,-75.1473257882,2.03263879461
"395",210.940528,191.718757153,0.0411933287978,-89.8750076294,-67.5364532471,91.7437545776,"Excitatory",1.024867,-52.4500030518,1.023203,39.2937515259,1.433395,-69.2687545776,450,1.02287,-44.7375022888,1.433395,-69.2687545776,3.54963134163
"401",171.228576,142.499998212,0.00815309025347,-75.34375,-59.7569160461,79.851565361,"Inhibitory",1.02491,-53.0195336342,1.0231325,26.8320317268,1.1567375,-60.3125033379,270,1.0227975,-39.0742211342,1.1567375,-60.3125033379,2.77789741122
"410",297.908576,195.089280605,0.0982809737325,-93.0625076294,-70.4354019165,84.734380722,"Inhibitory",1.02602,-51.0156288147,1.02375,33.7187519073,1.3868,-71.1093826294,320,1.0233,-44.421875,1.3868,-71.1093826294,3.34566362873
"411",239.256544,210.156217217,0.100539937615,-96.1562576294,-73.0956115723,99.2687538147,"Inhibitory",1.02437,-54.7187530518,1.023362,44.5500007629,1.842841,-73.89375,310,1.023093,-47.0250030518,1.842841,-73.89375,3.08562433496
"412",123.66616,74.9998837709,0.0403347201645,-86.75,-78.1814880371,94.7125038147,"Excitatory",1.027352,-51.6187507629,1.023456,43.0937530518,1.664192,-79.0000030518,1550,1.022988,-49.4687530518,1.664192,-79.0000030518,5.06213382228
"415",169.58944,126.71867013,0.0435944460332,-89.9687576294,-76.2541275024,93.3750038147,"Excitatory",1.02666,-49.21875,1.02352,44.1562538147,1.98414,-75.53125,890,1.02314,-44.34375,1.98414,-75.53125,4.87424357017
"418",177.283872,137.343794107,0.0292228590697,-94.34375,-76.8331451416,82.7812553406,"Excitatory",1.024417,-47.0625022888,1.023263,35.7187530518,1.589736,-77.7750015259,850,1.02296,-43.7000022888,1.589736,-77.7750015259,2.80134274166
"424",441.202464,380.781233311,0.218152210116,-98.65625,-69.4236221313,87.1250038147,"Inhibitory",1.03151166667,-59.1562525431,1.03045833333,27.9687512716,1.30766166667,-69.7187525431,300,1.030115,-39.8958346049,1.30766166667,-69.7187525431,1.66107738417
"434",95.58364,87.1874988079,0.0920467376709,-89.7812576294,-70.0180740356,83.5000019073,"Inhibitory",1.023389,-65.9875015259,1.022915,17.5125003815,1.305923,-71.4625045776,600,1.02271,-46.8562515259,1.305923,-71.4625045776,1.17435434992
"435",214.070112,162.544712424,0.0740037932992,-89.2500076294,-70.6075286865,83.3312522888,"Inhibitory",1.024052,-62.3562515259,1.023407,20.9750007629,1.507735,-70.8437545776,340,1.023157,-46.0437522888,1.507735,-70.8437545776,1.35590037198
"443",226.82648,148.749992251,0.0565289407969,-87.0625,-70.4658660889,96.9218762716,"Inhibitory",1.02430916667,-65.4375,1.02352166667,31.4843762716,1.32385416667,-71.2187512716,350,1.02319583333,-47.2239596049,1.32385416667,-71.2187512716,1.40563546351
"446",150.047936,129.776865244,0.138412699103,-91.5000076294,-78.4465026855,84.7031288147,"Excitatory",1.0249475,-51.8437538147,1.023505,32.859375,1.2169825,-79.4375,999.999938965,1.0231525,-48.0937519073,1.2169825,-79.4375,3.12833783722
"452",251.150864,289.531320333,0.0597299821675,-94.5000076294,-62.7012290955,96.5500053406,"Inhibitory",1.025284,-52.9562522888,1.02338,43.5937530518,1.109208,-64.1250007629,340,1.0229,-44.1625030518,1.109208,-64.1250022888,2.94361717627
"470",134.760864,170.156210661,0.0559369772673,-90.71875,-72.9973297119,93.1562576294,"Excitatory",1.02448666667,-52.1666704814,1.02283333333,40.989587148,1.79303333333,-74.7083384196,890,1.02243333333,-46.0104179382,1.79303333333,-74.7083384196,4.04110677323
"473",102.12096,125.000193715,0.141033068299,-89.5,-75.3490219116,100.682296117,"Excitatory",1.0250725,-56.5468781789,1.02338166667,44.1354179382,1.45007,-76.052087148,860.000061035,1.02301333333,-45.0729179382,1.45007,-76.0520884196,3.04831670038
"474",133.680704,162.343755364,0.0750596448779,-89.9687576294,-72.1620178223,95.4437530518,"Excitatory",1.025425,-48.8875007629,1.023324,46.5562522888,1.411602,-72.9750045776,920,1.022959,-45.3937515259,1.411602,-72.9750045776,4.12866326355
"483",189.404256,214.464262128,0.0666440650821,-96.1250076294,-71.5020294189,60.0468751192,"Inhibitory",1.026745,-56.828125,1.023645,3.21875011921,1.62802625,-71.937505722,0,1.0232225,-39.414065361,1.62802625,-71.937505722,2.03861412117
"486",380.892416,291.406184435,0.0525948405266,-97.84375,-68.7102890015,81.8333377838,"Inhibitory",1.02404166667,-61.708337148,1.023245,20.1250006358,1.454635,-70.0520858765,350,1.02295333333,-42.1354179382,1.454635,-70.0520858765,1.40004273299
"488",205.452864,187.656283379,0.0240895766765,-99.3125076294,-80.8980407715,92.3593788147,"Excitatory",1.0249,-54.6875019073,1.02346,37.6718769073,1.43024,-81.703125,670,1.02306,-48.21875,1.43024,-81.703125,3.43352630209
"494",258.823712,248.125046492,0.0593741945922,-95.5625,-72.4813919067,82.8020877838,"Excitatory",1.02617333333,-57.1510448456,1.0234175,25.6510429382,1.5859325,-73.8072942098,410,1.02294166667,-47.8437525431,1.5859325,-73.8072954814,3.16323937961
"525",80.862096,87.187461555,0.0472240559757,-87.9375076294,-79.1463012695,86.8875022888,"Excitatory",1.025776,-50.6312515259,1.023576,36.2562507629,1.690548,-79.3812530518,1730,1.023132,-47.1562530518,1.690548,-79.3812530518,3.81620598022
"527",156.43096,146.093562245,0.0724782198668,-93.09375,-77.5240783691,97.9062538147,"Excitatory",1.025152,-50.4750022888,1.023488,47.4312515259,1.185196,-77.3812530518,999.999938965,1.02312,-45.7437522888,1.185196,-77.3812530518,4.15715441542
"529",253.042464,324.218779802,0.185133472085,-98.84375,-71.4000549316,95.6250047684,"Inhibitory",1.02412625,-59.898440361,1.02337625,35.7265644073,1.66241625,-72.0546894073,270,1.0230425,-45.0468769073,1.66241625,-72.0546894073,1.59439545297
"540",281.09088,164.218783379,0.0750427693129,-93.53125,-76.1374206543,95.8359413147,"Excitatory",1.02539375,-50.8906269073,1.0234925,44.9453144073,1.55035375,-77.1015663147,939.999938965,1.02310875,-45.250002861,1.55035375,-77.1015663147,3.42642420867
"553",300.860736,287.343740463,0.0848578065634,-100.40625,-68.8796081543,74.1302111944,"Inhibitory",1.02495916667,-51.604168574,1.02334916667,22.5260426203,1.53606,-69.3541692098,240.000015259,1.02302916667,-44.9062531789,1.53606,-69.3541704814,2.89937136855
"555",192.310912,100.937500596,0.0239616632462,-99.46875,-82.9141769409,78.1937526703,"Inhibitory",1.023999,-56.9062522888,1.023351,21.2875003815,1.668758,-83.4562515259,680,1.023089,-41.7625015259,1.668758,-83.4562515259,1.36182654347
"557",442.347744,487.96877265,0.216317743063,-90.9375,-67.8327102661,83.4250049591,"Excitatory",1.026992,-58.0125030518,1.02346,25.4125019073,1.117856,-69.2125045776,186,1.022916,-41.4562507629,1.117856,-69.2125045776,3.11894942362
"560",95.661408,80.6251466274,0.0181947629899,-89,-79.0847549438,87.1312538147,"Inhibitory",1.028988,-65.3312530518,1.023448,21.8000007629,1.350528,-79.6812530518,989.999938965,1.023096,-43.5562522888,1.350528,-79.6812530518,2.32143583033
"561",197.321888,133.92855227,0.0159220937639,-99.9062576294,-78.856338501,67.2625024319,"Inhibitory",1.023777,-63.9500022888,1.022825,3.31250014305,1.472618,-79.4250015259,530,1.022592,-42.6000007629,1.472618,-79.4250015259,1.51661094921
"583",113.789904,122.656323016,0.141528874636,-88.5312576294,-74.2980117798,93.8250038147,"Excitatory",1.025316,-53.2625015259,1.02334,40.5625022888,1.333496,-74.5375030518,999.999938965,1.022952,-49.2187522888,1.333496,-74.5375030518,4.54719973931
"584",151.294432,304.6875,0.0821281075478,-79.71875,-65.3980865479,87.1093769073,"Excitatory",1.02508,-48.8125,1.02356375,38.2968769073,1.7404875,-67.640625,0,1.02320875,-40.5390634537,1.7404875,-67.640625,3.05068179168
"585",145.408496,159.531101584,0.0436736829579,-92.5312576294,-75.1710586548,88.9947980245,"Excitatory",1.02529666667,-53.552087148,1.0235025,35.4427108765,1.58327583333,-75.0260480245,690,1.02311,-48.2187525431,1.58327583333,-75.0260480245,3.568559831
"588",324.972512,194.531053305,0.0784129947424,-100.65625,-80.6183547974,85.531252861,"Inhibitory",1.024025,-60.2656269073,1.0233875,25.2656259537,1.3792225,-80.46875,0,1.023095,-49.078125,1.3792225,-80.46875,1.38914872421
"591",229.789904,243.749886751,0.036178778857,-93.1875,-75.3940582275,89.3125030518,"Excitatory",1.024988,-50.8000007629,1.023272,38.5125022888,1.743228,-75.6437545776,800,1.022908,-41.8375022888,1.743228,-75.6437545776,3.57041424578
"595",301.899872,328.125,0.0192732177675,-102.65625,-64.7194137573,88.0687549591,"Inhibitory",1.024235,-60.1750038147,1.023373,27.8937511444,1.758652,-66.4187545776,330,1.023021,-42.5062522888,1.758652,-66.4187545776,1.49143985031
