"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","binary_neuron"
"285",0.0356742414885,34.7965384615,0.575531927135,1.10479,2.75953666667,1.02487,-50.8125,-48.9895858765,-52.5234394073,342.28384,0.017055,1.10332,2.75777666667,1.02357,21.1875019073,15.3750006358,21.4296889305,344.687491655,0.051289588213,1.54001375,-63.679690361,30.0000019073,43.4583320618,230,1.102895,2.75728,1.02321875,-37.8437538147,-34.6770846049,-39.8125009537,1.11758,2.76794166667,1.54001375,-51.5000038147,-50.8854192098,-63.679690361,2.32984108094,2.03624053808,2.32014987414,-100.5,-62.6112518311,"Htr3a-Cre_NO152",73.9531283379,"Inhibitory"
"313",0.00146199087054,13.2865753425,0.692857121059,1.10801,8.26136833333,1.025415,-54.125,-56.0833358765,-62.9375,177.478832,0.021245,1.106795,8.260235,1.023645,4.75000047684,9.22916666667,5.375,137.50000298,0.0252450555563,1.949235,-76.96875,210,181,0,1.106435,8.25986666667,1.023355,-27.65625,-29.1250006358,-44.9375038147,1.108025,8.26145,1.949235,-54.21875,-56.2083346049,-76.96875,1.32794366256,1.288163475,1.65233018833,-92,-76.2554244995,"Pvalb-IRES-Cre",68.3125,"Inhibitory"
"365",0.0131544278271,19.8426530612,0.602496159754,1.070985,3.12674166667,1.024246,-53.9687538147,-51.1458358765,-54.2250015259,402.665312,0.01073,1.069505,3.12493,1.022987,28.8437519073,37.1250012716,30.9687515259,315.937489271,0.072896912694,1.85105,-73.0500015259,40,52.6249987284,260,1.06912,3.12451833333,1.022671,-45.375,-40.0833346049,-45.3375022888,1.07124,3.13863666667,1.85105,-54.15625,-52.7395858765,-73.0500015259,2.83195192892,3.16553055344,2.79054856662,-101.9375,-72.3513641357,"Htr3a-Cre_NO152",85.1937530518,"Inhibitory"
"394",0.0216389675472,49.4978947368,0.371312217195,1.16812,2.86658,1.02476,-58.6562538147,-60.695315361,-61.5312538147,345.971648,0.03878,1.16644,2.86494,1.02340571429,34.6562538147,38.453127861,32.2008931296,341.718673706,0.0355428121984,1.82014,-75.1473257882,70,46.09375,530,1.1659,2.8644,1.02298,-38.8125038147,-40.1875019073,-41.6785741534,1.1683,2.866785,1.82014,-58.8437538147,-60.8984413147,-75.1473257882,2.24152484628,2.22230428025,2.03263879461,-101.968757629,-74.6933822632,"Chrna2-Cre_OE25",93.7321469443,"Inhibitory"
"401",-0.0016524806906,42.6133333333,0.239977490097,1.94556,5.9956,1.02491,-45.4062538147,-44.5312525431,-53.0195336342,171.228576,0.59416,1.94344,5.9928,1.0231325,16,13.28125,26.8320317268,142.499998212,0.00815309025347,1.1567375,-60.3125033379,130,124.29166158,270,1.94294,5.99221333333,1.0227975,-34.28125,-32.9895846049,-39.0742211342,1.9484,5.99900666667,1.1567375,-46.5625038147,-46.0937512716,-60.3125033379,2.61677480871,2.42205321102,2.77789741122,-75.34375,-59.7569160461,"Nkx2-1-CreERT2",79.851565361,"Inhibitory"
"407",0.0416481833738,8.06666666667,1.46532164641,1.03544,11.1810233333,1.0238625,-71.40625,-61.9687525431,-70.3750038147,186.300512,0.00628,1.034825,11.180195,1.02328916667,17.78125,7.9791674614,28.0937512716,122.812502086,0.010418090038,1.39646333333,-80.2447916667,249.999984741,253.958328247,244.999984741,1.034515,11.1798133333,1.0230025,-40.1562538147,-33.8958333333,-51.3593781789,1.035465,11.1810933333,1.39646333333,-71.53125,-62.1041679382,-80.2447916667,1.00016491004,0.927855852093,1.1844417937,-92.4375076294,-79.4691696167,"Pvalb-IRES-Cre",98.4687550863,"Inhibitory"
"411",0.151197766521,77.2168181818,0.105666009793,1.11199,5.127865,1.02437,-53.0625038147,-50.2968788147,-54.7187530518,239.256544,0.01481,1.110795,5.126135,1.023362,41.71875,33.9218769073,44.5500007629,210.156217217,0.100539937615,1.842841,-73.89375,60.0000038147,102.625,310,1.110485,5.1257175,1.023093,-43.6562538147,-34.734375,-47.0250030518,1.13865,5.128005,1.842841,-54.5937538147,-50.4375038147,-73.89375,3.13222668348,2.96601344402,3.08562433496,-96.1562576294,-73.0956115723,"Htr3a-Cre_NO152",99.2687538147,"Inhibitory"
"413",0.000457216917399,12.4246835443,0.472631675133,1.035625,14.0142166667,1.02434333333,-60.59375,-54.8437512716,-62.8125,153.387584,0.01049,1.034755,14.0128466667,1.02338166667,8.625,3.125,14.8125,87.4999985099,0.0302831251174,1.32383666667,-80.5416666667,350,324.833333333,0,1.03436,14.01239,1.02309166667,-34.46875,-28.3020839691,-46.0104179382,1.035705,14.014975,1.32383666667,-60.6875,-55.3229166667,-80.5416666667,1.32762383212,1.10962442665,1.57612073275,-90.53125,-79.7211914062,"Pvalb-IRES-Cre",77.625,"Inhibitory"
"434",0.0257060216293,8.59875,1.00628897616,1.02677,16.038805,1.023389,-64.21875,-61.333337148,-65.9875015259,95.58364,0.00461,1.02626,16.0382116667,1.022915,10.25,13.7291679382,17.5125003815,87.1874988079,0.0920467376709,1.305923,-71.4625045776,400,375.416666667,600,1.02603,16.037915,1.02271,-39.8437538147,-32.5000012716,-46.8562515259,1.026805,16.0388466667,1.305923,-64.3125,-61.4166692098,-71.4625045776,1.17200712664,0.969012318201,1.17435434992,-89.7812576294,-70.0180740356,"Pvalb-IRES-Cre",83.5000019073,"Inhibitory"
"476",0.0126695967698,33.5255172414,0.390799492386,1.0849,2.37029,1.02523,-51.0937538147,-52.1562519073,-52.9531288147,330.6896,0.01534,1.08288,2.36798,1.02346,35.09375,34.8359384537,39.734375,204.687386751,0.113529749215,1.60302,-64.4687538147,50,33.59375,300,1.08246,2.36751,1.02311,-39.625,-37.3828134537,-41.4843769073,1.10084,2.37673,1.60302,-53.28125,-53.2578144073,-64.4687538147,3.46324807566,3.45085526429,3.47951209783,-87.2812576294,-63.264541626,"Vip-IRES-Cre",92.6875038147,"Inhibitory"
