"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"78",116.209488,84.3750014901161,0.0581761337816715,-85.1250076293945,-75.4689025878906,"Htr3a-Cre_NO152",96.9062538146972,10.91632,-53.8125025431315,10.9127266666667,32.9375,247.333338419596,10.91234,-33.6666679382324,10.9206533333333,-56.8958371480306,4.27547002822287
"79",218.646752,135.312616825104,0.0169601105153561,-83.96875,-68.6992721557617,"Pvalb-IRES-Cre",80.1822945276896,7.71638666666667,-54.2604166666667,7.71532166666667,17.4270833333333,167.375,7.71492833333333,-30.1562512715658,7.71648333333333,-54.3541666666667,1.37539434839342
"80",290.759008,258.593797683716,0.146825417876244,-98.2812576293945,-75.1858596801758,"Vip-IRES-Cre",69.7031269073486,3.94032,-47.0104166666667,3.93876,20.8333346048991,72.9583282470703,3.93835333333333,-36.8125,3.94102,-47.3437538146973,2.66657146976492
"81",455.143616,338.593661785126,0.0336970798671246,-96.78125,-65.1880950927734,"Htr3a-Cre_NO152",69.0937547683716,2.19852,-52.1145858764648,2.19707333333333,18.3958346048991,29.4166673024495,2.19663333333333,-43.1666679382324,2.23019333333333,-54.5000025431315,2.59930540266775
"83",138.529536,82.8124955296516,0.0359153226017952,-93.03125,-83.3805465698242,"Pvalb-IRES-Cre",85.4531265894572,14.1031516666667,-60.6666679382324,14.1022583333333,17.3854173024495,327.041666666667,14.10191,-32.5625,14.1032066666667,-60.8333358764648,1.29597354452718
"86",267.333216,244.375079870224,0.148372203111649,-99.7187576293945,-72.7958526611328,"Sst-IRES-Cre",81.9000030517578,3.612355,-56.6250025431315,3.611305,30.7916679382324,64.7500025431315,3.61083,-35.03125,3.612415,-56.7291679382324,1.42842989943598
"90",81.808176,82.5000405311584,0.0312513895332813,-86.0625076293945,-69.6435470581055,"Pvalb-IRES-Cre",74.0104211171468,15.75947,-50.0729204813639,15.7576,3.79166698455811,368.416666666667,15.7571916666667,-26.1354179382324,15.7609983333333,-51.2708371480306,1.12830995678485
"92",105.004096,106.250002980232,0.0707838535308838,-85.4375076293945,-73.8230819702148,"Htr3a-Cre_NO152",86.1500019073486,7.152035,-58.5104179382324,7.14704,25.2187512715658,153.166666666667,7.14668333333333,-36.28125,7.15906,-62.1562525431315,3.51677224265489
"104",161.001792,105.156250298023,0.0280808564275503,-100.468757629395,-74.0991973876953,"Pvalb-IRES-Cre",79.0703158378601,12.5787966666667,-57.1875038146973,12.5780283333333,14.2187503178914,288.958333333333,12.577645,-29.4479185740153,12.5788466666667,-57.2708358764648,1.1058517755183
"105",227.981824,312.18758225441,0.0285992901772261,-94.5937576293945,-61.9263076782227,"Chrna2-Cre_OE25",86.8359394073486,4.30658666666667,-41.6041692097982,4.30418,32.90625,82.0416666666667,4.30344666666667,-30.2291679382324,4.33254666666667,-49.7916679382324,2.26663728377755
