"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","height","binary_neuron","firing_rate"
"37",0.163518757909875,39.7716666666667,0.0659974369927381,1.09285,6.878055,1.02423583333333,-55.5,-53.90625,-59.9270839691162,190.409872,0.0292300000000001,1.09202,6.87723,1.02342166666667,18.75,22.0104179382324,25.6927086512248,143.749997019768,0.0830477774143219,1.39934416666667,-71.5052083333333,90,146.416666666667,550,1.09161,6.87676166666667,1.02299666666667,-43.6562538146973,-37.4583333333333,-47.6406256357829,1.09293,6.87809166666667,1.39934416666667,-55.65625,-54.0312512715658,-71.5052083333333,1.39652505926224,1.20203389784114,1.33850405862797,-91.375,-70.9986572265625,85.619792620341,"Inhibitory",25.1435276369274
"38",0.0141153753537825,34.3007142857143,0.446486486486487,1.089295,3.83761333333333,1.02460125,-53.75,-53.1458346048991,-58.7734403610229,246.92152,0.0250400000000002,1.0882,3.83644166666667,1.02328875,12.8125,14.8333336512248,10.8984382152557,249.33035671711,0.12509985268116,1.33669875,-65.5078144073486,70,70.375,440,1.0878,3.83602333333333,1.022935,-39.625,-35.9375,-42.0859375,1.089365,3.83766666666667,1.33669875,-53.84375,-53.2291666666667,-65.5078144073486,1.66050804629989,1.55796621216876,1.63105249517239,-94.46875,-65.5227432250977,69.6718785762786,"Inhibitory",29.1539118302409
"39",0.00915259214489316,55.5352941176471,0.278333333333333,1.21902,3.03753333333333,1.02632,-51.5000038146973,-50.3750012715658,-51.7395858764648,190.132208,0.0266600000000001,1.2154,3.0343,1.02359333333333,42.5625038146973,46.4583346048991,41.1458346048991,150.156363844872,0.0869927704334259,1.84056666666667,-66.3125025431315,50,50.3333333333333,300,1.21486,3.03375333333333,1.02313333333333,-46.0000038146973,-45.4687525431315,-47.0208346048991,1.2419,3.07524666666667,1.84056666666667,-55.84375,-54.2916692097982,-66.3125025431315,4.0431381903396,4.36522318077169,4.13871992427133,-83.9375,-66.0966186523438,92.8854204813639,"Excitatory",18.0065671009427
"41",0.0549845832294643,26.0741666666667,0.0354910737914698,1.090215,3.39117666666667,1.02427083333333,-45.9062538146973,-42.8750025431315,-52.7500019073486,271.40336,0.0176400000000001,1.089095,3.38986333333333,1.02324666666667,36.625,32.7291692097982,40.7916685740153,263.750106096268,0.0334620662033558,1.61669583333333,-67.2447954813639,70,59.25,350,1.08876,3.38945833333333,1.02297,-34.9062538146973,-32.4479179382324,-41.6979192097982,1.097415,3.406125,1.61669583333333,-46.59375,-46.0000025431315,-67.2447954813639,2.34738056592662,2.06929940294135,2.38960234474327,-94.21875,-66.1558990478516,93.5416704813639,"Inhibitory",38.352136533606
"42",0.0399574817659216,103.737777777778,0.135894039735099,1.17924,4.19913333333333,1.025356,-52.4687538146973,-52.1666704813639,-55.8750015258789,184.994368,0.0510200000000001,1.17666,4.1964,1.023528,37.875,34.5833333333333,35.4687515258789,184.843823313713,0.137442618608475,1.260108,-77.075,70,79.375,780,1.17622,4.19586666666667,1.023136,-41.46875,-40.1250025431315,-47.4312507629395,1.22168,4.23719333333333,1.260108,-63.3125,-60.1666704813639,-77.0750015258789,4.03911833869449,3.50621088509653,3.54005132790527,-94.5000076293945,-76.5362396240234,91.3437530517578,"Excitatory",9.63968981620323
"43",0.174034524965625,124.386666666667,0.111904765710808,1.1122,4.03965333333333,1.02513875,-50.3125,-49.7083333333333,-52.671875,364.885504,0.044125,1.109215,4.03742333333333,1.0234075,38.53125,42.8333333333333,42.3359375,169.99988257885,0.012931908480823,1.63630625,-79.0546894073486,130,75.4166666666667,880,1.10882,4.037025,1.02305125,-36.21875,-36.6354179382324,-48.0390644073486,1.12402,4.06191666666667,1.63630625,-54.53125,-57.0833346048991,-79.0546894073486,4.14737915490964,3.88163945585836,4.29680332700648,-96.6562576293945,-78.5291442871094,95.0078125,"Excitatory",8.03944688605422
"44",0.109690434426667,75.0622727272727,0.113037975546069,1.09375,1.86675,1.02415625,-61,-59.2291679382324,-62.5000028610229,438.913472,0.00717500000000015,1.09248,1.86562,1.02304625,13.5625,25.4479179382324,22.9531259536743,454.531192779541,0.00303306360729039,1.78035875,-65.8281269073486,20,21.125,160,1.091985,1.86521166666667,1.022685,-51.2500038146973,-48.0312512715658,-49.3671894073486,1.09393,1.86682166666667,1.78035875,-61.2187538146973,-59.3541692097982,-65.8281269073486,1.80789499244746,1.99573990110411,1.95410241904692,-97.125,-64.803352355957,85.4531288146972,"Inhibitory",13.3222718106784
"47",0.00311867826631323,24.9319230769231,0.484112149532711,1.08037,10.923485,1.024238,-56,-54.8541692097982,-58.4875007629395,146.467936,0.0228950000000001,1.079485,10.9223883333333,1.023351,24.6875,20.2187519073486,32.2625019073486,65.781369805336,0.0459909923374653,1.542911,-77.6187530517578,260,247.541641235352,0,1.079175,10.9220366666667,1.023046,-32.15625,-33.21875,-41.0125007629395,1.080445,10.9281616666667,1.542911,-56.15625,-56.9166692097982,-77.6187530517578,1.51533429776771,1.62254153439955,1.68827146941465,-94.1562576293945,-77.5109786987305,90.7500026702881,"Inhibitory",40.1092204927263
"48",0.150594535912282,121.0825,0.115141955835962,1.08542,2.66744166666667,1.02533,-44.5,-43.2500025431315,-50.2812538146973,222.037824,0.028715,1.080925,2.66514666666667,1.023385,36.6875,37.8333358764648,38.4062519073486,197.187453508377,0.00515500456094742,1.079095,-58.6718769073486,90,41.125,225,1.080455,2.66464,1.02298,-32.375,-32.5937512715658,-41.5781288146973,1.09912,2.69556333333333,1.079095,-49.59375,-52.9479166666667,-58.6718769073486,3.70913756480565,3.19539587600498,3.26975156341166,-81.84375,-57.132869720459,88.6875057220459,"Excitatory",8.25883178824355
"51",0.0868781786666974,101.536111111111,0.136552220174497,1.275455,3.40693833333333,1.025401,-44.96875,-45.6770846048991,-48.7375015258789,149.066784,0.05453,1.273605,3.40511666666667,1.023547,30.8125019073486,33.3437506357829,23.7625015258789,118.080377578735,0.0944587662816048,1.682607,-68.5937530517578,50,59.5833333333333,630,1.27313,3.404635,1.023114,-40.8125038146973,-42.1562512715658,-47.4000022888184,1.443175,3.44091,1.682607,-56.3437538146973,-48.7604192097982,-68.5937545776367,2.96935901039677,3.04381741532256,3.01403181074077,-80.6250076293945,-68.4131774902344,72.5000030517578,"Excitatory",9.84871282794847
