"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"156",135.071536,150.312572718,0.0128363044932,-97.3750076294,-82.9683837891,"Rorb-IRES2-Cre",13.8643744234,1.024895,-51.0468769073,1.0234075,43.921875,1.9102275,-85.0625038147,1030,1.0230625,-50.3281269073,1.9102275,-85.0625038147,3.704824362
"159",171.60632,190.937504172,0.0479762889445,-90.2812576294,-71.7251586914,"Rorb-IRES2-Cre",13.4447002672,1.02565416667,-55.0677108765,1.023565,47.854168574,1.51758333333,-72.6093788147,520,1.023155,-48.5677096049,1.51758333333,-72.6093788147,4.20822914241
"161",165.977264,181.093752384,0.0409501716495,-100.031257629,-82.3311004639,"Nr5a1-Cre",13.1368642305,1.025315,-51.6875025431,1.02338666667,41.1562525431,1.49569666667,-83.2916692098,920,1.02300666667,-48.1562525431,1.49569666667,-83.2916692098,3.85286825276
"166",296.814144,241.40624702,0.0152476402,-98.3750076294,-78.1602478027,"Rorb-IRES2-Cre",15.1815952353,1.02508375,-50.1484394073,1.0234075,43.8125038147,1.785885,-79.7421913147,750,1.02303375,-47.8593769073,1.785885,-79.7421913147,3.99639218014
"167",116.338568,137.968748808,0.0681690126657,-95.15625,-79.8806610107,"Rbp4-Cre_KL100",9.43741226156,1.025399,-51.9875015259,1.023264,36.9437538147,1.623481,-80.8000030518,1310,1.022898,-51.1000022888,1.623481,-80.8000030518,4.45109383231
"168",173.020224,158.125042915,0.0363949500024,-89.28125,-72.2956085205,"Scnn1a-Tg2-Cre",13.9428130162,1.0257775,-49.4140644073,1.023425,49.2343769073,1.32515375,-73.210943222,760,1.02303,-41.9609384537,1.32515375,-73.210943222,4.00422926708
"170",248.194624,214.531287551,0.0620325468481,-97.5937576294,-74.4105987549,"Rorb-IRES2-Cre",13.0785201654,1.024816,-55.6437515259,1.023297,38.7062522888,1.482336,-75.7062576294,610,1.022929,-45.6750007629,1.482336,-75.7062576294,2.94612531131
"172",181.365824,180.468738079,0.0440940260887,-97.3437576294,-79.6418533325,"Ctgf-T2A-dgCre",16.9760072431,1.026156,-58.1500030518,1.023328,47.0187515259,1.552472,-80.1062530518,499.999969482,1.02298,-52.8437530518,1.552472,-80.1062530518,5.10970698642
"175",200.82352,188.90632689,0.0176209826022,-96.0312576294,-75.0912857056,"Rorb-IRES2-Cre",14.9713405766,1.02508,-54.0625038147,1.02343333333,45.989587148,1.41766666667,-76.1875050863,760,1.02308,-47.1666704814,1.41766666667,-76.1875050863,4.11386181967
"178",114.021752,127.812504768,0.106968931854,-88.3437576294,-74.2105255127,"Cux2-CreERT2",6.95619913279,1.025369,-51.5937538147,1.023435,43.1187515259,1.279397,-75.2312561035,1040,1.023089,-47.6250015259,1.279397,-75.2312561035,3.78157170302
"179",111.783512,96.4062511921,0.128462821245,-87.3750076294,-77.0904159546,"Rorb-IRES2-Cre",8.03973928274,1.025618,-52.4000030518,1.023623,43.7125015259,1.151585,-77.7000015259,1180,1.023198,-48.0125030518,1.151585,-77.7000015259,3.53051666206
"180",237.443072,210.000112653,0.0674153268337,-96.8437576294,-76.3125610352,"Rorb-IRES2-Cre",19.0524577671,1.02546,-51.53125,1.02346,39.4375038147,1.99028,-77.0312576294,650,1.02304,-47.6562538147,1.99028,-77.0312576294,4.54456475539
"181",130.625632,156.875044107,0.0385764725506,-97,-80.403678894,"Cux2-CreERT2",5.00625782228,1.02573125,-53.945315361,1.02345875,45.945315361,1.68241875,-80.8281269073,870,1.023055,-48.6953163147,1.68241875,-80.8281269073,4.85402070255
