"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"123",202.347344,212.031289935112,0.0468316674232483,-97.84375,-73.9191589355469,"Cux2-CreERT2",84.6666730244955,0.0180185395815979,46.556,0.264264976306573,0.0351750000000002,21.4795085488444,1.23072,-47.5937538146973,1.2286,38.4687538146973,70,1.2282,-36.0937538146973,1.25381,-55.4687538146973,3.09871297335349
"124",104.156048,162.812381982803,0.116804018616676,-94.5937576293945,-73.9795761108398,"Rorb-IRES2-Cre",94.2187545776367,0.036267431452814,62.1703333333333,0.239350180505415,0.0270600000000001,16.0848421808901,1.07479,-46.4375,1.072995,36.375,150,1.07259,-34.625,1.08444,-49.21875,2.76146199121735
"125",153.991008,250.468790531158,0.154492259025574,-89.28125,-66.1167221069336,"Scnn1a-Tg3-Cre",103.156253814697,0.0739083082788507,84.3431818181818,0.122235031174916,0.0398700000000001,11.8563229231225,1.145775,-44.8125,1.143875,47.125,80,1.143395,-35.3125,1.19079,-50.25,2.92694392633472
"126",147.576528,160.000115633011,0.0200274847447872,-91.96875,-77.0050354003906,"Cux2-CreERT2",82.4500045776367,0.0795338248995217,110.256,0.11249998978206,0.0583050000000001,9.06980118995792,1.123885,-46.4375,1.119275,24.53125,209.999984741211,1.118755,-33.6250038146973,1.140605,-51.7812538146973,4.15566216659159
"129",146.92272,103.906251490116,0.0919351428747177,-84.6875,-72.3729629516602,"Nr5a1-Cre",78.8437523841858,0.00275687376869288,12.5740384615385,0.824576145874577,0.00758999999999999,79.5289439473883,1.029555,-60.5,1.02866,13.03125,249.999984741211,1.02832,-42.09375,1.02959,-60.53125,1.55732838004022
"131",141.152544,136.718794703484,0.0877228975296021,-75.9687576293945,-61.491153717041,"Rorb-IRES2-Cre",99.7187561035157,0.0233020464716072,56.7364705882353,0.186829278533363,0.0297050000000001,17.6253473230208,1.15678,-47.2812538146973,1.154755,46.03125,70,1.15435,-37.3750038146973,1.18777,-53.7812538146973,3.53909845229126
"136",100.70636,147.499918937683,0.137995809316635,-90.9062576293945,-74.1732482910156,"Ntsr1-Cre_GN220",99.3062545776367,0.0237073067788522,51.0925,0.348521140719735,0.0266,19.5723442775358,1.106795,-55.8125038146973,1.10513,45.9687538146973,90,1.104665,-47.0937538146973,1.14142,-58.0312538146973,2.65557073563291
"137",176.9292,123.281359672546,0.0316939763724804,-99.6562576293945,-85.1570739746094,"Nr5a1-Cre",88.8906278610229,0.0450018072271697,90.26,0.172321437682424,0.04582,11.0791048083315,1.12969,-53.03125,1.12778,33.15625,110,1.12727,-45.28125,1.175875,-59.09375,3.52442479462201
"138",200.678192,148.437365889549,0.046664297580719,-96.375,-76.7660217285156,"Nr5a1-Cre",90.0781288146972,0.209255162241887,54.2400000000001,0.0526760563380282,0.035925,18.4365781710914,1.085835,-46.03125,1.083655,37.0625,150,1.08322,-35.03125,1.09986,-50.09375,3.63082310287827
"140",293.105056,170.312494039536,0.04738874360919,-97.21875,-78.7213439941406,"Nr5a1-Cre",95.8854166666667,0.0557216459252439,99.9033333333333,0.157034060742819,0.0573600000000001,10.0096760201528,1.191825,-47.75,1.189375,40.25,110,1.18897,-34.4062538146973,1.219855,-54.9062538146973,2.87455060290872
"146",198.265632,191.093742847443,0.131337389349937,-96.59375,-76.0379028320312,"Rorb-IRES2-Cre",82.6937534332276,0.0176063190668118,61.5173333333333,0.197579525314607,0.05122,16.2555810828385,1.32958,-54.3125,1.32576,28.3125,50,1.3252,-45.4062538146973,1.38632,-62.5625038146973,4.07398239147955
"147",190.287488,144.062504172325,0.268266767263412,-84.96875,-68.8367080688477,"Rbp4-Cre_KL100",97.7500066757202,0.017156113629541,53.4020588235294,0.244488197869513,0.0352250000000001,18.7258697891137,1.774925,-49.0312538146973,1.77302,44.6250038146973,80,1.77259,-40.28125,1.827815,-56.0625,3.48796293873898
