"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"171",191.084912,113.749966025,0.05627226457,-100.71875,-79.1717681885,74.9062523842,"Inhibitory",8.93861666667,-54.1145846049,8.93747166667,9.40625063578,197.958333333,8.93704833333,-30.0625006358,8.9389,-54.3854179382,1.33701295802
"178",114.021752,127.812504768,0.106968931854,-88.3437576294,-74.2105255127,94.7125053406,"Excitatory",5.51915833333,-46.2604192098,5.51670833333,42.5104179382,112.41666921,5.51631666667,-37.9791679382,5.56878666667,-54.9583358765,3.81526438759
"183",86.913328,63.2810592651,0.136888489127,-92.4062576294,-75.2600326538,79.4625041962,"Inhibitory",14.4204516667,-55.7291692098,14.4198816667,17.3958339691,334.958333333,14.4196283333,-31.7291666667,14.4212116667,-55.9270858765,1.17029539539
"187",332.401536,214.687585831,0.110406376421,-99.2187576294,-75.1252746582,98.9739608765,"Inhibitory",3.11643375,-48.0546913147,3.11495375,38.3671884537,52.3749980927,3.11456,-36.1640644073,3.11659625,-48.187502861,2.80848892985
"191",99.909832,101.562425494,0.0296605732292,-85.90625,-74.6041259766,92.5312545776,"Excitatory",10.2324866667,-47.020837148,10.2275533333,37.3229179382,230.166666667,10.2269133333,-34.7395846049,10.2459733333,-51.770837148,4.40085988104
"193",147.077856,151.093795896,0.0657483264804,-90.125,-73.7776107788,84.6437530518,"Excitatory",3.82100125,-41.828127861,3.81947875,35.8671898842,70,3.81913375,-31.8125019073,3.87448625,-56.0078144073,3.09730182807
"194",169.12584,151.56288445,0.112007252872,-97.6875076294,-78.5200042725,71.4375030518,"Excitatory",6.684665,-48.6250038147,6.6824,30.3750019073,141.5,6.68176,-35,6.7093,-51.1875038147,2.29200665123
"195",181.7188,150.468751788,0.0196336731315,-92.5625076294,-75.2881317139,98.6375045776,"Excitatory",4.86926,-48.7395858765,4.86726,40.2708346049,96.1666666667,4.86685333333,-34.1250038147,4.89396666667,-55.7916704814,3.57907347562
"202",93.91992,52.3437894881,0.0390145964921,-81.8437576294,-75.7674789429,79.9531291326,"Inhibitory",15.1403283333,-60.7812538147,15.13984,19.4583346049,353,15.1396,-34.9895833333,15.1403516667,-60.9166704814,1.10471645022
"212",253.627056,202.723219991,0.0289534665644,-92.9375076294,-71.8275680542,80.4187530518,"Inhibitory",5.06384666667,-52.7916704814,5.05978666667,21.7708339691,100.958333333,5.05931333333,-30.7083352407,5.07193333333,-57.7500025431,2.73866042436
"213",205.585184,165.803566575,0.114712543786,-90.9062576294,-73.2946472168,98.8625045776,"Inhibitory",6.425225,-56.5104204814,6.42386833333,26.8854179382,135.08333079,6.423395,-24.7812512716,6.42539833333,-56.6875025431,1.36657875756
"217",354.898944,291.875004768,0.239930257201,-99.4062576294,-68.5587463379,71.8515663147,"Inhibitory",3.18561666667,-52.0833358765,3.18425,16.0312503179,54.0833320618,3.18388333333,-36.864587148,3.18573833333,-52.2916666667,2.18901850502
"228",97.848864,59.062615037,0.0487442165613,-81.5,-73.6921920776,90.5750041962,"Inhibitory",16.308985,-56.7916704814,16.30838,26.2500019073,382.208333333,16.3081033333,-33.1354204814,16.30904,-56.8854204814,1.34099975017
"233",110.729696,67.9086819291,0.0338015183806,-93.71875,-76.3146133423,97.4375030518,"Inhibitory",13.74519,-59.895837148,13.7445,27.9062512716,318.125,13.744195,-32.59375,13.7452733333,-60.0520858765,1.22230936769
"239",354.501888,248.571425676,0.103792816401,-99.3437576294,-75.8354644775,88.3250022888,"Excitatory",3.161575,-51.2812538147,3.15939833333,35.1250012716,53.5000012716,3.158965,-35.2083358765,3.19225666667,-60.6666679382,3.01208642139
"250",215.196992,254.062503576,0.289511501789,-95.28125,-77.1006546021,83.820315361,"Excitatory",3.78902,-52.5729192098,3.78628,30.5104173024,69.125,3.78579833333,-40.5833346049,3.81499,-59.5833346049,2.90896092118
"251",134.68496,146.093830466,0.0842964947224,-89.21875,-73.2192153931,77.5812545776,"Excitatory",8.14928,-44.1666692098,8.14774666667,33.1145839691,178.208333333,8.14725333333,-30.9687525431,8.171265,-48.0416692098,2.14182345791
