"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"137",176.9292,123.281359672546,0.0316939763724804,-99.6562576293945,-85.1570739746094,"Nr5a1-Cre",88.8906278610229,6.261465,-52.0625012715658,6.25953666666667,41.9583358764648,130.958333333333,6.25906,-40.1458333333333,6.29017,-58.1354179382324,3.70285736190798
"138",200.678192,148.437365889549,0.046664297580719,-96.375,-76.7660217285156,"Nr5a1-Cre",90.0781288146972,7.506305,-46.5104166666667,7.50380166666667,44.4583346048991,162.125,7.50336333333333,-32.1145846048991,7.51918666666667,-51.7708346048991,3.69068134078344
"140",293.105056,170.312494039536,0.04738874360919,-97.21875,-78.7213439941406,"Nr5a1-Cre",95.8854166666667,4.42412166666667,-47.28125,4.42239166666667,44.2291679382324,85.0416666666667,4.42199166666667,-34.8125,4.44969833333333,-54.9375,2.98429560523263
"146",198.265632,191.093742847443,0.131337389349937,-96.59375,-76.0379028320312,"Rorb-IRES2-Cre",82.6937534332276,3.64563333333333,-53.5833346048991,3.64226,29.1979179382324,65.5,3.64167333333333,-44.6250025431315,3.68686666666667,-60.3958371480306,3.95421498541882
"147",190.287488,144.062504172325,0.268266767263412,-84.96875,-68.8367080688477,"Rbp4-Cre_KL100",97.7500066757202,3.98277666666667,-49.1458346048991,3.98097333333333,48.1250038146973,74.0416641235352,3.98056333333333,-38.9895846048991,4.03179,-52.8333371480306,3.66351348037154
"152",227.508608,197.343707084656,0.0717815309762955,-91.03125,-72.4250030517578,"Cux2-CreERT2",93.1197973887125,3.770245,-43.4687538146973,3.76856,42.7656269073486,68.7500019073486,3.7681725,-35.0312519073486,3.808815,-52.6718769073486,3.11076475756727
"155",151.449984,156.874880194664,0.0137283848598599,-83.4687576293945,-67.0353393554688,"Ctgf-T2A-dgCre",89.4791692097982,4.39686666666667,-48.0104179382324,4.39286,39.5520871480306,84.2916666666667,4.39240666666667,-43.4270858764648,4.42072,-54.8541679382324,5.67460593841598
"156",135.071536,150.312572717667,0.0128363044932485,-97.3750076293945,-82.9683837890625,"Rorb-IRES2-Cre",94.9687519073486,5.73030166666667,-49.1250012715658,5.72795833333333,35.5104166666667,117.708335876465,5.72751833333333,-36.1458358764648,5.75187333333333,-56.1354179382324,2.79303798950382
"159",171.60632,190.937504172325,0.0479762889444828,-90.2812576293945,-71.7251586914062,"Rorb-IRES2-Cre",102.92187945048,2.91856,-49.1875,2.916345,48.9270871480306,47.4166666666667,2.91589333333333,-42.3020858764648,2.964955,-54.5416704813639,4.26943608218418
"166",296.814144,241.406247019768,0.0152476401999593,-98.3750076293945,-78.1602478027344,"Rorb-IRES2-Cre",93.9609432220459,3.05370833333333,-47.4166692097982,3.051765,45.8229204813639,50.7916666666667,3.05135,-38.4687538146973,3.08824666666667,-53.7187512715658,4.00039259830761
"167",116.338568,137.968748807907,0.0681690126657486,-95.15625,-79.8806610107422,"Rbp4-Cre_KL100",88.9312553405762,6.860495,-46.8645871480306,6.85795833333333,37.1041679382324,145.958323160807,6.85752666666667,-36.7395871480306,6.89887666666667,-55.6250038146973,3.97157985974743
"168",173.020224,158.125042915344,0.0363949500024319,-89.28125,-72.2956085205078,"Scnn1a-Tg2-Cre",98.6484413146972,4.52211333333333,-43.2291692097982,4.519095,46.2500012715658,87.4583333333333,4.51859666666667,-33.3541679382324,4.56376833333333,-49.6354192097982,4.22235725516694
"170",248.194624,214.531287550926,0.0620325468480587,-97.5937576293945,-74.4105987548828,"Rorb-IRES2-Cre",94.3500038146973,3.3345,-50.9687538146973,3.3327125,44.828125,57.8124980926514,3.3322875,-39.7500019073486,3.38579,-55.875,3.0975564179108
"172",181.365824,180.468738079071,0.0440940260887146,-97.3437576293945,-79.6418533325195,"Ctgf-T2A-dgCre",105.168754577637,3.89353333333333,-55.4270858764648,3.89036,49.9791692097982,71.7916641235352,3.88995333333333,-47.9687525431315,3.92720666666667,-60.5625025431315,6.29670740824765
"178",114.021752,127.812504768372,0.106968931853771,-88.3437576293945,-74.2105255126953,"Cux2-CreERT2",94.7125053405762,5.51915833333333,-46.2604192097982,5.51670833333333,42.5104179382324,112.416669209798,5.51631666666667,-37.9791679382324,5.56878666666667,-54.9583358764648,3.81526438759158
"179",111.783512,96.4062511920929,0.128462821245193,-87.3750076293945,-77.0904159545898,"Rorb-IRES2-Cre",96.1125045776367,7.57483833333333,-51.1666704813639,7.57237,41.8333346048991,163.791666666667,7.57186833333333,-40.0625025431315,7.62614166666667,-57.0208358764648,3.34769375055237
"180",237.443072,210.000112652779,0.067415326833725,-96.8437576293945,-76.3125610351562,"Rorb-IRES2-Cre",90.9687538146973,2.95012666666667,-50.6770833333333,2.94764666666667,38.9895846048991,48.1666666666667,2.94719333333333,-39.2812525431315,2.97530666666667,-56.4687525431315,4.3830206539064
"181",130.625632,156.875044107437,0.0385764725506306,-97,-80.403678894043,"Cux2-CreERT2",99.8906307220458,4.26101,-49.9687512715658,4.25847166666667,47.2291692097982,80.9583307902018,4.25802333333333,-41.6250012715658,4.313415,-58.7812525431315,4.62656737888918
"182",227.302992,202.812537550926,0.0736343935132027,-89.4687576293945,-66.8419036865234,"Scnn1a-Tg2-Cre",83.1093762715657,3.6376,-39.2708346048991,3.63566,41.9791666666667,65.375,3.63520333333333,-27.1250006357829,3.664705,-46.5104166666667,2.9337051575482
"184",201.381808,171.093553304672,0.100417703390121,-97.09375,-77.6002655029297,"Rbp4-Cre_KL100",97.3437566757202,4.89379166666667,-57.3854192097982,4.89116833333333,40.1979192097982,96.7499974568685,4.890665,-41.8020846048991,4.93345,-62.1979192097982,3.59954959511677
"190",103.000992,90.1562497019768,0.17621211707592,-82.7812576293945,-71.9120330810547,"Rbp4-Cre_KL100",95.5208384195963,6.74135333333333,-45.6875012715658,6.73920833333333,47.71875,142.95832824707,6.73883333333333,-40.8958346048991,6.81011666666667,-53.6979204813639,4.29805269945845
"191",99.909832,101.562425494194,0.0296605732291937,-85.90625,-74.6041259765625,"Ctgf-T2A-dgCre",92.5312545776367,10.2324866666667,-47.0208371480306,10.2275533333333,37.3229179382324,230.166666666667,10.2269133333333,-34.7395846048991,10.2459733333333,-51.7708371480306,4.40085988104219
"193",147.077856,151.093795895576,0.0657483264803886,-90.125,-73.7776107788086,"Scnn1a-Tg3-Cre",84.6437530517578,3.82100125,-41.8281278610229,3.81947875,35.8671898841858,70,3.81913375,-31.8125019073486,3.87448625,-56.0078144073486,3.09730182807169
"194",169.12584,151.562884449959,0.11200725287199,-97.6875076293945,-78.5200042724609,"Ntsr1-Cre_GN220",71.4375030517579,6.684665,-48.6250038146973,6.6824,30.3750019073486,141.5,6.68176,-35,6.7093,-51.1875038146973,2.29200665122707
"200",136.608464,118.750378489494,0.0723411068320274,-89.8750076293945,-71.7197418212891,"Rorb-IRES2-Cre",78.1250025431315,4.17222,-46.0312512715658,4.16814666666667,28.3541679382324,78.7083333333333,4.16753666666667,-37.2083346048991,4.2178,-54.0520858764648,4.38758525584252
"203",151.260384,136.250004172325,0.00724146328866482,-84.0625,-69.0978317260742,"Scnn1a-Tg2-Cre",89.5312557220458,5.44919333333333,-44.8333346048991,5.4456,37.5520846048991,110.625,5.44512666666667,-30.9791679382324,5.46629333333333,-50.1875012715658,4.07242688546288
"206",374.962944,356.249958276749,0.0765689760446548,-98.0625076293945,-59.0870780944824,"Rbp4-Cre_KL100",82.2343778610229,2.02632666666667,-46.5937512715658,2.02361333333333,37.6979179382324,25.0833326975505,2.02312,-34.7708333333333,2.05387333333333,-55.0104192097982,3.38426287498174
"209",86.395136,138.258814811707,0.118607446551323,-88.1250076293945,-72.494873046875,"Ntsr1-Cre_GN220",100.87500445048,8.51848,-45.6979192097982,8.51657833333333,42.5000012715658,187.374994913737,8.51601166666667,-29.0000019073486,8.541385,-47.5312525431315,2.10374211711632
"210",459.790784,263.593733310699,0.0127053381875157,-101.250007629395,-77.0944213867188,"Scnn1a-Tg3-Cre",98.5437522888184,2.60287333333333,-51.8645858764648,2.60081333333333,45.3645858764648,39.4583333333333,2.60038666666667,-36.2500012715658,2.61971333333333,-57.0104204813639,3.72509875146065
