"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"195",181.7188,150.468751788,0.0196336731315,-92.5625076294,-75.2881317139,98.6375045776,"Excitatory",0.0629883953441,84.175,0.111323543104,0.04478,11.88001188,1.15056,-47.53125,1.14772,38.4062538147,130,1.1473,-33.8437538147,1.1657,-54.875,3.80198692872
"202",93.91992,52.3437894881,0.0390145964921,-81.8437576294,-75.7674789429,79.9531291326,"Inhibitory",0.000508087220396,22.5144186047,0.64021879049,0.021705,44.4159814899,1.35407,-63.8750038147,1.35358,15.2812509537,360,1.35334,-38.03125,1.354095,-63.9375,1.06710353398
"212",253.627056,202.723219991,0.0289534665644,-92.9375076294,-71.8275680542,80.4187530518,"Inhibitory",-0.00941554688451,72.2433333333,0.160497578083,0.12866,13.8421076916,1.6913,-52.71875,1.68698,16.15625,110,1.68646,-28.0937519073,1.69884,-56.3437538147,2.63410965572
"213",205.585184,165.803566575,0.114712543786,-90.9062576294,-73.2946472168,98.8625045776,"Inhibitory",0.0014884132951,23.140952381,0.734448890832,0.024905,43.2134332044,1.074665,-59.7812538147,1.07357,32.875,120.000007629,1.073165,-32.3125,1.074725,-59.9375038147,1.50061180339
"217",354.898944,291.875004768,0.239930257201,-99.4062576294,-68.5587463379,71.8515663147,"Inhibitory",0.105556259558,21.231,0.0530821917808,0.01904,47.1009373087,1.093005,-53.28125,1.091745,17,50,1.09141,-38.28125,1.093015,-53.4062538147,2.33900260582
"228",97.848864,59.062615037,0.0487442165613,-81.5,-73.6921920776,90.5750041962,"Inhibitory",0.00402846268253,16.3270833333,0.738534182459,0.011525,61.2479265025,1.11027,-55.6562538147,1.109625,17.75,419.999969482,1.109345,-34.1875038147,1.11031,-55.8750038147,1.27693538645
"233",110.729696,67.9086819291,0.0338015183806,-93.71875,-76.3146133423,97.4375030518,"Inhibitory",0.00502526254159,20.9905952381,0.722016363371,0.112885,47.6403831648,1.40863,-60.3437538147,1.407925,19.625,300,1.40762,-33.4687538147,1.40867,-60.5000038147,1.17642134205
"239",354.501888,248.571425676,0.103792816401,-99.3437576294,-75.8354644775,88.3250022888,"Excitatory",0.00710291180966,52.2558333333,0.271951219512,0.047835,19.1366195162,1.15829,-49.8750038147,1.156405,32.0625,50,1.15598,-36.46875,1.1891,-59.8437538147,3.00179795556
"250",215.196992,254.062503576,0.289511501789,-95.28125,-77.1006546021,83.820315361,"Excitatory",0.0101593608978,61.953,0.235501066098,0.0387,16.1412683809,1.118045,-53.8125,1.115835,29.375,70,1.11537,-42.4687538147,1.13476,-58.9375,2.92140439502
"251",134.68496,146.093830466,0.0842964947224,-89.21875,-73.2192153931,77.5812545776,"Excitatory",0.0314171806017,80.3122727273,0.149529071575,0.046135,12.4513971034,1.09785,-44.3750038147,1.095845,30.0937519073,190,1.095375,-32.2500038147,1.110815,-45.53125,2.35459221302
"258",199.163616,128.78613174,0.103579640388,-86.5625076294,-74.2342147827,89.6328163147,"Excitatory",0.00857220641801,59.995,0.206250010984,0.03832,16.6680556713,1.12592,-50.4687538147,1.12408,36.75,110,1.12364,-41.09375,1.16458,-59.1250038147,2.95575700219
"262",200.542144,115.468747914,0.0158823784441,-89.625,-77.1948776245,80.8385454814,"Inhibitory",-0.00489474649908,77.9116666667,0.228509480088,0.06424,12.8350482384,1.6928,-50.5,1.68962,24.25,150,1.68908,-36.3437538147,1.70012,-54.3750038147,3.73982856537
"263",184.926912,196.874961257,0.0152577310801,-94.7187576294,-73.4410629272,97.9479192098,"Excitatory",0.0235217354639,65.4935714286,0.21987804878,0.05602,15.2686741338,1.20667,-49.9375,1.204295,42.5,50,1.203895,-37.5937538147,1.23051,-56.5000038147,4.13520298009
"264",370.4088,201.87497139,0.0250958018005,-100.625007629,-77.4324569702,98.5625030518,"Excitatory",0.0740124609042,98.3183333333,0.202867397397,0.056525,10.1710430405,1.21906,-50.7812538147,1.21526,43.375,70,1.214875,-38.2500038147,1.253845,-58.375,4.81694493563
"265",187.116976,182.81237781,0.117170937359,-89.4687576294,-69.3327636719,88.3750030518,"Inhibitory",0.00267944458556,27.175,0.335919063457,0.00868,36.7985280589,1.11192,-53.5000038147,1.11032,27.4062519073,140,1.1099,-37.3750038147,1.11226,-53.6250038147,2.50275636332
