"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"56",245.483136,342.343896627,0.0631874278188,-97.7812576294,-71.8004760742,85.6937526703,"Excitatory",0.0182063105843,52.8905555556,0.19941263941,0.03879,18.9069672174,1.1107,-47.0000038147,1.10867,24.25,50,1.108095,-37.40625,1.133555,-51.1562538147,2.6471854084
"57",244.460368,178.28117311,0.0534816235304,-96.09375,-79.4305877686,87.867190361,"Excitatory",0.0200593683443,61.381,0.199621220808,0.044355,16.2916863525,1.11842,-48.34375,1.11556,33.8125,90,1.1151,-34.9687538147,1.13946,-54.40625,3.33455174257
"60",89.69156,116.718634963,0.101548105478,-86.96875,-73.244430542,76.2031254768,"Excitatory",0.0265356304415,97.82,0.115714285714,0.073615,10.2228583112,1.15001,-44.75,1.14605,24.84375,130,1.145605,-34.9687538147,1.18508,-54.0312538147,3.11670159398
"61",141.49072,136.87504828,0.204059511423,-82.21875,-68.0052108765,90.3812561035,"Excitatory",0.0763599330869,116.445,0.154166675288,0.047445,8.58774528747,1.13998,-46.6250038147,1.13732,38.1562538147,70,1.136845,-43.7500038147,1.21286,-56.78125,3.88627159221
"63",121.629184,114.375077188,0.00830821041018,-87.96875,-74.8086242676,92.8875038147,"Excitatory",0.0411127831953,126.037142857,0.18643412269,0.08262,7.93416906581,1.16198,-43.375,1.15966,38.5625038147,110,1.15912,-35.34375,1.1891,-48.4375038147,3.41610739183
"64",295.471392,381.116092205,0.0323237255216,-97.2500076294,-61.2463378906,81.2343792915,"Inhibitory",0.0319007383669,68.1142857143,0.276785714286,0.02318,14.6812080537,1.08282,-48.4375038147,1.07984,27.6562519073,50,1.07928,-35.1250038147,1.09544,-52.9375038147,2.41013214428
"65",457.05392,429.464250803,0.0329337976873,-101.125,-61.4177131653,72.3375032425,"Inhibitory",0.0120166229649,25.8751351351,0.475438599814,0.011025,38.6471411561,1.14718,-52.3125,1.14616,10.7812509537,10,1.14577,-44.65625,1.16536,-55.4062538147,1.8165165381
"68",184.539952,182.500004768,0.119770824909,-92.1875,-71.7014846802,96.600006485,"Inhibitory",0.00489873821169,34.1567857143,0.535286713328,0.014115,29.276759481,1.121335,-65.46875,1.12026,22.53125,100,1.1199,-45.53125,1.121475,-65.7187576294,1.71036093614
"69",190.300928,200.468793511,0.0824973285198,-88.1875,-67.3841094971,91.6250061035,"Excitatory",0.0584582705371,74.53,0.21075794621,0.05854,13.4174158057,1.44828,-46.8437538147,1.44532,35.40625,70,1.44484,-38.03125,1.47166,-54.2812538147,3.69751323564
"70",264.798528,149.151861668,0.12802401185,-89.5312576294,-73.0108566284,101.562507629,"Excitatory",0.045550395712,94.072,0.20833333868,0.05872,10.6301556255,1.27352,-52.5000038147,1.27162,46.5,150,1.27118,-34.0312538147,1.27972,-53.03125,2.83299305354
"71",222.887792,179.53132093,0.0298339929432,-86.7812576294,-67.0462722778,86.1062526703,"Excitatory",-0.0168356848018,51.3175,0.253218889093,0.14006,19.4865299362,1.53066,-53.6562538147,1.5277,26.5000019073,110,1.52722,-37.09375,1.53254,-54.5000038147,3.27769707502
"72",99.352144,153.437390924,0.0158438868821,-94.4375,-78.2422027588,93.8875053406,"Excitatory",0.0527321787203,78.8357142857,0.156818187519,0.05146,12.6846063242,1.102505,-47.9062538147,1.10078,41.78125,130,1.100455,-36.4062538147,1.929355,-50.7500038147,3.6315394591
"73",220.59136,98.9955067635,0.0657196864486,-88.90625,-74.5770797729,85.5750038147,"Inhibitory",0.00211193289692,8.44034188034,1.74097222222,0.00582,118.478613091,1.03208,-65.78125,1.03152,14.6875009537,330,1.0312,-37.5937538147,1.03212,-65.9062576294,1.08527928622
"74",272.130624,270.312130451,0.0580473504961,-101.4375,-78.7274246216,87.4937530518,"Inhibitory",0.0287648842883,49.6315789474,0.191333333333,0.02754,20.1484623542,1.09448,-48.96875,1.09168,35.875,70,1.09118,-40.5,1.11242,-53.7187538147,3.49841394266
"75",210.982144,189.374998212,0.113283351064,-92.78125,-72.2372360229,100.453129768,"Excitatory",0.0970336484555,106.3575,0.0353070146908,0.058835,9.40225183932,1.109405,-49.0312538147,1.105395,46.2812538147,130,1.104985,-36.03125,1.13087,-53.6250038147,4.95758951595
"76",259.181008,202.812537551,0.0622826330364,-98.4687576294,-77.232673645,94.5781326294,"Excitatory",0.0503965891606,76.6381818182,0.121361509016,0.05434,13.0483262556,1.12204,-46.59375,1.11818,36.375,130,1.11772,-32.21875,1.13768,-51.375,4.26427145436
"77",182.50048,124.062463641,0.0150359999388,-94.7187576294,-80.3704452515,97.7312553406,"Excitatory",0.12919787131,50.5925,0.123529403567,0.03008,19.7657755596,1.081785,-49.6562538147,1.077925,29.59375,190,1.07737,-37.5,1.09428,-54.1875038147,3.8895726102
"78",116.209488,84.3750014901,0.0581761337817,-85.1250076294,-75.4689025879,96.9062538147,"Inhibitory",-0.00994617469184,70.8661538462,0.191501976285,0.04966,14.111108699,1.85868,-54.40625,1.85428,28.3437519073,290,1.85388,-32.9687538147,1.8617,-55.8750038147,4.32160351348
"79",218.646752,135.312616825,0.0169601105154,-83.96875,-68.6992721558,80.1822945277,"Inhibitory",0.00277421902588,13.8646478873,0.753965192429,0.008405,72.1258850659,1.03709,-55.4687538147,1.03607,13.03125,160,1.035705,-33.40625,1.03731,-55.6250038147,1.45339116105
"83",138.529536,82.8124955297,0.0359153226018,-93.03125,-83.3805465698,85.4531265895,"Inhibitory",0.492227663731,325.006666667,0.76419525066,0.013895,3.07685996185,1.03512,-67.875,1.034235,4.34375,270,1.03393,-47.53125,1.03516,-68.03125,1.5017895171
"84",109.64168,122.812502086,0.0203067641705,-93.90625,-80.4940795898,94.6718759537,"Excitatory",0.0490471431928,78.3515,0.249999987284,0.04684,12.7629975176,1.1334,-49.3125038147,1.128615,25.15625,230,1.127945,-38.28125,1.14623,-52.8125,3.71727316392
"86",267.333216,244.37507987,0.148372203112,-99.7187576294,-72.7958526611,81.9000030518,"Inhibitory",0.0143715438484,52.5841666667,0.441071428571,0.04234,19.0171312657,1.134075,-53.4062538147,1.132825,17,70,1.13238,-35.5,1.134235,-53.59375,1.58199485467
