"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"78",-0.00994617469184,70.8661538462,0.191501976285,1.85868,10.91632,1.02778,-54.40625,-53.8125025431,-63.4609384537,116.209488,0.04966,1.85428,10.9127266667,1.023425,28.3437519073,32.9375,33.445315361,84.3750014901,0.0581761337817,1.152265,-75.8203144073,290,247.33333842,840,1.85388,10.91234,1.02309,-32.9687538147,-33.6666679382,-39.2421894073,1.8617,10.9206533333,1.152265,-55.8750038147,-56.895837148,-75.8203144073,4.32160351348,4.27547002822,2.56839546686,-85.1250076294,-75.4689025879,"Htr3a-Cre_NO152",96.9062538147,14.111108699
"79",0.00277421902588,13.8646478873,0.753965192429,1.03709,7.71638666667,1.02428,-55.4687538147,-54.2604166667,-58.9427108765,218.646752,0.008405,1.03607,7.71532166667,1.02338,13.03125,17.4270833333,21.2395836512,135.312616825,0.0169601105154,1.243265,-68.7447929382,160,167.375,0,1.035705,7.71492833333,1.02309583333,-33.40625,-30.1562512716,-41.5520839691,1.03731,7.71648333333,1.243265,-55.6250038147,-54.3541666667,-68.7447929382,1.45339116105,1.37539434839,1.59308404621,-83.96875,-68.6992721558,"Pvalb-IRES-Cre",80.1822945277,72.1258850659
"80",0.0161224236178,27.0981818182,0.436830357143,1.05046,3.94032,1.02573,-49.625,-47.0104166667,-53.8750019073,290.759008,0.01316,1.04892,3.93876,1.02376,18.5625019073,20.8333346049,15.828125,258.593797684,0.146825417876,1.43405,-75.8906326294,90,72.9583282471,290,1.04856,3.93835333333,1.02341,-40.1875,-36.8125,-47.2343769073,1.0505,3.94102,1.43405,-49.6875,-47.3437538147,-75.8906326294,2.64218266554,2.66657146976,2.51657007382,-98.2812576294,-75.1858596802,"Vip-IRES-Cre",69.7031269073,36.9028448739
"83",0.492227663731,325.006666667,0.76419525066,1.03512,14.1031516667,1.02423666667,-67.875,-60.6666679382,-67.9531262716,138.529536,0.013895,1.034235,14.1022583333,1.02333166667,4.34375,17.3854173024,17.5000003179,82.8124955297,0.0359153226018,1.67586083333,-82.5989634196,270,327.041666667,226.666666667,1.03393,14.10191,1.02305,-47.53125,-32.5625,-45.6145852407,1.03516,14.1032066667,1.67586083333,-68.03125,-60.8333358765,-82.5989634196,1.5017895171,1.29597354453,1.48230866625,-93.03125,-83.3805465698,"Pvalb-IRES-Cre",85.4531265895,3.07685996185
"86",0.0143715438484,52.5841666667,0.441071428571,1.134075,3.612355,1.024772,-53.4062538147,-56.6250025431,-58.9000015259,267.333216,0.04234,1.132825,3.611305,1.023582,17,30.7916679382,23.0000015259,244.37507987,0.148372203112,1.471306,-73.0875030518,70,64.7500025431,0,1.13238,3.61083,1.023139,-35.5,-35.03125,-41.1750022888,1.134235,3.612415,1.471306,-53.59375,-56.7291679382,-73.0875045776,1.58199485467,1.42842989944,1.5383414444,-99.7187576294,-72.7958526611,"Sst-IRES-Cre",81.9000030518,19.0171312657
"90",0.00309000052684,14.2991304348,0.385887210436,1.03317,15.75947,1.0248925,-54.46875,-50.0729204814,-56.380212148,81.808176,0.008155,1.032375,15.7576,1.02328916667,16.6875019073,3.79166698456,17.6302089691,82.5000405312,0.0312513895333,1.32689666667,-69.9375025431,390,368.416666667,820,1.03208,15.7571916667,1.02302333333,-34.6875,-26.1354179382,-43.4479192098,1.033275,15.7609983333,1.32689666667,-54.6875038147,-51.270837148,-69.9375025431,1.40031676764,1.12830995678,1.5989405595,-86.0625076294,-69.6435470581,"Pvalb-IRES-Cre",74.0104211171,69.9343225493
"92",0.00430307808238,76.96625,0.120964568385,1.12592,7.152035,1.029002,-58.0937538147,-58.5104179382,-64.3312515259,105.004096,0.031065,1.120345,7.14704,1.023125,17,25.2187512716,21.8187503815,106.25000298,0.0707838535309,1.475093,-74.7562545776,160,153.166666667,740,1.11998,7.14668333333,1.022826,-34.875,-36.28125,-42.6312522888,1.130915,7.15906,1.475093,-60.5937538147,-62.1562525431,-74.7562545776,3.34104255613,3.51677224265,2.73870846119,-85.4375076294,-73.8230819702,"Htr3a-Cre_NO152",86.1500019073,12.9927078427
"104",0.00254494411825,8.30088888889,1.36487042436,1.029525,12.5787966667,1.0242,-65.15625,-57.1875038147,-62.781252861,161.001792,0.004955,1.028965,12.5780283333,1.02343375,25.5000019073,14.2187503179,16.2890629768,105.156250298,0.0280808564276,1.698995,-75.1718769073,370,288.958333333,0,1.02868,12.577645,1.02316125,-34.71875,-29.447918574,-41.6015663147,1.02955,12.5788466667,1.698995,-65.28125,-57.2708358765,-75.1718769073,1.15719534016,1.10585177552,1.3465538054,-100.468757629,-74.0991973877,"Pvalb-IRES-Cre",79.0703158379,120.469026075
"105",0.133396954436,101.475,0.133116883117,1.11984,4.30658666667,1.02547,-45.53125,-41.6041692098,-50.4843759537,227.981824,0.03402,1.11716,4.30418,1.02361,33.5,32.90625,36.3515634537,312.187582254,0.0285992901772,1.352735,-62.882815361,50,82.0416666667,479.999969482,1.11658,4.30344666667,1.023115,-34.53125,-30.2291679382,-43.359375,1.14244,4.33254666667,1.352735,-53.1562538147,-49.7916679382,-62.882815361,2.4494800266,2.26663728378,2.74799510097,-94.5937576294,-61.9263076782,"Chrna2-Cre_OE25",86.8359394073,9.85464400099
"110",-0.00230963312777,24.285,1.05921792844,1.029815,12.2790783333,1.0240175,-59.90625,-61.7812525431,-66.9791679382,130.90852,0.006695,1.02886,12.2783,1.02319083333,-1,15.0625009537,13.2291671435,101.250037551,0.017625246197,1.5513425,-76.0625025431,310,281.458333333,433.333333333,1.028585,12.2780133333,1.02294666667,-39.5,-32.7291692098,-45.3281269073,1.029835,12.2791366667,1.5513425,-60.0000038147,-61.9166704814,-76.0625050863,1.54677352432,1.21995656261,1.41283992758,-86.2812576294,-75.108543396,"Pvalb-IRES-Cre",80.2083350817,41.1776816965
