specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,transgenic_line,binary_neuron,tau,layer_full,acronym,height_short,height_long,height_ramp,L_tg
501022658,0.2463579888,144.204,0.052375218,83.84,10.65442,5.52,-47.46875,-46.8645858765,-54.0312538147,0.02936,81.58,10.6510866667,3.532,40.9375038147,41.2187538147,46.3437522888,80.4688632488,0.0389747396,310.0,266.25,0.0,81.08,10.6506133333,3.144,-40.84375,-36.6145833333,-50.7000038147,102.78,10.6731266667,384.024,-52.3125,-53.7187512716,-78.0812561035,3.6973323787,3.7667464322,4.5221714355,-77.819480896,Cux2-CreERT2,Excitatory,14.5365935302,Primary visual area layer 2/3,VISp2/3,100.375006103,88.4062538147,88.0833396912,L2tg
489923501,0.0110782776,31.9805,0.32,75.435,2.19213,4.44,-47.0625,-45.9687519073,-54.3593788147,0.01688,73.835,2.190665,3.265,39.1250038147,39.9531269073,41.2187519073,299.196541309,0.0677318797,70.0,54.7500019073,190.0,73.46,2.19026,2.9575,-35.8437538147,-34.5937519073,-45.8281288147,90.32,2.22029,331.7775,-51.9687538147,-53.15625,-73.875,2.9319891564,2.8127105091,3.0780477411,-72.3506011963,Cux2-CreERT2,Excitatory,20.9766155697,Primary visual area layer 2/3,VISp2/3,95.578130722,86.1875038147,85.9218788146,L2tg
486776965,0.0970233487,129.621666667,0.1244164256,202.8,5.3263416667,6.227,-46.8750038147,-47.114587148,-51.6125022888,0.064515,198.81,5.3231533333,3.427,33.3125038147,34.8437512716,36.5500030518,125.781208277,0.0596978143,160.0,133.041666667,260.0,198.355,5.3227283333,3.057,-37.3125,-35.2812525431,-45.8062538147,243.06,5.3745433333,534.734,-54.3437538147,-57.0625025431,-80.3625045776,4.0717152717,3.7095965409,4.2710107644,-80.3194351196,Cux2-CreERT2,Excitatory,17.1797306673,Primary visual area layer 2/3,VISp2/3,88.1625053406,80.1875076294,81.9583384196,L2tg
516916566,0.0151029032,50.3936842105,0.2903225787,234.52,1.5047533333,4.952,-53.125,-52.114587148,-53.5000038147,0.03358,232.44,1.5028733333,3.46,42.1562538147,42.3645846049,40.1750015259,353.749871254,0.0400684588,29.9999980927,37.5833333333,380.0,231.98,1.5024333333,3.092,-38.5625038147,-37.6875038147,-44.0687522888,249.62,1.5209866667,763.352,-58.5937538147,-56.7187538147,-71.8062515259,3.2747147897,3.262995793,3.4140915405,-69.7652435303,Cux2-CreERT2,Excitatory,25.8046260965,Primary visual area layer 2/3,VISp2/3,93.6750053406,95.2812538147,94.4791717529,L2tg
500961697,0.0259499525,79.6,0.1640540541,163.34,3.2930333333,4.87,-47.4375038147,-49.3854192098,-50.7812519073,0.04384,161.42,3.2912933333,3.39,43.0,44.5104166667,44.21875,153.749927878,0.1038112193,70.0,82.25,0.0,161.0,3.29088,3.01,-33.1250038147,-33.5104192098,-48.2812519073,200.7,3.3191666667,489.35,-56.5625038147,-55.9791692098,-68.9218788147,3.3893320895,3.2384560859,3.6690064788,-68.5057373047,Scnn1a-Tg3-Cre,Excitatory,20.4216258325,Primary visual area layer 4,VISp4,95.0000019073,90.4375038147,93.8958358765,L4tg
476457450,0.0476945778,62.894,0.1594697074,98.395,3.15376,5.411,-45.6875,-46.9583358765,-47.7625022888,0.04292,96.36,3.1517083333,3.462,37.71875,40.0833339691,40.4937507629,210.468634963,0.0526439473,70.0,78.7916666667,780.0,95.85,3.1512016667,2.979,-37.7812538147,-35.3750025431,-44.6812515259,119.235,3.1898583333,391.247,-48.25,-53.0833358765,-77.4375061035,3.2371678674,3.0344421751,3.6075116359,-75.3036117554,Nr5a1-Cre,Excitatory,24.6336885047,Primary visual area layer 4,VISp4,88.2562530517,83.40625,87.0416698456,L4tg
515202564,0.0154623127,71.5476923077,0.1412744527,219.48,4.7213533333,5.428,-48.5312538147,-46.1770833333,-51.8750022888,0.05996,216.38,4.7188533333,3.46,32.0,38.9791666667,36.8625022888,123.906247318,0.069372654,100.0,117.708328247,1080.0,215.94,4.7184266667,3.104,-38.21875,-35.6354166667,-45.3062515259,254.96,4.7622066667,585.676,-59.2500038147,-55.6458333333,-78.3750045776,3.8240729838,3.9976222416,3.8306504713,-77.8588638306,Scnn1a-Tg3-Cre,Excitatory,20.8559733957,Primary visual area layer 4,VISp4,88.7375045776,80.5312538147,85.15625,L4tg
320668879,1.0,225.13,0.1203583075,150.07,3.269245,7.009,-46.0625,-46.7604166667,-51.2312515259,0.12062,145.69,3.2650866667,3.657,20.5625,24.96875,25.4312507629,198.593750596,0.0686916411,70.0,81.625,0.0,144.965,3.2643783333,3.137,-35.8125,-35.875,-27.8875003815,188.565,3.312895,505.379,-51.9375,-53.7812512716,-74.7875015259,3.302888924,3.3261024368,2.8671467598,-74.0220184326,Scnn1a-Tg2-Cre,Excitatory,28.2190427436,Primary visual area layer 4,VISp4,76.6625022888,66.625,71.7291666667,L4tg
510658021,0.0238049459,64.0257142857,0.192937237,136.94,3.23414,4.895,-47.84375,-49.3437525431,-50.8593769073,0.05254,135.28,3.2324266667,3.525,45.3437538147,44.7812512716,45.3359394073,133.437380195,0.048348248,110.0,80.7916666667,0.0,134.86,3.2319733333,3.155,-37.40625,-36.4270846049,-47.9765644073,161.86,3.27098,518.51,-52.4375038147,-53.7812525431,-81.1953125,3.569341884,3.4268663155,4.0180260213,-80.5925750732,Nr5a1-Cre,Excitatory,17.5430625077,Primary visual area layer 4,VISp4,96.1953163146,93.1875038147,94.1250038147,L4tg
488420599,0.0423226332,83.7481818182,0.1900442562,186.21,4.4107816667,5.1316667,-44.28125,-42.7500038147,-50.9895846049,0.054805,182.2,4.4089666667,3.3966667,18.78125,32.5104179382,21.3697926203,187.343835831,0.0894831419,90.0,110.208333333,758.333384196,181.635,4.4084683333,2.9425,-36.46875,-34.0520833333,-41.8593775431,231.33,4.4494116667,513.8708333,-55.7812538147,-53.239587148,-79.255212148,2.6789959347,2.7594340109,2.6773210472,-78.4394836426,Rbp4-Cre_KL100,Excitatory,20.6980678321,Primary visual area layer 4,VISp4,72.3593772252,63.0625,75.2604217529,L4tg
320639930,0.174034525,124.386666667,0.1119047657,92.2,3.0196533333,5.13875,-50.3125,-49.7083333333,-52.671875,0.044125,89.215,3.0174233333,3.4075,38.53125,42.8333333333,42.3359375,169.999882579,0.0129319085,130.0,75.4166666667,880.0,88.82,3.017025,3.05125,-36.21875,-36.6354179382,-48.0390644073,104.02,3.0419166667,616.30625,-54.53125,-57.0833346049,-79.0546894073,4.1473791549,3.8816394559,4.296803327,-78.5291442871,Rorb-IRES2-Cre,Excitatory,21.0301888631,Primary visual area layer 4,VISp4,95.0078125,88.84375,92.5416666666,L4tg
508883033,1.0,1000.0,0.0237227589,79.94,4.5817,5.244,-46.1250038147,-43.9479166667,-51.9875015259,0.04512,76.7,4.5798866667,3.54,29.2812519073,30.8854173024,38.0375022888,173.59367013,0.0820133761,150.0,114.458333333,939.999938965,76.12,4.5792733333,3.084,-32.0937538147,-29.4687519073,-48.2312530518,113.36,4.6096,507.872,-51.84375,-52.7083346049,-76.8500015259,2.4615950708,2.1631889429,2.9663139099,-75.2498779297,Rbp4-Cre_KL100,Excitatory,25.5547534197,Primary visual area layer 4,VISp4,90.0250038147,75.406255722,74.8333339691,L4tg
475330208,1.0,42.005,0.0666666698,161.825,3.3087283333,4.913,-48.4375038147,-51.1562525431,-50.4437538147,0.0329,160.015,3.3070366667,3.43,27.125,42.020837148,41.8062530518,173.995539546,0.0387143195,130.0,82.6666666667,142.0,159.51,3.3066166667,3.076,-48.5625,-35.5729166667,-46.8437538147,182.945,3.330725,575.207,-51.5625038147,-55.6562512716,-76.0312515259,2.9083137042,2.9832091976,3.5467651713,-75.2556762695,Nr5a1-Cre,Excitatory,15.0959429687,Primary visual area layer 4,VISp4,92.2500068665,75.5625038147,93.1770896911,L4tg
