specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,transgenic_line,binary_neuron,tau,layer_full,acronym,height_short,height_long,height_ramp
488688344,1.0,1000.0,0.0054491508,22.855,5.6534733333,5.011,-52.2187538147,-45.2187525431,-55.7875030518,0.00999,20.985,5.65166,3.336,29.0000019073,28.447918574,35.7625007629,192.053586245,0.0073593408,140.0,141.291666667,450.0,20.515,5.65096,2.946,-39.6875038147,-31.1666679382,-48.1375022888,23.05,5.6719333333,592.528,-52.5000038147,-50.0208358765,-67.3937530518,2.4746264682,1.7580552119,2.9362278808,-66.3029708862,Ntsr1-Cre_GN220,Excitatory,23.1352112096,Primary visual area layer 6a,VISp6a,91.5500038147,81.218755722,73.6666711171
482744155,0.0872583041,67.7532142857,0.2162946429,56.39,2.097295,4.358,-57.6875038147,-55.1458358765,-58.0375022888,0.01694,55.405,2.096345,3.432,24.9375019073,24.6041679382,24.8812511444,238.28125,0.013189774,50.0,52.4166666667,0.0,55.07,2.0960033333,3.123,-46.8437538147,-44.4791692098,-47.6687538147,56.42,2.09739,395.886,-57.75,-55.2916704814,-67.5812530518,2.0673130842,1.9615790797,2.0347158005,-66.556060791,Sst-IRES-Cre,Inhibitory,23.9373695145,Primary visual area layer 2/3,VISp2/3,82.9187534332,82.625005722,79.7500038147
466664172,0.03617383,39.7744736842,0.2721446733,69.75,0.67307,4.4716667,-56.0625,-54.8593769073,-57.6145858765,0.023255,68.39,0.671635,3.2566667,24.1875019073,26.203125,24.1354179382,476.562440395,0.0150903426,30.0000019073,16.7500004768,380.0,67.92,0.6711675,2.8566667,-44.7187538147,-43.5625019073,-45.6354192098,69.815,0.6819875,810.2316667,-56.2500038147,-55.0468769073,-70.1250050863,2.0876312447,2.2053316648,2.036319901,-66.9524688721,Sst-IRES-Cre,Inhibitory,38.7466495977,Primary visual area layer 5,VISp5,81.7500038147,80.2500019073,81.0625019073
515202564,0.0154623127,71.5476923077,0.1412744527,219.48,4.7213533333,5.428,-48.5312538147,-46.1770833333,-51.8750022888,0.05996,216.38,4.7188533333,3.46,32.0,38.9791666667,36.8625022888,123.906247318,0.069372654,100.0,117.708328247,1080.0,215.94,4.7184266667,3.104,-38.21875,-35.6354166667,-45.3062515259,254.96,4.7622066667,585.676,-59.2500038147,-55.6458333333,-78.3750045776,3.8240729838,3.9976222416,3.8306504713,-77.8588638306,Scnn1a-Tg3-Cre,Excitatory,20.8559733957,Primary visual area layer 4,VISp4,88.7375045776,80.5312538147,85.15625
320668879,1.0,225.13,0.1203583075,150.07,3.269245,7.009,-46.0625,-46.7604166667,-51.2312515259,0.12062,145.69,3.2650866667,3.657,20.5625,24.96875,25.4312507629,198.593750596,0.0686916411,70.0,81.625,0.0,144.965,3.2643783333,3.137,-35.8125,-35.875,-27.8875003815,188.565,3.312895,505.379,-51.9375,-53.7812512716,-74.7875015259,3.302888924,3.3261024368,2.8671467598,-74.0220184326,Scnn1a-Tg2-Cre,Excitatory,28.2190427436,Primary visual area layer 4,VISp4,76.6625022888,66.625,71.7291666667
510658021,0.0238049459,64.0257142857,0.192937237,136.94,3.23414,4.895,-47.84375,-49.3437525431,-50.8593769073,0.05254,135.28,3.2324266667,3.525,45.3437538147,44.7812512716,45.3359394073,133.437380195,0.048348248,110.0,80.7916666667,0.0,134.86,3.2319733333,3.155,-37.40625,-36.4270846049,-47.9765644073,161.86,3.27098,518.51,-52.4375038147,-53.7812525431,-81.1953125,3.569341884,3.4268663155,4.0180260213,-80.5925750732,Nr5a1-Cre,Excitatory,17.5430625077,Primary visual area layer 4,VISp4,96.1953163146,93.1875038147,94.1250038147
486510127,1.0,1000.0,0.2039999989,57.23,3.326615,4.625,-52.5312538147,-51.5312519073,-52.6250038147,0.052085,55.745,3.324885,3.32,40.8125038147,42.0000019073,43.4375038147,148.437306285,0.0371574648,170.0,83.125,810.000061035,55.355,3.3244825,2.97,-44.5312538147,-40.671875,-51.8750038147,950.905,3.36288,835.71,-53.90625,-59.0781269073,-81.8437576294,3.6852628408,3.5499880524,4.0290870033,-80.2609176636,Nr5a1-Cre,Excitatory,15.557695003,Primary visual area layer 2/3,VISp2/3,96.0625076294,93.3437576294,93.5312538146
323452245,1.0,1000.0,0.0117647064,26.84,,6.0625,-48.8437538147,,-52.1666673024,0.012775,24.61,,3.6733333,32.78125,,36.369793574,66.2499591708,0.0778115019,390.0,,930.0,24.115,,3.1916667,-46.875,,-54.0885429382,876.14,,527.0791667,-51.21875,,-72.3125012716,3.7188018869,,3.633284959,-71.9792022705,Sst-IRES-Cre,Inhibitory,13.8682246811,Primary visual area layer 2/3,VISp2/3,88.5364608764,81.6250038147,
501563275,0.0260136954,84.2527272727,0.1746212138,180.0,7.5237933333,5.74,-46.90625,-46.9166679382,-53.8250015259,0.04248,177.5,7.5213133333,3.672,33.3750038147,37.34375,35.9000022888,160.156279802,0.1646226496,170.0,188.0,0.0,176.84,7.5206333333,3.168,-33.65625,-32.0625006358,-46.5312515259,202.54,7.5522266667,97.364,-48.03125,-49.7083346049,-76.8000045776,2.4592183831,2.3792733951,2.8872585327,-76.3359832764,Ntsr1-Cre_GN220,Excitatory,14.9630881567,Primary visual area layer 6a,VISp6a,89.7250038147,80.2812538147,84.2604179382
322197295,0.134182159,28.2175,0.0338008415,129.425,1.75798,4.485,-59.3750038147,-56.8125,-60.5750015259,0.024615,128.31,1.756795,3.344,27.3750019073,28.6875012716,27.8812507629,343.125075102,0.0152803427,40.0,43.9166666667,410.0,127.91,1.756385,2.985,-46.2187538147,-43.3229166667,-47.9,129.51,1.7580433333,720.821,-59.5312538147,-56.9270858765,-70.7875045776,2.0104735175,2.0623776388,2.0368430599,-70.1568450928,Sst-IRES-Cre,Inhibitory,36.1506600727,Primary visual area layer 4,VISp4,88.4562522888,86.750005722,85.5000012716
