"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"281",1,1000,0.0142857217,0.07963,88.4374603629,0.0902357399,18.808327605,-79.6286087036,1,126.41,-48.1562538147,118.785,21.1562519073,410,117.935,-32.8125038147,155.75,-51.7500038147,3.0574027285,69.312505722,"L5tg"
"282",0.1936614547,89.79125,0.1359848514,0.051915,365.000069141,0.1433081478,46.5714514051,-76.1378860474,11.1369426308,112.54,-44.6250038147,109.17,24.6562519073,50,108.51,-37.7812538147,144.955,-49.5937538147,2.9947934185,69.281255722,"L5tg"
"286",0.04322366,101.972222222,0.1708860882,0.0454,180.625081062,0.0832769647,23.2873195327,-70.3280029297,9.80659220921,85.335,-45.9062538147,83.2,32.6562538147,90,82.785,-34.71875,118.025,-53.75,3.000143663,78.5625076294,"L5tg"
"291",1,505.87,0.1372812787,0.045935,70.0000375509,0.1693059802,10.621334108,-77.3865509033,1.97679245656,100.37,-46.09375,97.6,36.375,330,97.05,-39.1250038147,128.435,-56.0625,3.4821824155,82.46875,"L5tg"
"303",1,1000,0.1947916783,0.07245,177.968755364,0.0229636412,18.1517342336,-77.0266799927,1,93.52,-48.03125,88.835,34.15625,130,88.22,-36.375,104.575,-50.9062538147,3.7269961036,82.1875,"L5tg"
"305",0.0484987688,127.402142857,0.1241935466,0.048485,95.6248864532,0.1559875757,14.0124088272,-73.8727722168,7.84916154135,98.26,-42.8125038147,96.33,44.03125,190,95.995,-35.15625,143.135,-54.0937538147,4.2805741868,86.8437538147,"L5tg"
"308",0.0696908626,91.0614285714,0.1772727311,0.056105,172.656178474,0.1664906889,15.3703621142,-77.4682312012,10.9815979794,108.87,-55.28125,106.54,41.25,150,106.025,-38.0000038147,108.93,-55.3750038147,2.8165909608,96.53125,"L5tg"
"311",0.0309022487,71.6926923077,0.1858209136,0.067105,151.562571526,0.0225339085,17.4630409651,-79.0895767212,13.9484230235,294.27,-44.90625,291.085,28.1250019073,70,290.56,-33.90625,377.835,-56.46875,3.3476373087,73.0312519073,"L5tg"
"312",0.0319918128,55.9603125,0.2246212253,0.054435,233.437612653,0.0222372673,25.4114754757,-72.7411804199,17.8698072853,135.34,-44.3125038147,133.115,49.625,70,132.73,-32.3125,154.98,-48.03125,3.9758365021,93.9375038147,"L5tg"
"330",0.0362674315,62.1703333333,0.2393501805,0.02706,162.812381983,0.1168040186,19.4287140851,-73.9795761108,16.0848421809,54.79,-46.4375,52.995,36.375,150,52.59,-34.625,64.44,-49.21875,2.7614619912,82.8125,"L6atg"
"331",1,353.06,0.0828719487,0.02304,80.6249976158,0.0433410928,10.696395056,-76.6868133545,2.83237976548,39.38,-45.15625,37.42,33.3750038147,469.999969482,36.82,-33.3125038147,39.56,-45.4375038147,2.3885619228,78.5312538147,"L6atg"
"339",0.0214200304,70.8525,0.1920250714,0.057935,115.468673408,0.1227882802,13.6680116419,-75.9193191528,14.113828023,116.395,-48.34375,114.24,44.8125,209.999984741,113.805,-33.34375,127.955,-48.96875,2.8098324976,93.15625,"L6atg"
"340",1,1000,0.0096976396,0.032295,154.218822718,0.1610584408,14.9306682669,-77.58253479,1,65.745,-43.4375038147,63.49,24.25,249.999984741,62.86,-29.7187519073,96.89,-48.5,2.1818765682,67.6875038147,"L6atg"
"346",0.2315746133,42.5025,0.0759016427,0.02055,106.250196695,0.1357292682,10.813287087,-71.9202270508,23.5280277631,48.42,-43.0937538147,47.075,32.1875038147,350,46.56,-28.5312519073,48.5,-43.2812538147,2.0136173422,75.2812576294,"L6atg"
"348",1,67.97,0.1212747787,0.03793,79.9999982119,0.1072227731,10.9458939848,-82.5060348511,14.7123731058,85.905,-46.75,84.14,32.28125,350,83.66,-35,102.095,-52.7812538147,2.5794769354,79.03125,"L6atg"
"349",0.008942715,52.1844444444,0.2190346219,0.01946,315.156310797,0.0342812911,13.0876496174,-72.1856307983,19.1627986203,63.92,-44.5,61.7,28,110,61.04,-35,64.2,-44.7187538147,2.2413271124,72.5,"L6atg"
"357",0.138954708,129.005714286,0.1697031039,0.00978,176.651805639,0.0342785232,17.8743341598,-60.4437866211,7.75159461375,36.22,-50.6875038147,34.18,35.2812538147,110,33.64,-34.46875,36.5,-50.875,2.4076583448,85.9687576294,"L6atg"
"365",1,1000,0.0212643678,0.036535,82.81211555,0.1284872741,9.43292454457,-76.9102935791,1,43.52,-38.9375,42.275,23.5625,230,41.62,-24.5625,63.26,-42.1875,1.4182510407,62.5,"L6atg"
"373",0.0244104559,68.6076923077,0.2027891169,0.038125,243.750065565,0.1118249819,24.9293147075,-81.1754684448,14.5756250701,98.235,-55.84375,96.26,38.53125,50,95.845,-44.9375038147,133.875,-56.2812538147,3.5641927196,94.375,"L6atg"
"380",0.1280182786,96.106,0.1550236402,0.00948,312.343776226,0.0848674551,26.2135115039,-59.3667678833,10.4051776164,253.22,-56.4375038147,249.14,37.71875,20,248.68,-43.15625,268.9,-61.25,4.3979136625,94.1562538147,"L6btg"
