"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","L_tg"
"291",6.58834,-49.4375038147,6.5862066667,40.6041679382,164.666666667,6.58576,-41.0729192098,6.6383766667,-57.4375025431,3.3539511295,90.0416717529,"L5tg"
"303",2.671295,-46.9062538147,2.6667583333,34.7708358765,66.6666666667,2.66619,-33.2708333333,2.713515,-54.2916692098,3.6654467281,81.6770896912,"L5tg"
"305",6.4557016667,-45.1875012716,6.45414,48.2812525431,161.333333333,6.4538083333,-36.7916666667,6.5127383333,-52.4895846049,4.2425868579,93.4687538147,"L5tg"
"308",6.626095,-53.0416704814,6.6241833333,41.4791679382,165.625,6.6236216667,-34.7604179382,6.6452816667,-53.9687525431,2.5112535061,94.5208384196,"L5tg"
"311",4.4515583333,-45.6041679382,4.449215,37.2395858765,111.20833079,4.4487816667,-31.8229198456,4.504495,-52.3125038147,3.7048887154,82.8437538147,"L5tg"
"312",2.734175,-46.2708346049,2.7320533333,50.2812538147,68.2916666667,2.7316616667,-32.6041679382,2.754555,-48.1562525431,3.9902997022,96.5520884196,"L5tg"
"330",4.4890416667,-47.4166679382,4.487565,44.8541692098,112.16666921,4.4871716667,-35.9166692098,4.5064833333,-53.8750012716,2.7856893914,92.270837148,"L6atg"
"331",10.9916266667,-46.6041692098,10.98966,31.8958352407,274.708333333,10.9890466667,-32.7604198456,11.0112666667,-50.2812525431,2.0981962343,78.5000044505,"L6atg"
"339",7.0426083333,-47.2187525431,7.0408066667,42.8229179382,176,7.0403566667,-31.9270852407,7.0640783333,-51.2291679382,2.5102833192,90.0416704813,"L6atg"
"340",11.4843966667,-43.9791666667,11.4824933333,23.8645846049,287.041666667,11.4816866667,-29.7916679382,11.50623,-47.6250025431,1.7891355966,67.8437512716,"L6atg"
"346",8.5996333333,-46.0104179382,8.598375,36,214.958323161,8.597825,-29.822918574,8.6148816667,-48.5625038147,1.750199006,82.0104179382,"L6atg"
"348",12.5896,-48.9218769073,12.587935,38.296875,314.6875,12.5874575,-35.8125,12.6067825,-54.4218769073,2.4302311012,87.2187519073,"L6atg"
"349",5.226,-43.4270846049,5.2240466667,31.291668574,130.583333333,5.2233666667,-33.0625012716,5.2404333333,-44.208337148,1.9746765171,74.7187531789,"L6atg"
"357",4.7123666667,-49.0937512716,4.7106466667,35.4791679382,117.749997457,4.71004,-32.9479192098,4.71266,-49.3125,2.0443847303,84.5729192098,"L6atg"
"365",11.4359516667,-38.75,11.4347683333,11.75,285.833333333,11.4331183333,-26.7604179382,11.4571166667,-44.1562525431,0.8501959439,50.5,"L6atg"
"373",2.392525,-52.7500038147,2.39061,41.4687519073,59.7499980927,2.39016,-41.515625,2.4405375,-56.3437538147,3.2254217781,94.218755722,"L6atg"
"380",0.49676,-56.4062512716,0.4935,41.302087148,12.3333333333,0.4930333333,-43.4791704814,0.5164,-61.7916704814,4.4702047084,97.7083384196,"L6btg"
