"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"112",5.17772,-59.2604192098,5.1768333333,34.8229166667,129.416666667,5.1764866667,-39.8229204814,5.1777733333,-59.3437538147,1.9883128947,94.0833358765,"Inhibitory"
"113",6.7423466667,-51.1250025431,6.7388866667,49.6666679382,168.458333333,6.7384066667,-40.5104179382,6.76842,-56.427087148,4.6145018645,100.791670481,"Excitatory"
"114",3.9001133333,-49.2291692098,3.8962866667,43.5937538147,97.375,3.8958266667,-42.6250012716,3.9397866667,-56.6250025431,5.4273570258,92.8229230245,"Excitatory"
"115",2.560725,-47.8125038147,2.55477,42.40625,63.8750038147,2.55418,-34.59375,2.573095,-51.1562538147,5.3864399823,90.2187538147,"Excitatory"
"116",2.3242283333,-47.8854179382,2.3222283333,30.322918574,58.0416666667,2.3217566667,-36.53125,2.355925,-53.4479166667,2.7680449577,78.2083365122,"Excitatory"
"117",5.2843266667,-58.5104179382,5.2826116667,4.1250001589,132.083333333,5.2821983333,-34.9375,5.288035,-59.0625025431,1.5940708221,62.6354180971,"Inhibitory"
"118",2.2418583333,-50.0520846049,2.2390783333,38.2604166667,55.9583320618,2.238485,-38.2083346049,2.2802933333,-53.625,3.2845733018,88.3125012716,"Excitatory"
"119",1.5205,-50.2500025431,1.5178333333,45.2916692098,37.9583333333,1.5173866667,-35.8437525431,1.5420666667,-58.1562512716,3.9641114836,95.5416717529,"Excitatory"
"120",2.22909,-43.984375,2.2271,32.53125,55.6875,2.22661,-36.015625,32.89256,-70.7343788147,3.1779604285,76.515625,"Inhibitory"
"121",4.34102,-41.9296884537,4.338955,21.7578139305,108.437494278,4.338175,-29.2421894073,4.34122,-42.015625,1.9941455018,63.6875023842,"Inhibitory"
"123",2.138835,-47.90625,2.1367025,36.125,53.3749980927,2.1363,-36.3125019073,2.1606825,-54.4687538147,3.0956400061,84.03125,"Excitatory"
"124",4.4890416667,-47.4166679382,4.487565,44.8541692098,112.16666921,4.4871716667,-35.9166692098,4.5064833333,-53.8750012716,2.7856893914,92.270837148,"Excitatory"
"125",3.249355,-43.0312538147,3.2474983333,46.5937512716,81.1666666667,3.2469816667,-28.7500019073,3.2808366667,-47.1875038147,2.7354953355,89.6250050863,"Excitatory"
"126",3.8149266667,-48.6666692098,3.8109583333,33.3020846049,95.2499974569,3.810475,-36.1979179382,3.84961,-57.2916692098,4.0197224542,81.9687538147,"Excitatory"
"127",9.732475,-50.5,9.729745,19.5,243.249969482,9.729335,-33.59375,9.734975,-52.1250038147,3.2976833639,70,"Inhibitory"
"129",10.05332,-52.2916666667,10.0520533333,7.8958341281,251.291656494,10.0516,-31.0833333333,10.0534933333,-52.4791679382,1.3748092416,60.1875007948,"Excitatory"
"130",9.5996233333,-62.2708346049,9.5987833333,17.84375,239.958333333,9.5984116667,-34.71875,9.5997033333,-62.4583333333,1.2114721417,80.1145846049,"Inhibitory"
"131",2.6064616667,-47.8541692098,2.604465,46.6875025431,65.1250012716,2.6040533333,-37.5104204814,2.640065,-52.9166679382,3.5937530175,94.5416717529,"Excitatory"
"132",3.0008616667,-50.3437512716,2.9992866667,29.3645846049,74.9583333333,2.9988383333,-37.9166679382,3.0357083333,-54.2916666667,2.5753178393,79.7083358765,"Excitatory"
"135",15.58688,-61.2812538147,15.58613,14.75,389.625,15.585785,-32.9687538147,15.586875,-61.2812538147,1.144005714,76.0312538147,"Inhibitory"
"137",5.241465,-52.0625012716,5.2395366667,41.9583358765,130.958333333,5.23906,-40.1458333333,5.27017,-58.1354179382,3.7028573619,94.0208371481,"Excitatory"
"138",6.486305,-46.5104166667,6.4838016667,44.4583346049,162.125,6.4833633333,-32.1145846049,6.4991866667,-51.7708346049,3.6906813408,90.9687512716,"Excitatory"
"139",5.647935,-44.1354192098,5.6460833333,46.4166666667,141.166666667,5.6455666667,-32.3854192098,5.6691283333,-50.8958346049,2.4563515956,90.5520858765,"Excitatory"
"140",3.4041216667,-47.28125,3.4023916667,44.2291679382,85.0416666667,3.4019916667,-34.8125,3.4296983333,-54.9375,2.9842956052,91.5104179382,"Excitatory"
"141",8.7565783333,-56.3229192098,8.7557116667,6.9791671435,218.875005086,8.7553466667,-31.3229179382,8.7566383333,-56.4270846049,0.9401134003,63.3020863533,"Inhibitory"
"143",3.4211733333,-46.8854192098,3.419255,31.1979173024,85.5,3.41877,-31.6145852407,3.44532,-54.9479204814,2.0862672899,78.0833365122,"Excitatory"
"144",0.752655,-53.7812512716,0.7512583333,16.6875,18.75,0.7507333333,-38.7604166667,0.7577383333,-54.0833333333,1.5732012018,70.4687512716,"Inhibitory"
"145",7.8246533333,-54.1354166667,7.823625,0.9999999901,195.583333333,7.8232216667,-28.3750012716,7.824685,-54.1875,0.9702604224,55.1354166568,"Inhibitory"
"146",2.6256333333,-53.5833346049,2.62226,29.1979179382,65.5,2.6216733333,-44.6250025431,2.6668666667,-60.395837148,3.9542149854,82.7812525431,"Excitatory"
"147",2.9627766667,-49.1458346049,2.9609733333,48.1250038147,74.0416641235,2.9605633333,-38.9895846049,3.01179,-52.833337148,3.6635134804,97.2708384196,"Excitatory"
"148",2.6232333333,-48.5729204814,2.6211,34.75,65.5,2.62052,-40.0520846049,2.62354,-48.7812525431,2.7267564398,83.3229204814,"Inhibitory"
"149",9.019045,-56.9375025431,9.0152316667,35.65625,225.374989828,9.014915,-34.9895833333,9.022925,-59.7604192098,3.7980831467,92.5937525431,"Inhibitory"
"150",3.57096,-52.0625038147,3.5679516667,27.9270846049,89.1666641235,3.5673866667,-32.8750012716,3.5732033333,-53.0833346049,2.4950556758,79.9895884196,"Inhibitory"
"152",2.750245,-43.4687538147,2.74856,42.7656269073,68.7500019073,2.7481725,-35.0312519073,2.788815,-52.6718769073,3.1107647576,86.234380722,"Excitatory"
"153",3.8342233333,-49.3020833333,3.832005,39.2604192098,95.7499974569,3.831575,-32.0937506358,3.8581583333,-54.1562538147,3.0551942558,88.5625025431,"Excitatory"
"154",18.0918633333,-62.0312525431,18.0910766667,9.7187503179,452.249979655,18.090735,-38.4687525431,18.0918983333,-62.1354204814,1.1876326834,71.750002861,"Inhibitory"
"155",3.3768666667,-48.0104179382,3.37286,39.552087148,84.2916666667,3.3724066667,-43.4270858765,3.40072,-54.8541679382,5.6746059384,87.5625050862,"Excitatory"
"156",4.7103016667,-49.1250012716,4.7079583333,35.5104166667,117.708335877,4.7075183333,-36.1458358765,4.7318733333,-56.1354179382,2.7930379895,84.6354179383,"Excitatory"
"157",3.61536,-44.9270846049,3.613,44.6666666667,90.2916641235,3.6125333333,-37.5312538147,3.6539,-55.708337148,3.9930017827,89.5937512716,"Inhibitory"
"158",5.7782083333,-50.0833333333,5.77599,37.6562512716,144.416666667,5.7755116667,-32.6770852407,5.7914683333,-55.2708346049,2.6464303537,87.7395846049,"Excitatory"
"159",1.89856,-49.1875,1.896345,48.927087148,47.4166666667,1.8958933333,-42.3020858765,1.944955,-54.5416704814,4.2694360822,98.114587148,"Excitatory"
"160",9.125285,-48.46875,9.12418,7.0625004768,228.125,9.12368,-25.0625019073,9.12537,-48.625,0.9618972522,55.5312504768,"Inhibitory"
"161",2.4157233333,-49.4375012716,2.4132883333,42.4687525431,60.3333333333,2.4128666667,-34.8958333333,2.4426983333,-56.6979192098,3.5257134352,91.9062538147,"Excitatory"
