"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","L_tg"
"131",5.316,-53.2625015259,3.34,40.5625022888,999.999938965,2.952,-49.2187522888,313.496,-74.5375030518,4.5471997393,93.8250038147,"L4tg"
"132",5.08,-48.8125,3.56375,38.2968769073,0,3.20875,-40.5390634537,720.4875,-67.640625,3.0506817917,87.1093769073,"L4tg"
"133",5.91125,-47.1328144073,3.47125,40.765627861,265,3.02,-39.5781259537,604.41125,-68.3906269073,3.7213897281,87.8984422683,"L4tg"
"134",4.495,-50.4312515259,3.332,40.8875007629,890,3.04,-45.9625015259,381.477,-82.7875030518,3.5910763197,91.3187522888,"L4tg"
"136",4.804,-47.5687530518,3.296,45.9812522888,900,2.96,-45.3812530518,429.436,-74.5437545776,4.2113589015,93.5500053406,"L4tg"
"137",5.184,-49.6000022888,3.366,39.2000007629,890,3.006,-51.1687507629,750.21,-79.74375,4.427119874,88.8000030517,"L4tg"
"138",4.842,-53.9750022888,3.344,49.0187530518,284,3.037,-46.8125022888,351.75,-75.7875045776,3.9709714335,102.993755341,"L4tg"
"139",5.153,-55.2812507629,3.592,25.8875011444,640,3.154,-43.83125,617.852,-81.8437545776,2.4131231177,81.1687519073,"L4tg"
"141",5.0308333,-50.2760448456,3.285,49.3541692098,870,2.9783333,-44.3020858765,457.4016667,-72.8906275431,4.6200117786,99.6302140554,"L4tg"
"142",5.1733333,-51.5729198456,3.44,44.9687531789,770,3.0333333,-48.8906275431,544.44,-79.3177096049,4.2272372401,96.5416730245,"L4tg"
"143",4.83,-52.8250015259,3.383,23.3625011444,464,2.992,-41.5937515259,482.081,-76.1875045776,2.4210184799,76.1875026703,"L4tg"
"144",4.9283333,-52.1562525431,3.2133333,31.4791682561,173.333333333,2.84,-42.3229179382,705.6616667,-75.0156275431,3.1309463396,83.6354207992,"L4tg"
"145",5.42,-54.15625,3.84,32.3437538147,810,3.4,-53.2187538147,681.94,-81.7500076294,3.4530383473,86.5000038147,"L4tg"
"146",7.0325,-47.71875,3.585,45.296875,1250,3.11,-41.953125,802.2875,-78.4218826294,4.7524983843,93.015625,"L4tg"
"147",6.005,-51.8250015259,3.477,45.5375015259,1690,3.095,-46.3562507629,499.892,-82.5,4.1769812999,97.3625030518,"L4tg"
"148",4.865,-50.6875,3.28625,47.671877861,790,2.97875,-43.500002861,450.8175,-78.1796894073,4.4171658857,98.359377861,"L4tg"
"150",5.215,-51.3177083333,3.39,45.2343762716,630,2.9633333,-44.5729173024,362.5608333,-75.4062512716,4.0443060928,96.5520846049,"L4tg"
"151",5.205,-53.9270858765,3.3866667,28.2395852407,530,2.9383333,-47.9375025431,618.8266667,-73.3645858765,2.8694341223,82.1666711172,"L4tg"
"152",5.3408333,-53.9114596049,3.3733333,42.1875006358,489.999969482,3.0125,-48.4062519073,375.6741667,-76.1197929382,3.8169240581,96.0989602407,"L4tg"
"153",5.9716667,-52.2604179382,3.38,52.0520858765,720,2.995,-45.8541704814,655.6633333,-76.0416717529,5.2347129432,104.312503815,"L4tg"
"154",5.066,-46.5875022888,3.31,43.7000030518,424,3.007,-48.5562515259,396.055,-75.0625,3.8570286445,90.2875053406,"L4tg"
"155",5.04,-51.4375012716,3.2533333,34.3437525431,186.666666667,2.8333333,-43.4166692098,53.66,-60.7500025431,3.3149754337,85.7812538147,"L4tg"
"156",5.372,-51.3375022888,3.419,50.1750030518,770,3.05,-48.6812515259,648.14,-78.5562530518,4.4244705778,101.512505341,"L4tg"
