"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"402",0.0090771914,47.4734210526,0.3694327731,0.03643,236.249998212,0.1779349446,23.7900689917,-67.1558456421,21.0644183172,95.45,-63.2499961853,94.42,36.0000038147,70,94.025,-38.1875,95.49,-63.3750038147,1.7641552025,99.25,"Sst-IRES-Cre"
"404",1,1000,0.7277200042,0.13212,84.3749642372,0.0316599123,4.44464288899,-71.2060165405,1,557.705,-66.3125076294,557.105,15.625,190,556.82,-47.6562538147,557.73,-66.46875,1.1790038564,81.9375076294,"Sst-IRES-Cre"
"411",0.1511977665,77.2168181818,0.1056660098,0.01481,210.156217217,0.1005399376,11.3367538235,-73.0956115723,12.9505465719,91.99,-53.0625038147,90.795,41.71875,60.0000038147,90.485,-43.6562538147,118.65,-54.5937538147,3.1322266835,94.7812538147,"Htr3a-Cre_NO152"
"422",-0.0034304977,47.534,0.2348925538,0.03686,210.937425494,0.0435485691,10.3204092612,-67.0247116089,21.0375731056,795.24,-52,792.76,37.1250038147,100,792.36,-33.03125,801.26,-56.625,3.9501001441,89.1250038147,"Nkx2-1-CreERT2"
"424",0.0190160693,29.948125,0.6965217242,0.017455,380.781233311,0.2181522101,18.2523856254,-69.4236221313,33.3910720621,98.335,-58.9062538147,97.305,25.6562519073,29.9999980927,96.94,-41.5312538147,98.435,-59.0625038147,1.6689931708,84.562505722,"Chrna2-Cre_OE25"
"430",1,1000,0.0077054801,0.01082,167.343825102,0.0316576511,13.0020286468,-68.0115432739,1,25.92,-48.03125,24.06,32,130,23.66,-37.3125,30.38,-49.9062538147,3.3008975325,80.03125,"Vip"
"434",0.0257060216,8.59875,1.0062889762,0.00461,87.1874988079,0.0920467377,6.309578877,-70.0180740356,116.295973252,6.77,-64.21875,6.26,10.25,400,6.03,-39.8437538147,6.805,-64.3125,1.1720071266,74.46875,"Pvalb-IRES-Cre"
"436",1,12.795,0.644777481,0.005375,59.5982782543,0.0497951172,5.48953957514,-69.2702331543,78.1555295037,8.75,-61.6250038147,8.145,12.2500009537,570,7.89,-41.2812538147,8.805,-61.7500038147,1.3153807642,73.8750047684,"Pvalb-IRES-Cre"
"440",0.0035474262,11.9491566265,1.1672134046,0.005695,99.0623831749,0.0307512935,6.14426333748,-76.7705001831,83.6879146585,12.35,-76.84375,11.775,17,220,11.445,-53.1562538147,12.41,-76.96875,1.0530657376,93.84375,"Pvalb-IRES-Cre"
"456",1,1000,0.0158333331,0.030735,132.812470198,0.0304666571,14.8012974896,-73.2325744629,1,44.925,-56.625,43.93,14.59375,200,43.585,-40.84375,44.985,-56.6875038147,1.6825989533,71.21875,"Sst-IRES-Cre"
"492",0.0015293281,15.985,0.7942425044,0.03448,84.6873819828,0.0045601833,8.39470754288,-72.5855331421,62.5586487332,218.58,-54.6562538147,217.68,13.9375,330,217.3,-32.0312538147,218.62,-54.7500038147,1.2821490672,68.5937538147,"Nkx2-1-CreERT2"
"496",0.0063711965,22.67625,0.7452160306,0.047525,114.06250298,0.0661664158,7.18667619204,-73.1888122559,44.0990022601,208.04,-54,206.705,5.4375004768,230,206.31,-30.1875,208.275,-54.1875038147,1.3180304655,59.4375004768,"Pvalb-IRES-Cre"
"498",0.3214729646,32.18,0.08039773,0.02869,197.343677282,0.0626886636,19.0116926295,-74.2608337402,31.0752019888,71.49,-57.7812538147,70.47,37,130,70.07,-40.4062538147,71.615,-57.90625,1.9689104141,94.7812538147,"Sst-IRES-Cre"
"507",0.0171927765,41.7115217391,0.3443121838,0.01519,139.375001192,0.0724908262,10.515754032,-68.9802322388,23.9741912619,41.355,-56.9687538147,40.13,25.7812519073,130,39.775,-39.65625,47.35,-58.375,2.3032600909,82.750005722,"Htr3a-Cre_NO152"
"513",0.0127488292,28.4623529412,0.4648026267,0.01408,284.531354904,0.0898909867,12.5326724504,-71.9364929199,35.1341297069,71.26,-54.5312538147,69.72,34.9062538147,29.9999980927,69.32,-40.6250038147,83.46,-57.4375,2.974747245,89.4375076294,"Vip"
"519",0.0132842672,44.0573809524,0.4290909091,0.0283,353.571385145,0.1389037669,31.994060852,-67.0185165405,22.6976724077,120.845,-57.6250038147,119.43,17.5625019073,50,118.95,-42.28125,120.865,-57.7187538147,1.7695399557,75.187505722,"Sst-IRES-Cre"
"560",-0.0496944984,70.9369230769,0.2557799198,0.07454,80.6251466274,0.018194763,7.04623134374,-79.0847549438,14.0970309484,630.2,-46.8750038147,627.76,20.90625,370,627.28,-40.2500038147,635.72,-49.78125,3.1632116489,67.7812538147,"Vip"
"582",1,1000,0.0162946428,0.020385,128.906220198,0.0122502679,12.0413794525,-74.6053924561,1,58.515,-63.09375,57.715,30.4375019073,190,57.365,-45.1875038147,58.56,-63.2500038147,1.5761168417,93.5312519073,"Sst-IRES-Cre"
"603",0.0065785342,8.6845348837,0.7689962103,0.007045,81.6517844796,0.0469314456,7.3167606567,-76.7064819336,115.147214375,13.245,-66.40625,12.7,12.9375009537,350,12.45,-44.3750038147,13.255,-66.5625,1.1868201442,79.3437509537,"Pvalb-IRES-Cre"
"610",0.0034258705,16.3288333333,0.9160714282,0.01156,128.906175494,0.0333370417,5.65473791679,-75.9636688232,61.2413624163,24.145,-64.65625,23.39,14,170,23.095,-41.8125,24.225,-64.84375,1.2678411868,78.65625,"Pvalb-IRES-Cre"
"617",0.001921928,13.7044366197,0.6832588766,0.01356,78.4374624491,0.0179715771,5.40429043135,-78.4837493896,72.9690703639,19.23,-54.8125038147,18.545,11.8125009537,310,18.275,-31.5,19.265,-54.9062538147,1.2784616037,66.6250047684,"Htr3a-Cre_NO152"
"625",1,6.97,1.3892857143,0.00579,63.9061331749,0.0228347033,4.99331465352,-75.3418273926,143.472022956,7.815,-59.1875,7.215,5.9062504768,570,6.96,-39.0312538147,7.88,-59.2812538147,1.2826150768,65.0937504768,"Pvalb-IRES-Cre"
"637",-0.0250006163,27.1840277778,0.7600728231,0.013205,84.375038743,0.0347299464,6.28842613475,-73.9697494507,36.7863073189,674.47,-54.9687538147,673.705,16,300,673.38,-32.375,674.505,-55.0937538147,1.2425222522,70.9687538147,"Pvalb-IRES-Cre"
"640",0.0070805118,37.2956,0.535335689,0.027645,204.374998808,0.2816291749,17.4884521119,-72.1406173706,26.8128143802,68.89,-64.875,68.12,34.5,90,67.765,-38.53125,68.92,-65.0000076294,1.3144897219,99.375,"Sst-IRES-Cre"
"644",0.0087990362,45.4195238095,0.373477421,0.04263,212.499886751,0.2742293477,24.9753227551,-73.6112442017,22.0169635462,238.995,-59.5312538147,237.775,32.6562538147,90,237.37,-42.34375,239.05,-59.6250038147,2.1410151276,92.1875076294,"Sst-IRES-Cre"
"654",0.0212807293,12.2414285714,0.5199999487,0.00885,111.250080168,0.0098585226,6.778162521,-72.4832229614,81.6898121136,15.875,-62.4062538147,15.275,11.5937509537,249.999984741,15,-38.125,15.895,-62.4687538147,1.1575909537,74.0000047684,"Pvalb-IRES-Cre"
"661",0.005617734,18.0111111111,0.7812252835,0.010855,103.080354631,0.1276827008,4.25621235305,-68.0096206665,55.5212831586,20.68,-54.9062538147,19.945,33.5312538147,220,19.645,-33.65625,20.715,-55.09375,1.5553977552,88.4375076294,"Pvalb-IRES-Cre"
"673",0.0089474985,9.046,1.6952378444,0.00543,130.624964833,0.0472249612,6.10116583599,-74.789932251,110.546097723,9.125,-61.4062538147,8.45,16.625,290,8.165,-38.78125,9.135,-61.5,1.2913288219,78.0312538147,"Pvalb-IRES-Cre"
"676",1,21.18,0.031415345,0.02441,202.524065971,0.0633326694,33.4935106386,-67.2024230957,47.2143531634,65.65,-56.71875,64.665,20.53125,90,64.335,-42.34375,65.715,-56.8437538147,1.8060889336,77.25,"Htr3a-Cre_NO152"
"692",1,1000,0.6959105414,0.01101,93.5937091708,0.0474311709,6.12901705554,-73.8991775513,1,16.08,-59.90625,15.26,17.3750019073,280,14.96,-37.46875,16.155,-60.0625,1.5055027568,77.2812519073,"Pvalb-IRES-Cre"
"696",0.0532386912,67.3628571429,0.1805248644,0.020765,319.866210222,0.0311772805,37.5632431035,-64.980506897,14.844976036,98.92,-56.0937538147,97.655,26.3125019073,30.0000019073,97.175,-47.9687538147,98.985,-56.2187538147,1.9976186671,82.406255722,"Sst-IRES-Cre"
"706",0.0174742034,82.5918181818,0.1532775699,0.03166,96.0937142372,0.0173782222,8.02571497604,-70.9221343994,12.1077368438,740.01,-55.5312538147,736.58,9.5000009537,200,736.115,-38.4375,745.28,-58.78125,3.2259519211,65.0312547684,"Htr3a-Cre_NO152"
"711",0.1737451063,77.0542857143,0.2689922481,0.02048,220.156356692,0.0757536516,14.270721381,-68.2027053833,12.9778634729,54.3,-49.53125,52.92,42.84375,90,52.54,-37.90625,881.2,-51.0625038147,3.3484581545,92.375,"Htr3a-Cre_NO152"
"733",1,8.66,0.3916675008,0.00376,168.124958873,0.0399486497,6.89679370879,-60.3886985779,115.473441109,7.135,-66.40625,6.565,28.0625019073,150,6.285,-36.375,7.2,-66.5,1.1197165033,94.4687519073,"Pvalb-IRES-Cre"
"783",-0.0186307901,35.2214814815,0.459786812,0.03188,139.531284571,0.0126825888,8.7741228146,-72.6365890503,28.3917642852,894.2,-47.5000038147,892.06,24.0625019073,230,891.52,-35.4375038147,895.38,-47.9687538147,2.5428886011,71.562505722,"Ndnf-IRES2-dgCre"
"797",0.0015176946,5.576488764,2.6300008837,0.00394,74.21875,0.0696823075,7.70513424457,-69.6425094604,179.324310031,7.99,-64.21875,7.445,14.6250009537,390,7.17,-49.65625,8.01,-64.2812576294,1.2198152973,78.8437509537,"Pvalb-IRES-Cre"
"801",0.0593433997,25.06,0.0339241404,0.0126,259.375393391,0.0696748644,15.5210912775,-63.4668731689,39.9042298484,59.28,-55.5312538147,56.98,27.7812519073,40,56.52,-40.21875,60.62,-56.0312538147,2.9985858268,83.312505722,"Vip"
"808",0.0596904831,184.133333333,0.0629230769,0.01042,243.59382689,0.2301959395,14.5666300154,-68.3530731201,5.43084721217,27,-52.09375,25.86,26.4375,90,25.52,-36.78125,27.2,-52.2812538147,2.3637363305,78.53125,"Chrna2-Cre_OE25"
"810",0.0033176769,13.7374305556,0.9649606131,0.007665,121.87499553,0.0594092533,6.6501880235,-72.0374450684,72.7938165695,12.34,-65.6250076294,11.625,11.5625,220,11.355,-40.03125,12.42,-65.7187576294,1.346567002,77.1875076294,"Pvalb-IRES-Cre"
"814",0.2028047017,123.11,0.2605839526,0.02047,190.178707242,0.0598619916,14.6809064199,-70.5497512817,8.12281699293,79.035,-59.7187538147,78.03,28.9062519073,90,77.66,-44.03125,79.095,-59.8437538147,1.8761093412,88.625005722,"Htr3a-Cre_NO152"
"817",0.0897806573,61.0285714286,0.2440812652,0.02654,301.875025034,0.0287001096,36.0189703009,-60.2090263367,16.3857677903,96.64,-56.0312538147,95.48,26,29.9999980927,94.96,-41.3437538147,96.74,-56.1250038147,1.6445920217,82.0312538147,"Chrna2-Cre_OE25"
"818",1,1000,0.1834168989,0.053915,117.187544704,0.0348579437,9.76257432029,-70.2343597412,1,79.54,-61.1875038147,78.81,40.6250038147,140,78.495,-44.4687538147,79.57,-61.2812538147,1.7006230735,101.812507629,"Sst-IRES-Cre"
"831",0.0062899834,44.7078571429,0.3766267589,0.02555,179.6875,0.0139154363,10.4881292678,-65.2319946289,22.3674330175,55.505,-57.4687538147,52.965,26.6250019073,50,52.385,-43.2500038147,59.955,-59.7187538147,3.096083587,84.093755722,"Htr3a-Cre_NO152"
"835",0.0319736718,47.196,0.3361510791,0.02868,259.218871594,0.2042537034,37.2623553598,-66.9698791504,21.1882362912,78.78,-59.65625,77.26,29.8125019073,50,76.74,-43.8437538147,78.88,-59.7812538147,2.1535239513,89.4687519073,"Sst-IRES-Cre"
"882",0.3934929405,44.7975,0.0872159141,0.032155,183.906212449,0.0880968869,14.1900348151,-77.7048721313,22.3226742564,101.01,-59.3750038147,100.045,34.28125,130,99.68,-45.3125,101.075,-59.5312538147,2.0097338744,93.6562538147,"Sst-IRES-Cre"
"892",-0.0119699722,25.2758974359,0.4405342081,0.01062,134.53117013,0.0435074233,8.44157721382,-74.5060882568,39.5633825678,22.06,-51.28125,20.64,28,280,20.28,-34.15625,22.4,-51.5000038147,2.8778333773,79.28125,"Ndnf-IRES2-dgCre"
"897",0.0044856552,12.8574025974,1.1214285714,0.00671,103.281363845,0.0613643974,4.84332547284,-77.5536880493,77.7762065413,10.675,-54.40625,9.775,14.59375,310,9.44,-41.84375,10.755,-54.5625,1.6129666937,69,"Pvalb-IRES-Cre"
"900",0.0277129709,37.0846,0.2723860585,0.02106,430.468857288,0.1329284012,35.9975757826,-65.1735992432,26.9653710705,134.995,-56.9062538147,133.815,26.03125,20,133.31,-41.96875,135.015,-56.9375,1.6007145232,82.9375038147,"Gad2-IRES-Cre"
"912",0.0601191739,43.5109090909,0.3830826055,0.03288,267.187476158,0.1509155333,20.8669719179,-69.3536453247,22.9827420501,181.78,-53.8750038147,180.82,37.8125,29.9999980927,180.36,-39.2187538147,181.82,-53.9375038147,1.5632390997,91.6875038147,"Chrna2-Cre_OE25"
"916",0.0672948924,32.16,0.3464285892,0.014025,143.906280398,0.0627813786,12.5201058285,-73.186340332,31.0945273632,31.485,-64.125,30.61,35.0625,150,30.27,-44.96875,31.53,-64.34375,1.8047332222,99.1875,"Sst-IRES-Cre"
"922",-0.0003600978,47.465,0.0738636364,0.032045,248.437315226,0.1404868364,12.5912705003,-70.3994216919,21.068155483,138.53,-51.9375,137.665,30.1250019073,90,137.34,-32.46875,138.56,-52.0625,1.7307507128,82.0625019073,"Htr3a-Cre_NO152"
