"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","binary_neuron","tau","firing_rate","height_short","height_long","height_ramp"
"475",0.0329465395,53.7814705882,0.2715323434,325.04,3.1198366667,5.349,-54.9687538147,-52.833337148,-58.3000038147,0.051805,323.025,3.118015,3.402,40.0625038147,42.3020858765,42.0375007629,193.437546492,0.0190457106,80,77.9583333333,590,322.595,3.1175883333,3.031,-40.7812538147,-39.7395846049,-47.0875022888,356.505,3.1422283333,663.118,-56.46875,-53.7395858765,-81.2125045776,3.3696612774,3.6096472479,3.5959299709,-80.5246505737,"Excitatory",20.7416789841,18.5937645264,100.337504578,95.0312576294,95.1354230245
"481",0.0239902802,68.4515384615,0.1756286253,418.16,3.1972133333,5.5591667,-46.5,-46.8229179382,-50.1458346049,0.060385,415.68,3.1938616667,3.475,41.40625,32.6979166667,42.0260423024,150.624990463,0.0503459089,59.9999961853,79.8333333333,0,415.225,3.1933333333,3.0808333,-38.59375,-37.8020846049,-46.729168574,508.61,3.237195,411.4458333,-58.0937538147,-54.5625012716,-72.8750012716,3.5026686266,3.3968326686,3.804846708,-72.6047592163,"Excitatory",22.8166202229,14.6088754537,92.1718769073,87.90625,79.5208346049
"493",0.0687944492,121.9,0.2524647887,83.46,1.67528,5.32,-45.0312538147,-43.4166692098,-51.7343781789,0.02302,80.62,1.67332,3.4333333,25.25,33.3229179382,26.9270852407,320.468693972,0.0631639063,50,41.7916666667,370,80.02,1.6727333333,2.9766667,-32.9687538147,-34.0000012716,-37.213543574,104.86,1.7034066667,320.1133333,-49.7500038147,-50.958337148,-62.6979211171,2.6689114269,2.7131035335,2.703663968,-61.775352478,"Inhibitory",29.3872915644,8.20344544709,78.6614634196,70.2812538147,76.739587148
"495",0.0565058244,10.1333333333,0.8923657867,15.22,10.0622966667,3.963,-62.6250076294,-57.239587148,-62.8062553406,0.008735,14.595,10.0615316667,3.296,22.1875019073,18.0729166667,27.6937515259,114.531256259,0.0726962611,220,251.500005086,101.999993897,14.315,10.06118,3.026,-38.78125,-31.4270846049,-45.6875007629,15.26,10.0623383333,614.322,-62.8437538147,-57.3333358765,-76.7187530518,1.2402457076,1.1720580604,1.3720357408,-75.6578292847,"Inhibitory",6.26897167991,98.6842105266,90.5000068665,84.8125095367,75.3125038147
"499",0.0032079635,50.3721052632,0.2103449072,57.15,6.718705,4.629,-51.9687538147,-54.2708358765,-55.3500007629,0.025115,55.75,6.7175366667,3.392,23.5937519073,45.0520858765,35.36875,98.3444213867,0.1928599477,150,167.958333333,690,55.295,6.7171583333,3.034,-43.78125,-44.6770846049,-47.3625022888,87.37,6.751885,58.044,-55.7187538147,-54.9479204814,-69.1312515259,2.0943282172,2.3929162654,2.2529081279,-68.2019271851,"Excitatory",13.6589096926,19.8522574106,90.7187507629,75.562505722,99.322921753
"500",0.1436420944,90.0285714286,0.2123417656,89.095,3.4797466667,5.845,-53.59375,-54.0208358765,-59.007815361,0.02079,85.695,3.4760116667,3.395,28.2812519073,34.0729166667,34.1171894073,146.874994039,0.0278807431,209.999984741,86.9166666667,390,85.14,3.4754933333,2.9775,-39.0625,-37.1979192098,-51.5468788147,103.46,3.5050716667,546.54875,-57.2812538147,-60.5833358765,-83.976568222,3.5836123272,3.7531006359,4.2220604568,-82.7248153687,"Excitatory",16.9137772983,11.1075848937,93.1250047683,81.8750019073,88.0937525432
"506",0.0119547826,61.5613333333,0.2043307032,73.635,8.2126966667,5.0258333,-48.7812538147,-50.5104166667,-50.8802108765,0.023205,71.05,8.20806,3.3341667,26.875,28.1145852407,32.4062512716,102.812580764,0.0073182927,200,205.166666667,690,70.66,8.2076316667,3.0166667,-34.5625038147,-34.2500012716,-39.3281262716,79.485,8.21895,347.15,-51.7812538147,-53.3958346049,-71.2395846049,3.9003909039,4.1177105731,2.8415160812,-70.6090240479,"Inhibitory",10.0848246139,16.2439626606,83.2864621481,75.6562538147,78.6250019074
"510",1,1000,0.0142857217,126.41,8.6122,6.74125,-48.1562538147,-48.8645858765,-54.8437519073,0.07963,118.785,8.6053183333,3.585,21.1562519073,27.3750006358,37.085940361,88.4374603629,0.0902357399,410,215.125,0,117.935,8.60464,3.0775,-32.8125038147,-33.7187512716,-54.226565361,155.75,8.6370966667,199.39,-51.7500038147,-54.6041679382,-80.0000019073,3.0574027285,3.412593841,3.8352392928,-79.6286087036,"Excitatory",18.808327605,1,91.9296922683,69.312505722,76.2395865123
"521",0.2278132432,79.89,0.0670785097,79.515,4.4514283333,5.371,-46.96875,-47.2812525431,-50.9187530518,0.03829,76.31,4.4489933333,3.407,40.4375,44.1666666667,44.1562522888,108.437538147,0.0948032439,209.999984741,111.20833842,939.999938965,75.89,4.448595,3.047,-37.6250038147,-37.7500012716,-48.0375022888,105.6,4.49345,126.741,-53.5625038147,-56.3958358765,-73.3500015259,4.2140501194,4.0600973326,3.959663306,-72.2610549927,"Excitatory",12.379894935,12.5172111654,95.0750053406,87.40625,91.4479192098
"523",-0.0131560784,88.5375,0.1654017658,813.77,7.0856483333,9.211,-49,-52.1145846049,-62.5125007629,0.089955,808.575,7.0800266667,3.508,25.6875,30.5625012716,23.9375019073,119.374960661,0.0418769866,209.999984741,177,810.000061035,808.145,7.079615,3.184,-31.6250019073,-32.3541692098,-34.5687515259,820.62,7.09407,184.638,-52.3750038147,-55.8229204814,-77.1312515259,3.3468906987,3.5290671787,2.061820972,-76.1159591675,"Inhibitory",5.87477409923,11.29464916,86.4500026702,74.6875,82.6770858765
"531",0.0674525337,92.256,0.1741641329,244.84,0.9514266667,5.24,-50.0312538147,-50.4166666667,-56.0625038147,0.03648,243.26,0.9498533333,3.5333333,35.40625,41.7187512716,33.6666704814,305.937498808,0.0182690695,29.9999980927,23.75,440,242.76,0.94936,3.1066667,-38.125,-37.8750025431,-42.46875,268.42,0.9678466667,593.1066667,-52.875,-52.6875025431,-61.9062538147,3.0127907881,3.0436094276,2.9236388379,-61.8339958191,"Excitatory",62.5643982931,10.8394033992,89.7291742961,85.4375038147,92.1354179383
"533",0.0179312507,69.5984615385,0.2283333333,205.14,2.9728,6.75,-52.0625038147,-52.0833333333,-55.367190361,0.05622,201.58,2.9696133333,3.51,31.4687519073,42.9687512716,36.0078125,268.415033817,0.1223601103,50,74.2083333333,630,201,2.9690466667,3.015,-43.40625,-46.0208358765,-43.9687509537,237.78,3.01156,690.095,-57.4687538147,-56.9687525431,-75.7500019073,3.6220409409,4.1051960948,3.5030218637,-75.5874557495,"Excitatory",28.8296120731,14.3681336899,91.375002861,83.531255722,95.0520846049
"541",0.1387779555,119.192142857,0.1377540437,105.735,4.618095,6.055,-47.21875,-46.4270858765,-53.0437530518,0.043765,102.12,4.61499,3.454,24.1562519073,31.9687525431,34.8937522888,104.843787849,0.037169531,230,115.374994914,1060,101.565,4.6145516667,3.055,-41.09375,-36.3750025431,-50.0812522888,551.73,4.6572083333,260.139,-52.5625,-56.1666692098,-75.2187530518,3.5933688452,3.4206157545,3.3493287833,-74.8752670288,"Excitatory",19.1187489981,8.38981476488,87.9375053406,71.3750019073,78.3958384196
"542",1,15.8,0.0241071428,50.56,7.6439466667,4.31,-62.4375038147,-57.3020846049,-63.5781269073,0.01918,49.58,7.6429,3.345,36.0937538147,34.0937538147,38.5078144073,128.124922514,0.0273503903,210,191.083333333,660,49.22,7.6425133333,3.015,-46.1875,-41.1979192098,-48.9375038147,50.6,7.64408,644.205,-62.5625038147,-57.395837148,-76.328130722,1.9605306038,2.0038754016,2.1102867839,-75.439125061,"Inhibitory",11.2996947999,63.2911392405,102.085941315,98.5312576294,91.3958384196
"543",0.1564699513,13.8525,0.396501182,20.935,9.90467,4.107,-62.4062538147,-61.9479166667,-64.2,0.009345,20.145,9.90386,3.347,14.46875,19.5208346049,22.55,139.531254768,0.1608794779,210,247.583333333,590,19.84,9.9035283333,3.058,-41.21875,-34.75,-48.9500022888,20.985,9.9046933333,496.64,-62.5625038147,-62.0937512716,-75.1437515259,1.3888905747,1.2340279244,1.452921531,-74.6727905273,"Inhibitory",10.9250754339,72.1891355351,86.75,76.8750038147,81.4687512716
"544",0.0263349865,57.2909375,0.2301181056,200.605,2.88912,5.012,-48.71875,-49.6250012716,-50.2875007629,0.04043,198.545,2.8873433333,3.476,34.75,46.9791704814,41.5375015259,228.515625,0.0570130385,59.9999961853,72.1666666667,0,198.095,2.886955,3.107,-38.65625,-35.9791666667,-42.525,227.2,2.91586,398.688,-57.5625,-55.8541666667,-76.4437515259,3.2378645023,3.7619572503,3.6836727207,-75.684387207,"Excitatory",24.3680719568,17.4547676061,91.8250022888,83.46875,96.604171753
"557",0.0109126745,61.9906666667,0.369364162,481.24,0.8645266667,6.992,-54.9687538147,-51.2604192098,-58.0125030518,0.05038,476.84,0.8607466667,3.46,21.8125,34.0000012716,25.4125019073,487.96877265,0.2163177431,10,21.5416666667,186,476.14,0.8601533333,2.916,-43.3125,-40.0833346049,-41.4562507629,536.42,0.89994,97.856,-63.4687538147,-57.145837148,-69.2125045776,3.3262789885,3.7025254771,3.1189494236,-67.8327102661,"Excitatory",36.6362010455,16.13146065,83.4250049591,76.7812538147,85.2604204814
"559",1,1000,0.2211693285,151.525,2.0274075,5.05,-51.0312538147,-50.2656269073,-52.7031269073,0.124575,149.48,2.0256325,3.405,30.2500019073,31.609377861,30.2031269073,267.187505961,0.0908984393,50,50.625,670,149.075,2.0252275,3.0625,-36.7187538147,-36.4843788147,-42.0781288147,180.15,2.056995,508.36,-56.9062538147,-56.4375038147,-80,3.1937594188,3.0473521384,3.1589221776,-78.8586959839,"Excitatory",33.3699572091,1,82.9062538146,81.281255722,81.8750047683
"563",0.0284172257,61.0526666667,0.2271505474,119.55,3.4219716667,5.102,-54.0937538147,-52.614587148,-53.9375030518,0.037945,117.48,3.4201716667,3.376,35.1875,35.53125,37.1125015259,179.687470198,0.0325120091,100,85.5416666667,900,117.09,3.4197833333,3.034,-42.28125,-39.2395858765,-50.2500022888,136.085,3.4443216667,475.018,-60.6562538147,-58.9791704814,-80.8625015259,3.2783341195,3.0492820913,3.7127526104,-80.1294937134,"Excitatory",26.7562918847,16.3793009314,91.0500045777,89.2812538147,88.145837148
"567",0.0064775227,15.2258461538,0.75,11.865,2.2093375,4.101,-65.3125076294,-60.171875,-63.7937515259,0.005535,10.98,2.20834,3.189,38.96875,40.7500038147,40.9937507629,245.31249702,0.0296181813,130,55.1874980927,330,10.655,2.208005,2.907,-49.3125038147,-44.78125,-48.0250007629,11.95,2.209465,518.842,-65.4375,-60.4375,-72.8687515259,2.0790744575,2.0491810296,2.1386376609,-72.5818023682,"Inhibitory",19.4160461078,65.677794843,104.787502289,104.281257629,100.921878815
"568",1,40.3,0.0399737895,85.63,6.5801566667,4.465,-55.5000038147,-50.7708358765,-58.109377861,0.046795,84.59,6.57895,3.4475,36.125,27.5104173024,36.2500038147,267.812460661,0.0596156828,70,164.458333333,780,84.18,6.57842,3.06125,-41,-30.1979179382,-45.9296894073,85.65,6.580185,502.87625,-55.59375,-50.8125038147,-72.1093769073,1.8492854751,1.4223086865,1.8538449074,-70.2219848633,"Inhibitory",41.0174520852,24.8138957816,94.3593816757,91.6250038147,78.2812531789
"588",-0.0535960206,52.2697222222,1.3769738158,220.775,7.64674,4.025,-61.375,-54.875,-60.2656269073,0.023395,220.105,7.64602,3.3875,15.6875009537,18.8645852407,25.2656259537,194.531053305,0.0784129947,150,191.125,0,219.765,7.6456766667,3.095,-45.28125,-34.6354179382,-49.078125,220.805,7.646765,359.2225,-61.5312538147,-54.9687512716,-80.46875,1.2886250153,1.2345749286,1.3891487242,-80.6183547974,"Inhibitory",11.3110166792,19.1315346148,85.531252861,77.0625009537,73.7395852407
"599",0.0106580757,39.4422916667,0.3056818364,126.84,5.06373,5.2358333,-47.84375,-45.5208346049,-53.9427115122,0.043795,124.695,5.0615383333,3.4883333,31.1875,31.4166679382,26.7500019073,220.781207085,0.2110567391,70,126.499994914,530,124.175,5.0609966667,3.075,-31.8437519073,-32.0000038147,-42.4114596049,146.935,5.0912466667,93.0341667,-49.6875,-49.1562538147,-70.5312512716,2.553382345,2.5448621035,2.481194983,-70.1241836548,"Excitatory",16.3963969052,25.3534964056,80.6927134195,79.03125,76.9375025431
"605",0.0150098763,53.5364705882,0.213888898,434.135,2.0450375,5.1025,-50.34375,-48.578125,-56.4375038147,0.065525,431.385,2.0424475,3.135,19.53125,28.3906269073,21.65625,245.312705636,0.119957462,30.0000019073,51.0625,460,430.87,2.0419725,2.735,-40.53125,-38.2968769073,-46.3125019073,471.615,2.0783025,377.8575,-57.0937538147,-54.59375,-66.75,2.7584284824,2.7653321125,2.6011035691,-65.2310028076,"Excitatory",24.0032527496,18.6788555355,78.0937538147,69.875,76.9687519073
"612",0.0279520347,73.9795833333,0.1672178536,169.405,3.2451333333,5.0308333,-46.1562538147,-46.5104166667,-50.2760448456,0.063885,166.41,3.2426866667,3.285,47.5000038147,48.4479179382,49.3541692098,167.031258345,0.0678625926,90,81.0833333333,870,166.05,3.2423283333,2.9783333,-35.3750038147,-34.9166679382,-44.3020858765,210.255,3.281485,457.4016667,-53.84375,-55.2500038147,-72.8906275431,4.697517125,4.7020426441,4.6200117786,-72.4311676025,"Excitatory",23.0270488999,13.517242933,99.6302140554,93.6562576294,94.9583346049
"613",0.1074730871,13.88,0.670603765,36.02,5.01288,4.1466667,-54.40625,-49.6562512716,-56.4218769073,0.01508,35.2,5.0117066667,3.3766667,23.4687519073,15.6562503179,31.0572932561,166.09378159,0.026106745,130,125.291664123,460,34.84,5.01126,3.0666667,-33.90625,-30.1354179382,-41.8125025431,36.08,5.0132866667,134.4066667,-54.4375038147,-49.8437525431,-75.364587148,1.4204987918,1.2887943341,1.5152462507,-74.4759140015,"Inhibitory",7.93871000862,72.0461095101,87.4791701634,77.8750019073,65.3125015895
"626",0.0259065092,93.429,0.1622663618,108.77,5.02271,5.43375,-49.4375,-49.9166666667,-56.390627861,0.051735,106.46,5.0205316667,3.51125,30.375,34.9479166667,33.4140634537,172.343745828,0.1668581814,130,125.500002543,650,105.92,5.01997,3.07125,-33.9375,-34.4375,-46.9296884537,139.6,5.054515,87.60875,-53.40625,-54.1875012716,-73.6250038147,2.4558143506,2.310317396,2.5426988156,-72.852104187,"Excitatory",17.8252477273,10.7033148166,89.8046913147,79.8125,84.8645833334
"636",0.0046938592,38.72,0.5211956522,64.725,3.847715,4.56,-59.1875,-57.328125,-62.0500015259,0.031275,63.5,3.84636,3.394,20.34375,19.8125009537,24.2500007629,187.656208873,0.1364572644,90,96.1875,244,63.09,3.8459075,3.042,-31.1562519073,-29.625,-43.65,64.815,3.8479275,419.806,-59.34375,-57.5000019073,-79.7625,1.5709995381,1.4652770928,1.7718564385,-79.2035446167,"Inhibitory",13.9913404223,25.826446281,86.3000022888,79.53125,77.1406259537
"640",0.0070805118,37.2956,0.535335689,68.89,2.6347133333,3.97,-64.875,-63.8229179382,-65.5875,0.027645,68.12,2.6339133333,3.254,34.5,35.625,36.225,204.374998808,0.2816291749,90,65.7916666667,580,67.765,2.63354,2.935,-38.53125,-36.7604192098,-45.9562507629,68.92,2.6347583333,554.44,-65.0000076294,-63.9375,-72.3187515259,1.3144897219,1.3401802686,1.4296709005,-72.1406173706,"Inhibitory",17.4884521119,26.8128143802,101.8125,99.375,99.4479179382
"645",1,10.185,0.7969420943,8.225,15.14003,3.7883333,-62.4375038147,-58.0416692098,-61.9895852407,0.005965,7.685,15.13938,3.225,20.8125,16.1354179382,22.7343765895,78.437499702,0.0558766164,410,378.499989827,420,7.41,15.139065,2.9741667,-42.4062538147,-34.8541692098,-47.4947929382,8.245,15.140055,169.9108333,-62.5312538147,-58.1562512716,-72.1510429382,1.2172760755,1.1446471503,1.2996420897,-70.7202758789,"Inhibitory",5.93934044878,98.1836033382,84.7239618302,83.2500038147,74.177087148
"662",0.0053014859,20.4194791667,0.8313492268,33.435,7.8438983333,4.141,-58.46875,-53.6041704814,-59.9125030518,0.015385,32.545,7.8426983333,3.305,20.09375,11.364584287,28.3000011444,135.312393308,0.0552352816,150,196.041666667,550,32.21,7.84226,3.024,-35.34375,-29.7395852407,-44.9875022888,33.545,7.844115,509.222,-58.5937538147,-53.739587148,-76.6812530518,1.5094790235,1.257484584,1.7770185577,-76.0004272461,"Inhibitory",7.7532005649,48.9728455773,88.2125041962,78.5625,64.9687547684
"665",0.0794005506,45.055625,0.1673579137,45.605,3.4914575,5.9716667,-52,-50.3750038147,-52.2604179382,0.018035,42.905,3.488445,3.38,47.0312538147,47.3125038147,52.0520858765,181.25012517,0.0314755552,180,87.1875,720,42.475,3.487975,2.995,-40.125,-32.578125,-45.8541704814,54.1,3.50731,655.6633333,-53.7812538147,-54.7031269073,-76.0416717529,4.435970622,4.2232945368,5.2347129432,-75.177406311,"Excitatory",15.655497418,22.1947869994,104.312503815,99.0312538147,97.6875076294
"666",0.0085289634,26.0156756757,0.2699803144,127.72,0.7053666667,5.376,-52.15625,-52.2916692098,-56.9375022888,0.01402,125.48,0.70304,3.252,38.2500038147,45.2291679382,42.6187507629,413.437455893,0.0900622904,20,17.5416666667,239.999984741,124.98,0.70254,2.832,-42.9375038147,-43.0729192098,-45.6687530518,151.22,0.7259,855.384,-54.9375038147,-53.8854204814,-69.9375030518,3.2085565206,3.6467127704,3.4721401782,-68.5833206177,"Excitatory",25.3465120244,38.4383635646,99.5562530517,90.4062538147,97.520837148
"670",0.2123690515,175.191666667,0.1006455843,245.98,2.7501716667,6.00125,-45.0625,-43.4270858765,-49.0859375,0.10397,241.605,2.7462166667,3.49,33.59375,39.8750012716,39.5625019073,231.081172398,0.0272550602,70,68.6666666667,1040,241.075,2.7457066667,3.0475,-33.0625038147,-32.0104173024,-44.2890663147,302.12,2.79726,650.1675,-55.34375,-51.9166692098,-78.8750038147,4.114900527,4.2233691252,4.0851315856,-78.2009353638,"Excitatory",21.9768924098,5.70803405794,88.6484394073,78.65625,83.3020871481
"671",0.0393160206,58.2425,0.269683908,113.2,3.2682733333,4.7,-54.7500038147,-55.5208346049,-56.1250030518,0.04118,112.12,3.2670666667,3.536,40.5,41.3958358765,40.3125015259,149.218559265,0.207872197,90,81.625,750,111.72,3.2666466667,3.128,-42.6875,-42.0000038147,-47.5125030518,113.22,3.2683266667,221.672,-54.7812538147,-55.5833346049,-74.2687530518,2.2697355177,2.3468471837,2.3763735591,-73.4568405151,"Inhibitory",19.2370070393,17.1695926514,96.4375045777,95.2500038147,96.9166704814
"678",0.0062299763,58.665625,0.3058333488,144.92,3.5266316667,5.17125,-66.5625,-61.6354179382,-66.1796875,0.036935,143.295,3.5250133333,3.60125,31.65625,40.5104192098,29.9062504768,192.812457681,0.2229978889,90,88.125,540,142.85,3.52453,3.18,-49.125,-46.4895846049,-47.140625,145.31,3.5269716667,792.89375,-66.78125,-61.8958346049,-73.6875,2.2913726177,2.5858218164,2.0963725832,-73.0367202759,"Excitatory",21.0970990341,17.0457572045,96.0859379768,98.21875,102.145837148
"679",0.0986648819,113.287142857,0.139336926,131.005,4.785325,5.066,-44.4687538147,-45.1979192098,-46.5875022888,0.059385,128.22,4.7831533333,3.31,35.7812538147,38.6979179382,43.7000030518,95.1785519719,0.0316205211,130,119.583323161,424,127.855,4.7827916667,3.007,-36.6562538147,-35.8958346049,-48.5562515259,165.285,4.81725,396.055,-54.2812538147,-55.6562538147,-75.0625,3.3863165925,3.171764043,3.8570286445,-75.0661315918,"Excitatory",25.2161656932,8.82712702236,90.2875053406,80.2500076294,83.895837148
"682",0.007598601,24.254,0.3821428725,54.91,3.9587083333,5.528,-52.0312538147,-49.0104179382,-57.7312515259,0.02301,53.005,3.9564233333,3.406,28.75,23.4479166667,9.4312501907,240.625008941,0.1339155734,90,98.9166666667,360,52.475,3.955825,2.981,-32.46875,-31.5312506358,-33.24375,54.915,3.9615533333,37.903,-52.09375,-49.4166679382,-67.6062530518,2.1604974822,2.0358579796,1.7734423126,-66.4022827148,"Inhibitory",10.0510967203,41.2303125258,67.1625017166,80.7812538147,72.4583346049
"688",1,1000,0.0408005121,34.105,2.99089,4.726,-49.375,-47.5156269073,-51.6375022888,0.022655,32.525,2.9891875,3.196,41.3437538147,46.0781269073,44.2250015259,115.625187755,0.026608685,249.999984741,74.6875,560,32.13,2.988765,2.856,-39.46875,-35.2343769073,-47.1062515259,814.695,3.0068125,370.964,-50.1250038147,-51.9531288147,-72.5500045776,3.3821239244,3.1578523741,3.7417664389,-70.9210128784,"Excitatory",11.4966748723,1,95.8625038147,90.7187538147,93.5937538146
"690",0.138954708,129.005714286,0.1697031039,36.22,4.7123666667,5.208,-50.6875038147,-49.0937512716,-54.8812530518,0.00978,34.18,4.7106466667,3.44,35.2812538147,35.4791679382,40.2687530518,176.651805639,0.0342785232,110,117.749997457,310,33.64,4.71004,2.98,-34.46875,-32.9479192098,-44.5312522888,36.5,4.71266,63.552,-50.875,-49.3125,-61.5437530518,2.4076583448,2.0443847303,2.6608163428,-60.4437866211,"Excitatory",17.8743341598,7.75159461375,95.1500061036,85.9687576294,84.5729192098
"692",1,1000,0.6959105414,16.08,15.079075,3.974,-59.90625,-52.3229204814,-61.8000030518,0.01101,15.26,15.0779333333,3.204,17.3750019073,5.0520833333,24.9875007629,93.5937091708,0.0474311709,280,376.958323161,680,14.96,15.07748,2.945,-37.46875,-27.7708339691,-43.4312538147,16.155,15.0793183333,551.29,-60.0625,-52.5416692098,-74.9250015259,1.5055027568,1.0586477038,1.5828489081,-73.8991775513,"Inhibitory",6.12901705554,1,86.7875038147,77.2812519073,57.3750038147
"693",0.0648533744,86.4995,0.2206370789,90.45,5.239855,4.687,-54.40625,-53.1666692098,-55.1812522888,0.04484,88.93,5.2383316667,3.315,46.90625,49.1250025431,49.1187538147,164.218708873,0.0255275797,110,130.95833079,700,88.57,5.2379833333,3.002,-42.2500038147,-38.8958346049,-48.9375015259,90.525,5.2707633333,598.887,-54.5000038147,-55.2812538147,-84.2562530518,4.2788860408,4.3298103265,4.4375221996,-83.154548645,"Excitatory",16.4014739991,11.5607604668,104.300006104,101.3125,102.291671753
"696",0.0532386912,67.3628571429,0.1805248644,98.92,1.1628675,4.4616667,-56.0937538147,-54.2500038147,-56.4895846049,0.020765,97.655,1.1615825,3.295,26.3125019073,27.7812509537,28.8125019073,319.866210222,0.0311772805,30.0000019073,29,93.3333333333,97.175,1.161025,2.845,-47.9687538147,-46.7500019073,-47.208337148,98.985,1.1964,635.1366667,-56.2187538147,-55.1406269073,-65.3020858765,1.9976186671,2.0264474197,2.0686880422,-64.980506897,"Inhibitory",37.5632431035,14.844976036,85.3020865122,82.406255722,82.0312547684
"717",0.0641239862,121.147142857,0.1234541604,103.38,3.3849766667,5.4775,-38.1875,-41.8750025431,-44.5156259537,0.060525,100.815,3.382915,3.54125,44.03125,46.3854204814,49.6250019073,162.499919534,0.1040345058,150,84.5833333333,0,100.315,3.3824383333,3.11875,-26.9062519073,-29.2083346049,-41.1484394073,132.115,3.4307216667,255.28125,-45.0312538147,-52.1666692098,-72.8984394073,3.3024396461,3.3123765392,3.6443050989,-71.9448699951,"Excitatory",18.3740570866,8.25442496138,94.140627861,82.21875,88.2604230245
"723",0.014279348,59.558125,0.2306994948,73.855,3.4842616667,4.88625,-47.625,-49.5312525431,-51.4921884537,0.0368,72.11,3.48249,3.3975,34.6562538147,36.0104179382,32.2812519073,127.34374404,0.1781907529,110,87.0416666667,760,71.725,3.4820933333,3.05375,-38.6562538147,-40.3333346049,-46.2656259537,111.42,3.5299566667,490.30375,-53.5000038147,-55.6250025431,-70.5937538147,3.0076412738,2.9970162449,2.8708313483,-69.2325592041,"Excitatory",13.1647589759,16.7903203803,83.773440361,82.2812538147,85.5416704813
"727",0.037179459,10.0325,1.1088496727,11.195,14.2627816667,4.165,-63.75,-56.6458346049,-62.6562538147,0.007085,10.5,14.2618633333,3.365,24.46875,11.34375,22.71875,66.875115037,0.0498955064,330,356.5,0,10.2,14.2615,3.085,-42.03125,-30.6145833333,-47.28125,11.24,14.2628483333,983.205,-63.8750038147,-56.7604179382,-77.78125,1.4000146518,1.1590524643,1.4817362447,-76.5811386108,"Inhibitory",6.36090117934,99.6760528283,85.3750038147,88.21875,67.9895846049
"732",0.0392018113,94.5194444444,0.2026180055,298.48,3.3085483333,4.5675,-38.4062538147,-41.2708358765,-46.4375019073,0.06665,297.175,3.3071233333,3.395,37.65625,41.8333346049,43.5000019073,178.571432829,0.1305298954,70,82.625,820,296.745,3.30671,3.0525,-30.8750019073,-31.8958352407,-44.5156269073,357.61,3.3541266667,228.6775,-53.6250038147,-51.0937525431,-71.4062538147,2.5208940115,2.7333353755,3.0932736673,-70.2577819824,"Excitatory",20.9199814758,10.5798336615,89.9375038146,76.0625038147,83.1041704814
"736",0.0197051634,61.6253333333,0.2004716981,100.56,2.37264,5.225,-48.0625038147,-49.4270846049,-51.640625,0.05464,98.08,2.3706066667,3.53,37.46875,39.1458346049,40.804690361,166.56242311,0.0347785614,90,59.2083333333,850,97.62,2.3701333333,3.125,-31.96875,-33.4583346049,-44.8046884537,109.64,2.3987466667,587.28,-52.2812538147,-55.6562512716,-80.7421913147,3.5639551468,3.3559592614,3.7829078428,-79.3605117798,"Excitatory",21.2613101947,16.2270927541,92.445315361,85.5312538147,88.5729192098
"758",1,1000,0.0158742936,62.46,6.7726983333,5.134,-47.84375,-48.0104179382,-49.9187522888,0.071675,60.6,6.7709066667,3.422,39.78125,43.4583333333,41.3187507629,107.968866825,0.0309457462,249.999984741,169.25,436,60.17,6.7705,3.04,-38.5625038147,-33.1562525431,-50.3937522888,786.795,6.78942,437.823,-53.0937538147,-54.0000025431,-83.0875030518,3.1272173036,3.0896951838,3.5401610228,-82.7531585693,"Excitatory",11.4596946592,1,91.2375030517,87.625,91.4687512715
"778",0.0484987688,127.402142857,0.1241935466,98.26,6.4557016667,4.752,-42.8125038147,-45.1875012716,-50.6000015259,0.048485,96.33,6.45414,3.352,44.03125,48.2812525431,46.6312515259,95.6248864532,0.1559875757,190,161.333333333,1190,95.995,6.4538083333,3.055,-35.15625,-36.7916666667,-48.2500030518,143.135,6.5127383333,74.062,-54.0937538147,-52.4895846049,-74.8500030518,4.2805741868,4.2425868579,3.7845414386,-73.8727722168,"Excitatory",14.0124088272,7.84916154135,97.2312530518,86.8437538147,93.4687538147
"779",1,1000,0.0101993869,46.6,10.5479,4.8311111,-52.0625038147,-46.5625038147,-55.8854192098,0.01932,45.3,10.5464333333,3.5222222,32.625,22.6979173024,36.8055580987,115.781247616,0.069769837,170,263.625,520,44.9,10.5457933333,3.1777778,-34.53125,-31.8020852407,-45.7465307448,46.66,10.5479333333,467.2,-52.1250038147,-46.5833358765,-75.4375033908,2.542220008,1.7345041749,3.095220601,-75.4819488525,"Inhibitory",11.7883483306,1,92.6909773085,84.6875038147,69.2604211171
