"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","binary_neuron","tau","firing_rate","height_short","height_long","height_ramp"
"83",0.4922276637,325.006666667,0.7641952507,15.12,13.0831516667,4.2366667,-67.875,-60.6666679382,-67.9531262716,0.013895,14.235,13.0822583333,3.3316667,4.34375,17.3854173024,17.5000003179,82.8124955297,0.0359153226,270,327.041666667,226.666666667,13.93,13.08191,3.05,-47.53125,-32.5625,-45.6145852407,15.16,13.0832066667,655.8608333,-68.03125,-60.8333358765,-82.5989634196,1.5017895171,1.2959735445,1.4823086662,-83.3805465698,"Inhibitory",5.73907481427,3.07685996185,85.4531265895,72.21875,78.0520852406
"88",0.110505779,90.435,0.1218390805,176.73,2.44798,5.33125,-47.9375,-48.65625,-50.6171894073,0.05537,173.86,2.44545,3.50375,35.90625,37.53125,37.296875,186.875000596,0.0202918146,90,61.125,830,173.38,2.44498,3.09125,-33.5625,-33.6875038147,-43.09375,205.11,2.47128,802.48375,-54.40625,-55,-74.8984394073,3.1423566242,3.0306799947,3.4011178458,-75.2422332764,"Excitatory",24.2792770492,11.0576657268,87.9140644073,83.84375,86.1875
"94",1,49.28,0.0707386364,67.56,4.8708866667,4.8533333,-48.5,-44.8541666667,-50.9062519073,0.03072,65.86,4.8692533333,3.3566667,36.1562538147,31.0416673024,37.8906262716,220.156252384,0.1936496496,70,121.66666158,650,65.42,4.8686533333,2.9566667,-40.9687538147,-32.1770846049,-47.8541692098,97.84,4.89192,492.96,-56.2187538147,-53.958337148,-76.1354230245,2.8178060899,1.8692291679,3.2438825818,-75.2548217773,"Excitatory",24.715286411,20.2922077922,88.7968781789,84.6562538147,75.8958339691
"95",0.0543448402,77.4791666667,0.1738764199,155.68,4.78178,5.108,-46.5625038147,-47.2916704814,-50.5125015259,0.048245,153.84,4.7801866667,3.416,44.1875,50.1562538147,50.2125015259,121.562540531,0.1921915859,120.000007629,119.499992371,979.999938965,153.435,4.7798,3.054,-43,-39.2916679382,-46.2500022888,206.765,4.8251033333,93.651,-57.0000038147,-54.1250025431,-72.2250030518,3.7168961468,3.8413954768,3.5774376865,-70.8589324951,"Excitatory",17.6999565475,12.9066953482,100.725003052,90.7500038147,97.4479242961
"107",0.0202565352,53.3344444444,0.2278089888,261.44,1.8032866667,6.236,-49.6562538147,-51.302087148,-54.3562522888,0.0383,258.22,1.80024,3.512,38.3125038147,40.3645858765,40.1562515259,215.000107884,0.0680718347,40,45,479.999969482,257.78,1.7998,3.132,-40.53125,-41.864587148,-45.3687522888,296.86,1.8394133333,500.652,-57.9375038147,-58.4270846049,-73.3500045776,4.5901261618,4.4179228874,4.3090883,-72.8924713135,"Excitatory",19.4838621165,18.7496093832,94.5125038147,87.9687576294,91.6666730245
"110",-0.0023096331,24.285,1.0592179284,9.815,11.2590783333,4.0175,-59.90625,-61.7812525431,-66.9791679382,0.006695,8.86,11.2583,3.1908333,-1,15.0625009537,13.2291671435,101.250037551,0.0176252462,310,281.458333333,433.333333333,8.585,11.2580133333,2.9466667,-39.5,-32.7291692098,-45.3281269073,9.835,11.2591366667,531.3425,-60.0000038147,-61.9166704814,-76.0625050863,1.5467735243,1.2199565626,1.4128399276,-75.108543396,"Inhibitory",4.23919909702,41.1776816965,80.2083350817,58.90625,76.8437534968
"111",0.0297156416,49.5855263158,0.2057377049,53.79,1.4559375,5.3316667,-50.7500038147,-47.203125,-53.5000012716,0.021885,51.875,1.4535425,3.495,26.84375,34.03125,30.0729173024,267.968744039,0.1623771042,50,36.3125,410,51.38,1.453055,3.0866667,-41.6562538147,-34.921875,-46.9270846049,60.365,1.488675,250.2566667,-51.6875,-54.5625,-73.71875,2.6286820771,2.8669443365,2.8628917349,-73.1547622681,"Excitatory",26.0993637697,20.1671752687,83.572918574,77.5937538147,81.234375
"122",-0.0144716843,80.5479166667,0.1892064415,55.97,9.0732683333,8.2258333,-49.5937538147,-53.6979192098,-62.8645852407,0.029075,52.97,9.06838,3.22,15.5000009537,17.4375,23.6562509537,132.812693715,0.0285200737,310,226.708328247,730,52.545,9.0679066667,2.9233333,-35.90625,-34.9479192098,-43.8020858765,59.165,9.077475,650.3383333,-51.0625038147,-55.8229204814,-75.5625050863,3.1305227377,3.2069634757,2.449802692,-75.2428283691,"Inhibitory",8.80442842566,12.4149703851,86.5208361944,65.0937547684,71.1354192098
"128",1,26.98,0.0944196293,52.2,10.04312,4.252,-55.7187538147,-55.3333358765,-58.3437530518,0.0253,51.12,10.0419866667,3.216,24.6250019073,23.9375012716,25.6125011444,116.56242609,0.0344483964,249.999984741,251,900,50.76,10.04156,2.88,-39.0625,-33.5729192098,-46.7812515259,52.26,10.0432,564.416,-55.7812538147,-55.4062525431,-74.2062545776,1.8944433152,1.6759465027,1.967410558,-74.1498794556,"Inhibitory",31.3458055123,37.0644922165,83.9562541962,80.343755722,79.2708371481
"133",0.0059147157,15.7613541667,0.9858333333,14.245,12.5953533333,4.267,-60.59375,-58.0937525431,-63.3500030518,0.009245,13.355,12.5943733333,3.362,13.25,17.5416673024,23.3937503815,92.3437848687,0.054768987,270,314.833333333,114,13.03,12.59399,3.061,-37.5937538147,-32.5104173024,-45.0437515259,14.27,12.5954233333,637.443,-60.75,-58.1770846049,-74.9000015259,1.4477902365,1.3567130539,1.5644423922,-74.0444335938,"Inhibitory",7.89982199,63.4463250698,86.7437534333,73.84375,75.6354198455
"134",1,353.06,0.0828719487,39.38,10.9916266667,5.46,-45.15625,-46.6041692098,-54.6062530518,0.02304,37.42,10.98966,3.52,33.3750038147,31.8958352407,36.8812515259,80.6249976158,0.0433410928,469.999969482,274.708333333,0,36.82,10.9890466667,3.072,-33.3125038147,-32.7604198456,-48.0687522888,39.56,11.0112666667,472.328,-45.4375038147,-50.2812525431,-77.2250015259,2.3885619228,2.0981962343,2.4666138598,-76.6868133545,"Excitatory",10.696395056,2.83237976548,91.4875045777,78.5312538147,78.5000044505
"136",0.0237073068,51.0925,0.3485211407,86.795,4.0842333333,5.126,-55.8125038147,-53.3854192098,-56.0312515259,0.0266,85.13,4.08269,3.595,45.9687538147,47.6458346049,43.2750030518,147.499918938,0.1379958093,90,102.041664123,509.999969482,84.665,4.0822033333,3.175,-47.0937538147,-45.4375025431,-51.4937538147,121.42,4.119565,103.507,-58.0312538147,-56.4791704814,-75.1000045776,2.6555707356,2.6994918978,2.7511430812,-74.173248291,"Excitatory",14.9430428134,19.5723442775,99.3062545777,101.781257629,101.031253815
