"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"273",0.0846362769,81.065,0.1998666646,91.025,3.3115516667,4.668,-49.7187538147,-50.375,-50.7500022888,0.03991,89.24,3.3100516667,3.317,45,47.1979179382,48.9562515259,163.28124702,0.0542853847,90,82.7083333333,750,88.9,3.3097016667,3.01,-38.09375,-37.9479179382,-49.19375,117.72,3.3318266667,398.655,-53.84375,-54.59375,-79.0000030518,3.6602782705,3.592296106,4.2541368565,-78.5653686523,"Nr5a1_Scnn1a",17.5390899557,12.3357799297,99.7062538147,94.7187538147,97.5729179382
"287",0.0010974061,13.6338888889,0.9006018725,20.6,7.6652533333,4.292,-53.125,-52.7916704814,-56.8375022888,0.0124,19.72,7.6643,3.364,10.8750009537,8.7708338102,16.3187517166,82.9688236117,0.0387163348,270,191.624994914,600,19.4,7.6638933333,3.084,-31.65625,-38.2812506358,-45.0625030518,20.62,7.66942,571.08,-53.2187538147,-53.9375038147,-73.8437515259,1.4058102777,1.3574585984,1.6573357391,-73.0732498169,"Cux_Slc17",7.14909642977,73.346644391,73.1562540054,64.0000009537,61.5625042916
"303",0.0362956774,74.8225,0.2178977273,118.28,2.927355,5.1175,-45.625,-45.5416666667,-50,0.05097,116.06,2.9254733333,3.525,32.21875,33.6875012716,35.7968769073,210.937380791,0.0616592243,90,73.125,0,115.575,2.924985,3.13,-33.09375,-31.40625,-42.0156288147,142.095,2.9605166667,707.3975,-50.5,-53.6979179382,-78.453125,2.6507909929,2.456152251,3.0631381728,-77.8417892456,"Nr5a1_Scnn1a",20.7400340693,13.3649637475,85.7968769073,77.84375,79.2291679383
"308",-0.1928444975,485.78,0.1209219853,49.78,6.1848,5.42,-46,-43.239587148,-52.6250030518,0.01792,47.6,6.1829066667,3.54,41.5625,38.6666679382,42.5812530518,162.812456489,0.1143226027,210,154.54166158,600,47.06,6.1822,3.092,-35.34375,-32.2083346049,-47.6375022888,50.1,6.2250533333,381.14,-46.25,-45.8437512716,-76.0687561035,2.8310441167,2.3177126048,3.1644086346,-75.4487686157,"Ntsr1-Cre_GN220",19.1271703565,2.05854502038,95.2062561036,87.5625,81.9062550862
"312",0.0217096944,59.4376666667,0.221875,124.44,1.78304,4.48625,-44.8750038147,-45.7812525431,-50.5546894073,0.05243,122.37,1.7813066667,3.155,35.40625,36.4791692098,36.3437509537,210.937619209,0.0096952049,50,44.5416641235,300,122.02,1.7809433333,2.85375,-32.7500038147,-31.6250012716,-41.9453134537,145.99,1.8124316667,649.525,-50.71875,-52.8020858765,-69.8125019073,2.9849977028,2.8161601681,2.8947141601,-69.4225387573,"Nr5a1_Scnn1a",29.7585465011,16.8243481967,86.898440361,80.2812538147,82.2604217529
"319",0.0349519303,116.194375,0.1555555949,58.225,7.9421333333,5.436,-46.8437538147,-47.9583358765,-53.0812515259,0.032215,55.74,7.939535,3.546,35.875,36.8750025431,37.6250030518,69.2187920213,0.1738492548,370,198.500005086,1410,55.22,7.9390516667,3.088,-45.8125038147,-41.3854179382,-57.1187522888,93.54,7.990915,72.129,-55.4062538147,-56.5000025431,-81.1375015259,3.3142730977,3.2851636292,3.4331320314,-80.2801742554,"Rbp4-Cre_KL100",11.5026163353,8.60626859088,90.7062545777,82.7187538147,84.8333384196
"346",0.1039141876,153.395,0.0683593822,150.49,4.6608616667,6.055,-45,-45.5729204814,-49.539065361,0.081125,146.895,4.6580633333,3.51125,36.0000038147,42.0416679382,41.0625038147,125.937506556,0.057324186,150,116.41666921,1320,146.425,4.6576133333,3.0975,-35.8437538147,-36.5208346049,-48.085940361,191.19,4.710415,549.38,-54.6875038147,-56.8854204814,-78.8906269073,3.9522051522,3.7866526799,4.0183786943,-78.1010055542,"Rbp4-Cre_KL100",20.8820934116,6.51911731152,90.6015691757,81.0000038147,87.6145884196
"350",0.0283625815,83.4390909091,0.1833333333,152.045,2.6255,4.841,-47.90625,-50.0208346049,-50.09375,0.04224,150.355,2.623945,3.453,37,48.9791666667,40.3437507629,232.968792319,0.0223539155,70,65.5833333333,0,149.9,2.623575,3.087,-34.34375,-34.4687512716,-43.1125007629,181.72,2.649125,820.658,-57.03125,-56.7812512716,-76.4312545776,3.0012022315,3.7186721319,3.6811218945,-76.3015518188,"Nr5a1_Scnn1a",20.1743668469,11.9847902117,90.4375007629,84.90625,99.0000012716
"364",0.0223981015,85.0245454545,0.1029761956,116.185,5.0772191667,6.762,-48.875,-49.1979173024,-53.6250015259,0.058865,111.975,5.0724383333,3.393,31.6875019073,32.1562519073,33.1312507629,139.687538147,0.029876072,130,126.791666667,568,111.395,5.0718541667,2.911,-38.28125,-37.6614589691,-45.4500007629,128.295,5.1021241667,67.44,-52.15625,-55.4114583333,-65.3187530518,3.987668409,3.9422567256,4.0556416429,-63.8380661011,"Nr5a1_Scnn1a",27.6047277572,11.7613095684,86.7562522888,80.5625019073,81.3541692097
"367",1,1000,0.0968749869,70.175,8.1021283333,4.95,-45.9687538147,-47.4895858765,-49.2437515259,0.050055,68.1,8.100255,3.29,36.59375,38.875,40.4375030518,69.3750008941,0.1039638519,290,202.500005086,1500,67.76,8.09991,2.989,-47.1562538147,-44.2916666667,-51.7312522888,101.445,8.1512716667,58.412,-59.2812538147,-58.3958346049,-74.5062576294,4.1464390347,3.7606497314,4.2903579616,-73.9276123047,"Rbp4-Cre_KL100",8.66689780796,1,89.6812545777,82.5625038147,86.3645858765
