"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"50",0.0233147925,72.1273076923,0.1782534375,0.060175,150.312572718,0.0128363045,19.9989448684,-82.9683837891,13.8643744234,170.66,-48.8437538147,168.38,39.9062538147,110,167.98,-36.28125,196.17,-57.40625,3.1330203798,88.7500076294,"L4tg"
"51",1,41.485,0.0551470574,0.02446,124.375075102,0.0180059671,12.6634987684,-81.8460159302,24.1050982283,41.3,-48.03125,39.355,37.65625,230,38.895,-41.6562538147,707.01,-51.59375,3.500343564,85.6875,"L4tg"
"52",0.048978994,74.37875,0.2426356589,0.047025,190.937504172,0.0479762889,26.8500880675,-71.7251586914,13.4447002672,152.19,-51.6562538147,150.17,46.5,50,149.72,-43.40625,193.115,-56.0625,3.8909790034,98.1562538147,"L4tg"
"53",0.0368844851,65.8692307692,0.2336640212,0.06385,241.40624702,0.0152476402,27.5330781404,-78.1602478027,15.1815952353,190.72,-48.8750038147,188.8,46.3750038147,50,188.385,-41.09375,220.675,-55.8750038147,4.027633222,95.2500076294,"L4tg"
"54",0.0386690158,105.96125,0.1659810211,0.07976,137.968748808,0.0681690127,24.2422131145,-79.8806610107,9.43741226156,138.95,-47.0000038147,135.91,34.8125038147,130,135.48,-38.03125,179.06,-54.9687538147,4.195805859,81.8125076294,"L4tg"
"55",0.027384956,71.7215384615,0.1725446498,0.06211,158.125042915,0.03639495,18.713148949,-72.2956085205,13.9428130162,138.605,-41.5937538147,134.89,35.71875,90,134.35,-32.46875,174.47,-47.9375,4.1500095692,77.3125038147,"L4tg"
"56",0.0361283234,76.46125,0.2225000156,0.04385,214.531287551,0.0620325468,20.4339386502,-74.4105987549,13.0785201654,157.535,-54.5937538147,155.845,41.9062538147,70,155.4,-42.59375,204.1,-59.6875038147,2.709897683,96.5000076294,"L4tg"
"57",0.0148346836,66.7942857143,0.1880999158,0.04922,188.90632689,0.0176209826,30.6946340788,-75.0912857056,14.9713405766,134.76,-51.5000038147,132.44,44.7812538147,70,132.04,-39.09375,151.28,-58.0937538147,3.8918089684,96.2812576294,"L4tg"
"58",0.0232530315,86.6536363636,0.1408031088,0.044805,171.093553305,0.1004177034,17.766057521,-77.6002655029,11.540196603,119.955,-58.46875,117.46,34.7500038147,90,116.925,-45.2812538147,156.43,-62.21875,3.4713138041,93.2187538147,"L4tg"
"59",0.0398470684,100.118125,0.1503517059,0.074265,151.093795896,0.0657483265,20.2351468197,-73.7776107788,9.98820143705,125.525,-41.46875,123.455,36.625,70,123.14,-32.5937538147,172.25,-53.0625038147,3.3430857333,78.09375,"L4tg"
"60",0.07898608,93.744,0.190340908,0.04332,136.250004172,0.0072414633,22.3620219481,-69.0978317261,10.667349377,93.8,-43,91.06,38.21875,190,90.64,-31.0625,106.52,-47.9375,4.6862875937,81.21875,"L4tg"
"62",1,88.09,0.1677083346,0.067375,143.281206489,0.00599158,21.6365184812,-78.8448944092,11.3520263367,85.46,-47.6875,83.13,41.46875,150,82.78,-36.1562538147,99.565,-51.5000038147,3.9835933104,89.15625,"L4tg"
"63",0.0116282761,95.6244444444,0.1541403808,0.07504,193.281367421,0.0975460112,30.1351968105,-65.6994934082,10.4575770956,211.895,-46.9375038147,209.2,46.34375,50,208.82,-36.75,250.865,-57.0000038147,3.9711315285,93.2812538147,"L4tg"
"64",0.0071029118,52.2558333333,0.2719512195,0.047835,248.571425676,0.1037928164,25.5804550671,-75.8354644775,19.1366195162,138.29,-49.8750038147,136.405,32.0625,50,135.98,-36.46875,169.1,-59.8437538147,3.0017979556,81.9375038147,"L4tg"
"65",0.0358613139,107.61,0.1463349014,0.07696,160.312458873,0.077374354,24.0613465493,-74.1493377686,9.29281665273,174.94,-46.1250038147,171.88,40.5,90,171.4,-35.7812538147,213.1,-54.9375038147,4.1436436103,86.6250038147,"L4tg"
"67",1,89.51,0.1096405132,0.057675,116.40625447,0.0635878891,18.5473587434,-77.7801132202,11.1719360965,120.725,-53.90625,115.08,27.8437519073,190,114.53,-39.40625,136.345,-57.9375038147,4.1641729582,81.7500019073,"L4tg"
"70",0.0259485715,81.8504545455,0.1833333333,0.06451,231.562495232,0.0547779799,27.9901209637,-74.4558258057,12.2174031354,223.39,-45.875,220.39,37.78125,70,219.875,-35.65625,256.835,-54.5937538147,3.6098653848,83.65625,"L4tg"
"72",0.0200246041,77.6227272727,0.275,0.078965,182.968750596,0.0105836531,21.9868656339,-76.0704803467,12.8828248521,310.675,-40.90625,307.97,23.25,90,307.49,-32.0625,350.91,-51.28125,2.9302972071,64.15625,"L4tg"
"73",0.0691117027,50.715,0.10447761,0.04087,166.718706489,0.0119197704,17.8996721968,-77.0500564575,19.7180321404,107.835,-45.5625038147,105.725,43.6562538147,170,105.355,-27.4687519073,119.88,-51.0000038147,2.8385972715,89.2187576294,"L4tg"
"74",1,1000,0.1208484858,0.04045,155.937537551,0.0185238365,16.922560485,-68.9345703125,1,53.785,-50.6250038147,51.335,37.5312538147,170,50.9,-37.1875,63.07,-53.59375,3.5694296742,88.1562576294,"L4tg"
"75",0.0362956774,74.8225,0.2178977273,0.05097,210.937380791,0.0616592243,20.7400340693,-77.8417892456,13.3649637475,118.28,-45.625,116.06,32.21875,90,115.575,-33.09375,142.095,-50.5,2.6507909929,77.84375,"L4tg"
"76",1,1000,0.1592307759,0.05652,187.031209469,0.0800438523,20.4911864642,-77.4786224365,1,62.495,-48.96875,60.735,36.6875,110,60.32,-35.96875,73.46,-52.40625,3.1658794898,85.65625,"L4tg"
"77",0.016471084,70.415,0.2135153091,0.055965,226.874992251,0.0378647484,29.9144457378,-72.0163574219,14.2015195626,301.15,-48.375,298.5,33.3125,50,298.005,-36.78125,333.655,-57.5312538147,3.038636214,81.6875,"L4tg"
"78",0.0217096944,59.4376666667,0.221875,0.05243,210.937619209,0.0096952049,29.7585465011,-69.4225387573,16.8243481967,124.44,-44.8750038147,122.37,35.40625,50,122.02,-32.7500038147,145.99,-50.71875,2.9849977028,80.2812538147,"L4tg"
"80",0.0407697152,82.9690909091,0.1431324111,0.05849,134.843751788,0.1027392223,21.911616455,-77.1888580322,12.0526811737,170.31,-47.9687538147,167.44,42.34375,80,166.99,-37.875,213.785,-58.0937538147,4.0115898895,90.3125038147,"L4tg"
"81",0.0233129948,41.5130434783,0.2954274403,0.017215,332.477658987,0.0149144968,26.088915004,-67.9460296631,24.0888144114,54.49,-50.96875,52.09,45.3125,50,51.68,-36.7187538147,65.105,-54.4375038147,3.8095199162,96.28125,"L4tg"
"85",0.0825362574,103.197,0.0942528731,0.057055,156.562507153,0.0194823537,19.8171190301,-76.8808288574,9.6902041726,210.375,-47.8125038147,207.885,53.7187538147,130,207.485,-38.1875,251.375,-55.6250038147,4.5042944831,101.531257629,"L4tg"
"87",0.0170265693,43.8488095238,0.3488888889,0.05157,208.281219006,0.0155193536,28.8058511449,-74.9811172485,22.8056362501,148.905,-46.0625038147,146.515,20.0625,50,146.04,-40.8125038147,163.38,-50.2187538147,2.9583214852,66.1250038147,"L4tg"
"90",0.0421622045,79.6509090909,0.2283898305,0.07392,157.343789935,0.0458727479,23.6166024499,-81.4509658813,12.5547845142,242.9,-49.4062538147,241.06,25.0937519073,70,240.63,-40.03125,299.22,-61.7187538147,2.993885291,74.500005722,"L4tg"
"91",0.0123755954,51.88,0.2801477378,0.04168,191.718757153,0.0411933288,23.9900848054,-67.5364532471,19.2752505783,111.26,-47.46875,109.405,40.5625038147,70,109.03,-39.5,132.485,-50.9062538147,3.6928634067,88.0312538147,"L4tg"
"92",0.0882908841,81.585,0.1119538349,0.027675,193.593636155,0.0834234953,25.878555662,-75.9269332886,12.2571551143,82.865,-44.8125,78.285,39.0625,150,77.79,-32.40625,103.905,-49.4687538147,4.1042965291,83.875,"L4tg"
"93",0.0341315331,71.885,0.1773809524,0.037245,260.781347752,0.0842232332,19.9408336147,-74.8125076294,13.9111080198,870.585,-48.96875,867.41,22.28125,70,866.675,-39.09375,891.19,-54.3125,2.4871608298,71.25,"L4tg"
"94",0.0206066107,72.2323076923,0.1919491525,0.05544,152.499973774,0.0793471187,26.8179912502,-75.5931091309,13.8442205704,344.64,-49.9687538147,342.5,43.7500038147,70,342.12,-39.8125,414.72,-61.9375038147,3.8074380907,93.7187576294,"L4tg"
"95",0.0185858154,42.7184090909,0.2159049458,0.03673,137.343794107,0.0292228591,15.5658292633,-76.8331451416,23.4091114646,114.02,-41.4375038147,112.25,33.90625,90,111.865,-31.1562519073,138.625,-49.4375,2.6689812763,75.3437538147,"L4tg"
"96",0.0292641029,73.74,0.1895019157,0.05546,123.906247318,0.1195352152,15.3103857262,-79.6576766968,13.5611608354,202.54,-44.96875,200.26,37.90625,80,199.8,-33.40625,253.46,-59.0000038147,3.3847802659,82.875,"L4tg"
"98",0.0436978475,72.6995833333,0.2081578947,0.043385,223.43750298,0.0120425289,31.5016101569,-72.1348800659,13.7552370199,95.275,-47.65625,92.065,27,90,91.555,-33.46875,104.83,-51.59375,2.8617082227,74.65625,"L4tg"
"99",0.2581769057,104.791666667,-0.003380523,0.06184,154.107108712,0.0759375319,19.1436016614,-78.5531539917,9.54274353876,169.13,-46,162.53,24,110,161.85,-31.9375019073,216.585,-56.15625,3.1392993255,70,"L4tg"
