"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"63",0.0411127832,126.037142857,0.1864341227,141.98,5.7699666667,4.8,-43.375,-42.2812525431,-48.8562522888,0.08262,139.66,5.76766,2.992,38.5625038147,42.1666679382,44.0312515259,114.375077188,0.0083082104,110,144.208333333,900,139.12,5.7671466667,2.572,-35.34375,-32.5208333333,-46.9562515259,169.1,5.80152,627.676,-48.4375038147,-49.9479179382,-74.3375061035,3.4161073918,3.5977578755,4.5985135023,-74.8086242676,"Rorb-IRES2-Cre",16.7570747806,7.93416906581,92.8875038147,81.9375038147,84.4479204813
"67",1,42.315,0.0509680838,74.18,3.80059,5.8183333,-44.6875038147,-42.1354192098,-48.2656281789,0.03385,69.39,3.7969733333,3.2808333,21.25,33.0000031789,39.7760423024,86.249999702,0.0111183869,230,94.9166692098,960.000061035,68.775,3.7965166667,2.9816667,-28.0937519073,-26.7291673024,-41.7864602407,84.41,3.8261833333,472.5041667,-49.6875,-50.6979192098,-71.8333384196,2.9211096496,3.1022655796,3.9133132655,-74.0055999756,"Nr5a1_Scnn1a",13.7658263198,23.6322816968,88.0416704813,65.9375038147,75.1354223887
"69",0.0584582705,74.53,0.2107579462,428.28,2.24562,5.776,-46.8437538147,-49.6250025431,-53.2812538147,0.05854,425.32,2.2427866667,3.288,35.40625,36.1458358765,38.3437522888,200.468793511,0.0824973285,70,56.0833320618,550,424.84,2.24232,2.912,-38.03125,-37.9791679382,-44.3062515259,451.66,2.2811266667,387.764,-54.2812538147,-56.1041679382,-68.8625045776,3.6975132356,3.7212710578,3.946979417,-67.3841094971,"Ctgf-T2A-dgCre",83.6099317423,13.4174158057,91.6250061035,82.2500038147,85.7708384196
"70",0.0455503957,94.072,0.2083333387,253.52,5.0158266667,5.3333333,-52.5000038147,-54.4583346049,-57.9166704814,0.05872,251.62,5.01404,3.5466667,46.5,47.8333358765,43.645837148,149.151861668,0.1280240119,150,125.33333079,580,251.18,5.0135666667,3.1533333,-34.0312538147,-36.4270858765,-44.3333346049,259.72,5.02588,63.3333333,-53.03125,-55.9270846049,-73.5625025431,2.8329930535,2.7116600364,2.661199136,-73.0108566284,"Ntsr1-Cre_GN220",11.782991498,10.6301556255,101.562507629,99.0000038147,102.291670481
"72",0.0527321787,78.8357142857,0.1568181875,82.505,4.258715,4.327,-47.9062538147,-49.1354204814,-51.2937530518,0.05146,80.78,4.2569216667,3.163,41.78125,44.8854192098,42.5937522888,153.437390924,0.0158438869,130,106.416666667,939.999938965,80.455,4.256585,2.875,-36.4062538147,-35.7916679382,-47.3062515259,909.355,4.2769616667,517.228,-50.7500038147,-53.8229204814,-78.9375030518,3.6315394591,3.398342305,3.6922526397,-78.2422027588,"Cux_Slc17",20.0088757787,12.6846063242,93.8875053406,89.6875038147,94.0208396912
"76",0.0503965892,76.6381818182,0.121361509,102.04,3.57284,5.6,-46.59375,-44.7395833333,-54.0625038147,0.05434,98.18,3.5700866667,3.25,36.375,38.7291666667,40.5156288147,202.812537551,0.062282633,130,89.25,800,97.72,3.5695866667,2.87,-32.21875,-32.4479198456,-47.0156288147,117.68,3.6033,502.88,-51.375,-54.4166704814,-78.0781288147,4.2642714544,3.7955504783,4.1365961772,-77.232673645,"Cux_Slc17",20.7574754721,13.0483262556,94.5781326294,82.96875,83.46875
"77",0.1291978713,50.5925,0.1235294036,61.785,3.6402683333,9.433,-49.6562538147,-47.9583346049,-59.5562530518,0.03008,57.925,3.63592,3.451,29.59375,33.8541692098,38.1750022888,124.062463641,0.0150359999,190,90.875,344.000024414,57.37,3.6353916667,3.016,-37.5,-35.7916679382,-49.2875015259,74.28,3.6757766667,329.609,-54.1875038147,-55.020837148,-80.4687530518,3.8895726102,3.998154499,4.7665922507,-80.3704452515,"Cux_Slc17",17.1659822889,19.7657755596,97.7312553406,79.2500038147,81.8125038147
"84",0.0490471432,78.3515,0.2499999873,113.4,3.6798416667,6.725,-49.3125038147,-51.6562512716,-56.21875,0.04684,108.615,3.6755466667,3.5875,25.15625,38.78125,38.4531259537,122.812502086,0.0203067642,230,91.9166666667,959.999938965,107.945,3.6750566667,3.11375,-38.28125,-41.0625,-54.6250009537,126.23,3.715435,727.1675,-52.8125,-59.1666666667,-80.3515625,3.7172731639,4.556972773,4.678072735,-80.4940795898,"Nr5a1_Scnn1a",17.4061718583,12.7629975176,94.6718759537,74.4687538147,90.4375012716
"87",0.0640748559,98.0666666667,0.179113936,160.315,2.34348,6.4566667,-47.5937538147,-47.0208346049,-52.9791679382,0.061335,155.715,2.3399666667,3.52,35.6250038147,40.3958346049,39.7187525431,208.906248212,0.0733392835,70,58.5,770,155.15,2.3394283333,3.0416667,-37.40625,-37.4166679382,-46.5520858765,204.55,2.3837166667,293.3183333,-53.6562538147,-55.458337148,-74.9270858765,4.1967505762,3.9828134155,3.9572650136,-72.9885177612,"Cux_Slc17",27.6165733133,10.1971447995,92.6979204813,83.2187576294,87.4166692098
"88",0.110505779,90.435,0.1218390805,176.73,2.44798,5.33125,-47.9375,-48.65625,-50.6171894073,0.05537,173.86,2.44545,3.50375,35.90625,37.53125,37.296875,186.875000596,0.0202918146,90,61.125,830,173.38,2.44498,3.09125,-33.5625,-33.6875038147,-43.09375,205.11,2.47128,802.48375,-54.40625,-55,-74.8984394073,3.1423566242,3.0306799947,3.4011178458,-75.2422332764,"Nr5a1_Scnn1a",24.2792770492,11.0576657268,87.9140644073,83.84375,86.1875
