"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"235",3.8758333,-60.2760442098,3.2158333,21.0781257947,750,2.9841667,-40.3020846049,182.5525,-73.5364608765,1.3361568026,81.3541700045,"Pvalb-IRES-Cre"
"237",4.546,-58.5312522888,3.443,20.2937511444,122,3.108,-39.0062522888,404.792,-68.4187530518,1.6921323144,78.8250034332,"Sst-IRES-Cre"
"241",4.265,-61.2968788147,3.465,21.1875009537,290,3.185,-42.4218759537,362.515,-70.476568222,1.6742627065,82.4843797684,"Nkx2-1-CreERT2"
"243",4.125,-60.53125,3.135,34.625,430,2.795,-44.625,646,-67.625,1.9587731204,95.15625,"Sst-IRES-Cre"
"248",3.797,-65.9625,3.285,32.2875007629,112,3.042,-45.2687515259,254.855,-73.9187515259,1.22354413,98.2500007629,"Gad2-IRES-Cre"
"249",4.328,-62.2250015259,3.341,17.5125007629,469.999969482,3.003,-44.2812507629,612.336,-73.2062545776,1.4542168111,79.7375022888,"Pvalb-IRES-Cre"
"252",4.229,-59.9812522888,3.447,32.4562507629,0,3.164,-44.1187538147,295.856,-69.1750045776,1.8392958598,92.4375030517,"Sst-IRES-Cre"
"253",5.602,-55.6937515259,3.464,33.7687507629,360,3.116,-43.2000015259,537.804,-73.2562530518,3.052616507,89.4625022888,"Htr3a-Cre_NO152"
"261",9.5383333,-60.3541692098,3.4816667,6.9427084923,520,3.0966667,-35.5885448456,326.1916667,-69.1302108765,2.0434335588,67.2968777021,"Htr3a-Cre_NO152"
"262",6.9266667,-56.3281275431,3.4833333,24.5104179382,770,3.0833333,-36.6562519073,501.1333333,-77.2604230245,2.3833058721,80.8385454813,"Chrna2-Cre_OE25"
"265",4.668,-55.6750022888,3.388,32.7000007629,390,3.08,-42.1687522888,32.46,-70.3875030518,2.5683675962,88.3750030517,"Ndnf-IRES2-dgCre"
"268",4.12875,-61.429690361,3.35,4.7031251192,390,3.11875,-41.882815361,629.48875,-70.0000019073,1.3103090584,66.1328154802,"Pvalb-IRES-Cre"
"269",4.045,-62.2109413147,3.345,21.0937504768,0,3.08875,-42.1250009537,346.84125,-78.9609375,1.3514324229,83.3046917915,"Pvalb-IRES-Cre"
"271",4.768,-50.9187522888,3.252,37.3312522888,360,2.852,-43.8437538147,52.296,-60.8000030518,2.8052644276,88.2500045776,"Chrna2-Cre_OE25"
"278",4.115,-61.6328134537,3.38,20.3750004768,520,3.1,-48.7031259537,826.905,-78.1250019073,1.4647669432,82.0078139305,"Pvalb-IRES-Cre"
"279",4.386,-55.4687515259,3.112,19.6562511444,600,2.723,-36.8437522888,622.853,-67.3125045776,1.747028077,75.1250026703,"Sst-IRES-Cre"
"280",3.65,-65.3187530518,3.18,21.5875003815,570,2.973,-46.2187515259,632.679,-74.0625,1.2151845334,86.9062534333,"Pvalb-IRES-Cre"
