"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"87",6.4566667,-52.9791679382,3.52,39.7187525431,770,3.0416667,-46.5520858765,293.3183333,-74.9270858765,3.9572650136,92.6979204813,"Excitatory"
"89",4.6983333,-52.9375012716,3.2066667,44.1979179382,610,2.8616667,-48.1666679382,368.025,-70.28125,3.804037551,97.1354192098,"Excitatory"
"90",4.8925,-56.380212148,3.2891667,17.6302089691,820,3.0233333,-43.4479192098,306.8966667,-69.9375025431,1.5989405595,74.0104211171,"Inhibitory"
"91",5.5125,-52.932293574,3.4708333,34.2708339691,260,3.0283333,-46.4427102407,29.555,-59.4322948456,3.0003606778,87.2031275431,"Excitatory"
"92",9.002,-64.3312515259,3.125,21.8187503815,740,2.826,-42.6312522888,455.093,-74.7562545776,2.7387084612,86.1500019074,"Inhibitory"
"93",5.206,-49.1562522888,3.385,45.0875022888,800,2.991,-44.7500022888,548.509,-74.4437561035,3.9519837346,94.2437545776,"Excitatory"
"96",4.8233333,-53.7187531789,3.2933333,39.5468762716,920,2.9666667,-48.9583346049,189.0991667,-70.9062525431,3.6303314586,93.2656294505,"Excitatory"
"97",6.1266667,-55.1979192098,3.5933333,34.5937512716,0,3.1066667,-42.8750012716,504.4666667,-79.1875050863,3.7050475115,89.7916704814,"Excitatory"
"98",5.698,-52.0937522888,3.52,39.1000015259,530,3.013,-48.7562522888,556.521,-72.9187561035,3.1924265565,91.1937538147,"Excitatory"
"99",5.2766667,-54.4010416667,3.4383333,39.8593756358,105,3.0325,-42.651043574,452.04,-80.1718762716,3.4824437894,94.2604173025,"Excitatory"
"100",7.312,-56.9812530518,2.94,27.5625011444,700,2.612,-35.4812522888,320.548,-73.2375,2.6010461662,84.5437541962,"Inhibitory"
"101",4.762,-47.3062530518,3.28,40.0437530518,568,2.93,-43.2062507629,170.634,-67.4312515259,3.4425334928,87.3500061036,"Excitatory"
"104",4.2,-62.781252861,3.43375,16.2890629768,0,3.16125,-41.6015663147,678.995,-75.1718769073,1.3465538054,79.0703158378,"Inhibitory"
"105",5.47,-50.4843759537,3.61,36.3515634537,479.999969482,3.115,-43.359375,332.735,-62.882815361,2.747995101,86.8359394074,"Inhibitory"
"106",5.255,-45.0937519073,3.3925,38.2578144073,1330,3.0275,-47.0000019073,533.97875,-78.8359413147,3.8818498907,83.3515663146,"Excitatory"
"108",5.36125,-47.515625,3.5225,31.1328129768,860,3.09875,-42.5234375,563.89,-79.5234394073,3.4866314143,78.6484379768,"Excitatory"
"109",4.3808333,-52.2656256358,3.4,38.9583346049,720,3.0758333,-45.421875,343.4375,-71.3437512716,2.1526203703,91.2239602407,"Inhibitory"
"112",4.23,-63.4531288147,3.38,32.84375,890,3.075,-45.0000019073,282.71,-74.2500038147,1.9522777167,96.2968788147,"Inhibitory"
"113",6.0533333,-48.3541704814,3.6133333,41.2500012716,1190,3.1533333,-42.0416692098,621.1466667,-75.7083384196,4.034912342,89.604171753,"Excitatory"
"114",6.52,-53.6562538147,3.48,30.6562519073,830,3.06,-41.71875,516.12,-75.2500076294,3.9064435586,84.312505722,"Excitatory"
"115",10.045,-54.5625,3.51,43.21875,0,3.04,-42.5,65.43,-64.53125,5.9495754457,97.78125,"Excitatory"
"116",5.06,-51.9437515259,3.37,33.9937507629,608,2.989,-41.4125007629,488.234,-78.3937530518,2.9673172673,85.9375022888,"Excitatory"
