"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"141",8.7565783333,-56.3229192098,8.7557116667,6.9791671435,218.875005086,8.7553466667,-31.3229179382,8.7566383333,-56.4270846049,0.9401134003,63.3020863533,"Htr3a-Cre_NO152"
"145",7.8246533333,-54.1354166667,7.823625,0.9999999901,195.583333333,7.8232216667,-28.3750012716,7.824685,-54.1875,0.9702604224,55.1354166568,"Pvalb-IRES-Cre"
"148",2.6232333333,-48.5729204814,2.6211,34.75,65.5,2.62052,-40.0520846049,2.62354,-48.7812525431,2.7267564398,83.3229204814,"Vip"
"149",9.019045,-56.9375025431,9.0152316667,35.65625,225.374989828,9.014915,-34.9895833333,9.022925,-59.7604192098,3.7980831467,92.5937525431,"Htr3a-Cre_NO152"
"150",3.57096,-52.0625038147,3.5679516667,27.9270846049,89.1666641235,3.5673866667,-32.8750012716,3.5732033333,-53.0833346049,2.4950556758,79.9895884196,"Htr3a-Cre_NO152"
"154",18.0918633333,-62.0312525431,18.0910766667,9.7187503179,452.249979655,18.090735,-38.4687525431,18.0918983333,-62.1354204814,1.1876326834,71.750002861,"Pvalb-IRES-Cre"
"157",3.61536,-44.9270846049,3.613,44.6666666667,90.2916641235,3.6125333333,-37.5312538147,3.6539,-55.708337148,3.9930017827,89.5937512716,"Chrna2-Cre_OE25"
"160",9.125285,-48.46875,9.12418,7.0625004768,228.125,9.12368,-25.0625019073,9.12537,-48.625,0.9618972522,55.5312504768,"Gad2-IRES-Cre"
"163",9.7087266667,-54.3229204814,9.707695,20.9687519073,242.666666667,9.7072883333,-28.4270839691,9.7088433333,-54.4375012716,1.3680700865,75.2916723887,"Sst-IRES-Cre"
"169",8.7775533333,-50.458337148,8.7739733333,32.9687512716,219.375,8.7735133333,-41.1250012716,8.78338,-53.5104204814,4.5496120244,83.4270884196,"Vip"
