"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"286",1.48259,-60.4843788147,1.48162,33.7031288147,36.9999990463,1.48117,-51.1562519073,1.48268,-60.5937519073,1.991970474,94.1875076294,"Inhibitory"
"288",6.0198733333,-53.0937512716,6.0188466667,15.1666676203,150.458333333,6.0184133333,-30.1770846049,6.0202,-53.4791679382,1.2632586038,68.2604188919,"Inhibitory"
"292",1.8399783333,-50.364587148,1.8381633333,31.5104179382,45.9583333333,1.8376833333,-38.645837148,1.869705,-56.1354192098,2.9297766418,81.8750050862,"Excitatory"
"305",10.743725,-52.390625,10.7430225,19.0000019073,268.5625,10.7427075,-29.1875009537,10.7438075,-52.5156269073,1.1971554892,71.3906269073,"Inhibitory"
"320",2.1233933333,-53.8958346049,2.1202666667,46.1666679382,52.9999987284,2.1198066667,-48.0104192098,2.1631466667,-60.7604192098,5.6142889851,100.062502543,"Excitatory"
"321",2.1977416667,-50.5416692098,2.1954833333,41.0520833333,54.875,2.19503,-38.3437512716,2.2280333333,-61.6458346049,2.9734735384,91.5937525431,"Excitatory"
"322",22.34902,-65.7187525431,22.3484566667,18.9791673024,558.708333333,22.348165,-37.6770858765,22.349045,-65.8020884196,1.1019941292,84.6979198455,"Inhibitory"
"323",6.2978933333,-49.8541704814,6.29612,42.6354179382,157.416666667,6.2957066667,-43.5729192098,6.35012,-55.3125038147,3.8167609837,92.4895884196,"Excitatory"
"328",1.6212733333,-58.3750038147,1.6201666667,32.1041666667,40.5,1.61964,-39.3958333333,1.6213,-58.4166679382,1.4780456159,90.4791704814,"Inhibitory"
"337",19.22113,-36.1093769073,19.21971,6.062500596,480.437484741,19.21778,-25.84375,19.24075,-40.8593769073,0.9075582695,42.1718775033,"Excitatory"
"340",6.254,-55.5312519073,6.2496,36.1093769073,156.25,6.24921,-31.4843759537,6.2596,-58.8906269073,3.8756668877,91.6406288146,"Inhibitory"
"355",6.0411383333,-54.0312512716,6.0361333333,21.4270846049,150.91666158,6.0357,-32.8229204814,6.046065,-56.5520858765,2.9488596574,75.4583358765,"Inhibitory"
"356",7.46237,-48.5625,7.45848,32.109375,186.4375,7.45799,-38.5468769073,7.4694575,-51.7812519073,3.2456711885,80.671875,"Inhibitory"
"358",1.9036175,-52.8593788147,1.9020125,51.2343769073,47.5624980927,1.90166,-41.859375,1.9322175,-54.8281288147,3.9688018999,104.093755722,"Excitatory"
"364",5.0772191667,-49.1979173024,5.0724383333,32.1562519073,126.791666667,5.0718541667,-37.6614589691,5.1021241667,-55.4114583333,3.9422567256,81.3541692097,"Excitatory"
"374",11.5086133333,-55.3125012716,11.50776,21.8750006358,287.666666667,11.5074,-32.3958339691,11.5086533333,-55.3541692098,1.3648470859,77.1875019074,"Inhibitory"
"376",2.0308533333,-43.9895858765,2.02944,43.6770846049,50.7083320618,2.0291033333,-31.541668574,2.0601083333,-51.0208346049,2.7297023183,87.6666704814,"Excitatory"
"379",2.2020466667,-45.3541692098,2.200255,32.1250012716,54.9999987284,2.1998216667,-36.2187512716,2.233675,-49.2604204814,3.0988768823,77.4791704814,"Excitatory"
"382",3.34856,-59.4166704814,3.3454,29.3958339691,83.625,3.3449,-42.5416692098,3.35402,-63.3333358765,2.9525665255,88.8125044505,"Inhibitory"
"387",3.881045,-47.7812512716,3.8790466667,30.2083346049,97,3.8786216667,-37.583337148,3.9168816667,-57.2187525431,2.9881084807,77.9895858765,"Excitatory"
"388",2.9191666667,-49.7291692098,2.9158533333,34.2604179382,72.875,2.91538,-45.364587148,2.9539266667,-57.9791704814,5.0694814263,83.989587148,"Excitatory"
