"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","tau","firing_rate","height_short","height_long","height_ramp","L_tg"
"111",0.1436420944,90.0285714286,0.2123417656,89.095,3.4797466667,5.845,-53.59375,-54.0208358765,-59.007815361,0.02079,85.695,3.4760116667,3.395,28.2812519073,34.0729166667,34.1171894073,146.874994039,0.0278807431,209.999984741,86.9166666667,390,85.14,3.4754933333,2.9775,-39.0625,-37.1979192098,-51.5468788147,103.46,3.5050716667,546.54875,-57.2812538147,-60.5833358765,-83.976568222,3.5836123272,3.7531006359,4.2220604568,-82.7248153687,16.9137772983,11.1075848937,93.1250047683,81.8750019073,88.0937525432,"L4tg"
"120",0.0100219639,44.6533333333,0.2898545691,343.4,1.3563266667,5.685,-55.90625,-55.8229204814,-57.195315361,0.03624,340.96,1.3540933333,3.595,36.125,43.6770858765,34.7812519073,238.593742251,0.020983953,29.9999980927,33.8333333333,370,340.4,1.3535866667,3.13,-42.5,-40.4166679382,-45.593752861,367.52,1.3704333333,628.18,-60.0937538147,-58.7916692098,-76.2421913147,3.1858882212,3.5655087325,3.1797087312,-76.0615768433,16.1320378919,22.3947446999,91.9765672683,92.03125,99.5000063579,"L4tg"
"121",0.0135322099,54.3470588235,0.174864863,346.6,1.6552066667,4.808,-44.03125,-43.5937512716,-52.1375030518,0.0479,344.92,1.6536933333,3.38,33.1875,37.5625012716,29.3375019073,237.500116229,0.0383980758,29.9999980927,41.3333333333,620,344.42,1.6532133333,2.972,-34.28125,-32.8750012716,-41.8687507629,394.16,1.69364,669.944,-56.875,-51.4791692098,-73.2375015259,2.5249170839,2.6729266981,2.6407572563,-69.4436645508,32.5375415666,18.4002597684,81.4750049591,77.21875,81.1562525432,"L4tg"
"123",0.0263349865,57.2909375,0.2301181056,200.605,2.88912,5.012,-48.71875,-49.6250012716,-50.2875007629,0.04043,198.545,2.8873433333,3.476,34.75,46.9791704814,41.5375015259,228.515625,0.0570130385,59.9999961853,72.1666666667,0,198.095,2.886955,3.107,-38.65625,-35.9791666667,-42.525,227.2,2.91586,398.688,-57.5625,-55.8541666667,-76.4437515259,3.2378645023,3.7619572503,3.6836727207,-75.684387207,24.3680719568,17.4547676061,91.8250022888,83.46875,96.604171753,"L4tg"
"128",1,1000,0.1594302554,82.61,1.69352,6.279,-48.3125,-48.96875,-51.2625007629,0.143365,79.275,1.689475,3.4,50.4375038147,49.5,51.9750007629,220.937460661,0.0263815299,70,42.25,650,78.825,1.68901,3.006,-36.46875,-36.375,-41.1625007629,97.655,1.71969,396.222,-53.4687538147,-55.96875,-72.8062515259,4.780396083,4.5714005453,4.752008608,-71.0636901855,21.1076413318,1,103.237501526,98.7500038147,98.46875,"L4tg"
"129",0.0881545319,94.895,0.1393833183,92.41,3.2383633333,5.786,-53.28125,-53.3125025431,-57.5625022888,0.045505,90.005,3.2359183333,3.49,33.09375,36.2604166667,32.7625019073,144.531220198,0.0557366125,170,80.875,870,89.55,3.235485,3.066,-46.34375,-41.4166679382,-53.6562530518,106.07,3.2712233333,651.767,-57.7812538147,-61.7500025431,-80.4312530518,4.0242855437,3.7474175807,3.8768130787,-79.9532012939,17.6031911815,10.5379630117,90.3250041961,86.375,89.5729192098,"L4tg"
"135",0.0170197337,45.68575,0.3029801223,137.415,1.573655,5.0416667,-44.5,-46.6041666667,-52.2968756358,0.0405,134.87,1.571625,3.485,34,42.25,37.1458346049,293.437510729,0.0731709823,59.9999961853,39.25,0,134.435,1.571235,3.1575,-33.8437538147,-33.7395846049,-42.4322929382,154.74,1.5942266667,663.4458333,-50.15625,-52.9270846049,-66.6927108765,3.4194409594,3.4866773018,3.3128618061,-64.6614532471,34.7774554418,21.8886633141,89.4427102407,78.5,88.8541666667,"L4tg"
"140",0.301099639,119.13,0.056064348,130.335,7.0837266667,6.515,-46.7812538147,-47.1354192098,-50.984375,0.057985,126.43,7.08076,3.5075,36.3125,40.1875038147,44.0468769073,82.4553444982,0.0686581209,209.999984741,177,1250,125.925,7.080235,3.0825,-36.2500038147,-35.875,-51.6875038147,598.25,7.1283966667,728.25,-52.71875,-55.0312525431,-76.7968788147,3.7814014858,3.3570391651,4.1496814524,-76.0950698853,19.962453649,8.39419121968,95.0312519073,83.0937538147,87.3229230245,"L4tg"
"149",0.0287884758,77.1545833333,0.1842519815,283.105,2.1603116667,5.555,-45,-47.9687525431,-51.3541679382,0.056655,279.59,2.15792,3.3475,20.4062519073,45.1875038147,36.8333358765,202.5000453,0.0303479787,60.0000038147,53.9583346049,335,279.005,2.1575233333,2.9766667,-38.0000038147,-37.9062525431,-44.0312512716,316.895,2.203685,609.6925,-54,-56.1979192098,-73.2968788147,3.4823686974,4.311239896,3.8087748184,-71.7186203003,26.2873860918,12.9609928121,88.1875038147,65.4062519073,93.1562563578,"L4tg"
"171",0.0296126533,85.9225,0.0940899274,261.13,2.8683933333,4.709,-50.6875038147,-49.1562538147,-52.4062538147,0.046245,259.575,2.8669066667,3.298,49.3125038147,50.1041692098,47.6000007629,186.406299472,0.1162524968,70,71.6666641235,509.999969482,259.19,2.8665083333,2.961,-38.6875,-36.4166692098,-44.3937507629,303.905,2.9110433333,117.7,-57.2812538147,-54.6666692098,-69.6937530518,3.0748480464,3.2801638172,3.3569542082,-68.4197998047,20.3774014829,11.6383950653,100.006254578,100.000007629,99.2604230245,"L4tg"
