"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","binary_neuron"
"72",0.0527321787,78.8357142857,0.1568181875,0.05146,153.437390924,0.0158438869,20.0088757787,-78.2422027588,12.6846063242,82.505,-47.9062538147,80.78,41.78125,130,80.455,-36.4062538147,909.355,-50.7500038147,3.6315394591,89.6875038147,"Excitatory"
"73",0.0021119329,8.4403418803,1.7409722222,0.00582,98.9955067635,0.0657196864,8.68457655995,-74.5770797729,118.478613092,12.08,-65.78125,11.52,14.6875009537,330,11.2,-37.5937538147,12.12,-65.9062576294,1.0852792862,80.4687509537,"Inhibitory"
"76",0.0503965892,76.6381818182,0.121361509,0.05434,202.812537551,0.062282633,20.7574754721,-77.232673645,13.0483262556,102.04,-46.59375,98.18,36.375,130,97.72,-32.21875,117.68,-51.375,4.2642714544,82.96875,"Excitatory"
"79",0.002774219,13.8646478873,0.7539651924,0.008405,135.312616825,0.0169601105,7.93224649857,-68.6992721558,72.125885066,17.09,-55.4687538147,16.07,13.03125,160,15.705,-33.40625,17.31,-55.6250038147,1.4533911611,68.5000038147,"Inhibitory"
"81",0.0333492133,50.6811111111,-0.0202702671,0.03194,338.593661785,0.0336970799,36.3642601831,-65.1880950928,19.7312169776,234.62,-51.28125,233.08,14.2812509537,29.9999980927,232.64,-42.1562538147,265.9,-54.25,2.5968482548,65.5625009537,"Inhibitory"
"83",0.4922276637,325.006666667,0.7641952507,0.013895,82.8124955297,0.0359153226,5.73907481427,-83.3805465698,3.07685996185,15.12,-67.875,14.235,4.34375,270,13.93,-47.53125,15.16,-68.03125,1.5017895171,72.21875,"Inhibitory"
"88",0.110505779,90.435,0.1218390805,0.05537,186.875000596,0.0202918146,24.2792770492,-75.2422332764,11.0576657268,176.73,-47.9375,173.86,35.90625,90,173.38,-33.5625,205.11,-54.40625,3.1423566242,83.84375,"Excitatory"
"94",1,49.28,0.0707386364,0.03072,220.156252384,0.1936496496,24.715286411,-75.2548217773,20.2922077922,67.56,-48.5,65.86,36.1562538147,70,65.42,-40.9687538147,97.84,-56.2187538147,2.8178060899,84.6562538147,"Excitatory"
"95",0.0543448402,77.4791666667,0.1738764199,0.048245,121.562540531,0.1921915859,17.6999565475,-70.8589324951,12.9066953482,155.68,-46.5625038147,153.84,44.1875,120.000007629,153.435,-43,206.765,-57.0000038147,3.7168961468,90.7500038147,"Excitatory"
"107",0.0202565352,53.3344444444,0.2278089888,0.0383,215.000107884,0.0680718347,19.4838621165,-72.8924713135,18.7496093832,261.44,-49.6562538147,258.22,38.3125038147,40,257.78,-40.53125,296.86,-57.9375038147,4.5901261618,87.9687576294,"Excitatory"
"110",-0.0023096331,24.285,1.0592179284,0.006695,101.250037551,0.0176252462,4.23919909702,-75.108543396,41.1776816965,9.815,-59.90625,8.86,-1,310,8.585,-39.5,9.835,-60.0000038147,1.5467735243,58.90625,"Inhibitory"
"111",0.0297156416,49.5855263158,0.2057377049,0.021885,267.968744039,0.1623771042,26.0993637697,-73.1547622681,20.1671752687,53.79,-50.7500038147,51.875,26.84375,50,51.38,-41.6562538147,60.365,-51.6875,2.6286820771,77.5937538147,"Excitatory"
"122",-0.0144716843,80.5479166667,0.1892064415,0.029075,132.812693715,0.0285200737,8.80442842566,-75.2428283691,12.4149703851,55.97,-49.5937538147,52.97,15.5000009537,310,52.545,-35.90625,59.165,-51.0625038147,3.1305227377,65.0937547684,"Inhibitory"
"128",1,26.98,0.0944196293,0.0253,116.56242609,0.0344483964,31.3458055123,-74.1498794556,37.0644922165,52.2,-55.7187538147,51.12,24.6250019073,249.999984741,50.76,-39.0625,52.26,-55.7812538147,1.8944433152,80.343755722,"Inhibitory"
"133",0.0059147157,15.7613541667,0.9858333333,0.009245,92.3437848687,0.054768987,7.89982199,-74.0444335938,63.4463250698,14.245,-60.59375,13.355,13.25,270,13.03,-37.5937538147,14.27,-60.75,1.4477902365,73.84375,"Inhibitory"
"134",1,353.06,0.0828719487,0.02304,80.6249976158,0.0433410928,10.696395056,-76.6868133545,2.83237976548,39.38,-45.15625,37.42,33.3750038147,469.999969482,36.82,-33.3125038147,39.56,-45.4375038147,2.3885619228,78.5312538147,"Excitatory"
"136",0.0237073068,51.0925,0.3485211407,0.0266,147.499918938,0.1379958093,14.9430428134,-74.173248291,19.5723442775,86.795,-55.8125038147,85.13,45.9687538147,90,84.665,-47.0937538147,121.42,-58.0312538147,2.6555707356,101.781257629,"Excitatory"
"151",1,1000,-3.86004028867e-19,0.0136,89.5832106471,0.1518599391,9.7215596407,-76.8494796753,1,22.4,-48.34375,20.985,34.78125,290,20.53,-40.53125,29.805,-49.1875038147,2.4712835169,83.125,"Excitatory"
"174",1,6.59,1.2544359508,0.00724,91.4062485099,0.0249765068,6.41411470808,-74.9956359863,151.745068285,10.905,-59.2812538147,10.32,14.5625009537,330,10.065,-37.65625,10.925,-59.3750038147,1.2114172389,73.8437547684,"Inhibitory"
"175",0.0148346836,66.7942857143,0.1880999158,0.04922,188.90632689,0.0176209826,30.6946340788,-75.0912857056,14.9713405766,134.76,-51.5000038147,132.44,44.7812538147,70,132.04,-39.09375,151.28,-58.0937538147,3.8918089684,96.2812576294,"Excitatory"
"179",0.0522637766,124.382142857,0.0959208319,0.06746,96.4062511921,0.1284628212,15.7911016595,-77.0904159546,8.03973928274,199.805,-45.6875,197.015,42.90625,200,196.545,-36.75,255.02,-55.8750038147,3.5949752774,88.59375,"Excitatory"
"181",0.2610853812,199.75,0.1329749232,0.059995,156.875044107,0.0385764726,19.0657315164,-80.403678894,5.00625782228,212.035,-52.09375,209.02,45,110,208.58,-44.1875,873.33,-61.5,4.586706002,97.09375,"Excitatory"
"186",0.2519843334,23.65,0.3839149022,0.0208,340.624958277,0.0928596333,23.755904472,-71.0309524536,42.2832980973,48.24,-59.7812538147,47.06,25,50,46.48,-46.75,48.28,-59.8125,1.6251155415,84.7812538147,"Inhibitory"
"190",0.0690320929,95.628,0.1322485217,0.038815,90.156249702,0.1762121171,15.4935912138,-71.9120330811,10.4571882712,194.5,-43.1875038147,192.11,45,160,191.72,-40.6250038147,247.68,-55.5000038147,4.4891410803,88.1875038147,"Excitatory"
"192",0.2510615424,140.15,0.1743303571,0.01648,153.281241655,0.0320168957,10.4043408288,-70.6198348999,7.13521227257,55.16,-60.5625038147,54.14,18.1875,90,53.8,-47.7187538147,55.32,-60.7187538147,1.9411185053,78.7500038147,"Inhibitory"
"195",0.0629883953,84.175,0.1113235431,0.04478,150.468751788,0.0196336731,17.2733130739,-75.2881317139,11.88001188,130.56,-47.53125,127.72,38.4062538147,130,127.3,-33.8437538147,145.7,-54.875,3.8019869287,85.9375038147,"Excitatory"
"204",-0.003719553,45.859,0.2743009089,0.07866,194.375008345,0.0493998341,9.0625842235,-68.5249328613,21.8059704747,999.02,-50.2812538147,997.52,37.5,100,997.16,-32.375,999.84,-50.9375038147,2.4590675468,87.7812538147,"Inhibitory"
"213",0.0014884133,23.140952381,0.7344488908,0.024905,165.803566575,0.1147125438,10.870978931,-73.2946472168,43.2134332043,54.665,-59.7812538147,53.57,32.875,120.000007629,53.165,-32.3125,54.725,-59.9375038147,1.5006118034,92.6562538147,"Inhibitory"
"223",0.0295126626,11.2783333333,1.4045454545,0.00745,138.794541359,0.080078952,6.19456609912,-75.6486053467,88.6655829765,14.73,-61.4687538147,14.01,16.3750019073,270,13.7,-35.03125,14.825,-61.6250038147,1.1854364033,77.843755722,"Inhibitory"
"224",0.0086449434,57.665,0.2343750099,0.05036,188.593819737,0.0488955341,20.5036844997,-74.1413345337,17.3415416631,116.02,-48.3750038147,113.68,36.1562538147,130,113.22,-37.6875038147,125.24,-55.03125,3.8410125729,84.5312576294,"Excitatory"
"229",0.0116282761,95.6244444444,0.1541403808,0.07504,193.281367421,0.0975460112,30.1351968105,-65.6994934082,10.4575770956,211.895,-46.9375038147,209.2,46.34375,50,208.82,-36.75,250.865,-57.0000038147,3.9711315285,93.2812538147,"Excitatory"
"231",0.2077250898,141.385833333,0.115174903,0.045985,175.000041723,0.0361807421,22.9385790753,-78.5516433716,7.07284440332,98.52,-51.7812538147,96.35,46.65625,90,96.005,-42.5,122.19,-57.8125038147,4.311725613,98.4375038147,"Excitatory"
"232",0.0003372655,11.1551136364,1.0428574659,0.00721,103.75007242,0.0313009657,7.83297565726,-81.0082778931,89.6449854833,10.645,-60.65625,9.71,11.15625,370,9.36,-42.5625,10.705,-60.7187538147,1.5456150204,71.8125,"Inhibitory"
"236",0.0226394565,59.69,0.1961538462,0.038845,278.794765472,0.098568581,28.8238727566,-74.1093292236,16.7532249958,514.2,-55.28125,509.98,44.3125,70,509.43,-36.5625038147,524.1,-58.84375,4.3148191256,99.59375,"Excitatory"
"237",0.0216371646,65.4735714286,0.3149590164,0.041475,218.281373382,0.0656530336,26.0869580361,-67.5254211426,15.2733382062,90.57,-56.4375038147,89.3,22.4375019073,90,88.865,-36.7187538147,90.625,-56.5312538147,1.8012681497,78.875005722,"Inhibitory"
"247",0.0320481523,63.9953571429,0.1529762016,0.05055,155.781254172,0.0507714227,21.0263990318,-81.7539978027,15.6261335923,105.425,-49.34375,103.485,34,110,103.06,-36.1562538147,119.325,-53.6875,3.0544488474,83.34375,"Excitatory"
"251",0.0314171806,80.3122727273,0.1495290716,0.046135,146.093830466,0.0842964947,13.7048037855,-73.2192153931,12.4513971033,77.85,-44.3750038147,75.845,30.0937519073,190,75.375,-32.2500038147,90.815,-45.53125,2.354592213,74.468755722,"Excitatory"
"252",0.0314091637,49.9816666667,0.3716279231,0.028085,210.781291127,0.0397304669,18.9936319837,-68.2111053467,20.0073360232,168.895,-58.46875,168.025,27.6562519073,60.0000038147,167.705,-43.5937538147,168.945,-58.6562538147,1.8426534344,86.1250019073,"Inhibitory"
"260",0.0214200304,70.8525,0.1920250714,0.057935,115.468673408,0.1227882802,13.6680116419,-75.9193191528,14.113828023,116.395,-48.34375,114.24,44.8125,209.999984741,113.805,-33.34375,127.955,-48.96875,2.8098324976,93.15625,"Excitatory"
"261",0.0074741299,50.3344736842,0.2528073355,0.04162,164.687544107,0.0049031326,9.51005286191,-68.8334197998,19.8670995603,314.935,-45.4375038147,311.42,6.5,140,310.735,-29.6875019073,317.49,-46.34375,2.6980982247,51.9375038147,"Inhibitory"
"271",0.0720733276,95.882,0.1913043478,0.03456,197.656199336,0.0450279005,19.5013715902,-59.7773742676,10.4294862435,92.38,-47.5000038147,89.92,39.2187538147,70,89.44,-35.8437538147,108.16,-53.9687538147,3.0205568054,86.7187576294,"Inhibitory"
"278",0.0148176212,108.524444444,1.1752731289,0.01648,114.374995232,0.0562333465,8.3099082329,-77.639793396,9.2145138832,116.96,-61.5937538147,116.26,14.3437509537,200,115.94,-40.7187538147,117.06,-61.7187538147,1.2076858266,75.9375047684,"Inhibitory"
"282",0.0083101744,40.6706521739,0.555,0.03868,242.1875,0.190551132,17.1111665266,-72.1569137573,24.5877542294,135.185,-51.1562538147,134.185,7.8125,70,133.855,-33.9375038147,135.28,-51.28125,1.539658809,58.9687538147,"Inhibitory"
"286",0.0240650778,29.9925,0.5245535714,0.02184,230.468943715,0.0809965506,18.1274680274,-71.9615402222,33.3416687505,51.92,-61.5937538147,50.94,29.4062519073,50,50.56,-44.4375,52,-61.65625,1.9454791285,91.000005722,"Inhibitory"
"288",-7.72783694761e-05,10.1684536082,1.257439807,0.00494,174.375116825,0.0130160386,14.2476171262,-65.881477356,98.3433704407,8.34,-56.625,7.4,16.5625019073,160,7.02,-45.8437538147,8.42,-56.6875038147,1.5080636664,73.1875019073,"Inhibitory"
"292",1,65.62,0.2240020881,0.04954,269.374966621,0.0405708998,14.2527423087,-76.3499221802,15.2392563243,164.165,-49.7187538147,161.995,26.5312519073,70,161.475,-38.1562538147,863.505,-57.90625,2.7706464728,76.250005722,"Excitatory"
"305",0.0006425881,12.5075,1.1567885117,0.01187,65.6249970198,0.0965977758,4.12168918959,-72.0429763794,79.9520287827,252.425,-55.6875038147,251.71,14.8437509537,290,251.39,-31.7812519073,252.54,-55.875,1.1626183569,70.5312547684,"Inhibitory"
"320",0.0166821998,60.035,0.2462915601,0.03694,241.562604904,0.030267382,23.6371235315,-76.6850128174,16.6569501124,241.38,-55.5000038147,238.42,44.28125,40,237.96,-49.8125038147,310.28,-63.5937538147,5.344802578,99.7812538147,"Excitatory"
"321",0.0095086921,64.9457142857,0.2125,0.031335,192.18750298,0.222719267,17.0229095006,-78.7448654175,15.3974748141,135.165,-54.21875,132.33,30.46875,50,131.85,-41.40625,163.585,-65.0000076294,2.7644424544,84.6875,"Excitatory"
"322",0.005342524,15.3210714286,1.0516732283,0.13388,36.562461406,0.0477078333,4.5911780595,-77.0860366821,65.2695867035,631.235,-66.8437576294,630.615,7.1562504768,620,630.275,-35.1250038147,631.26,-66.9687576294,0.8627261095,74.0000081062,"Inhibitory"
"323",0.0084821108,71.6784615385,0.1705708704,0.05194,108.593635261,0.1551139355,17.5729806951,-75.1248931885,13.9511922903,167.54,-48.4687538147,165.54,31.34375,140,165.04,-42.4687538147,221.28,-57.5625038147,3.128037125,79.8125038147,"Excitatory"
"328",0.2641601555,19.89,0.1625,0.0227,345.132231712,0.1095933169,28.6848842198,-75.5577392578,50.2765208648,51.86,-60.1562538147,50.78,30.5937519073,50,50.26,-43.8125038147,51.88,-60.1875038147,1.5008909647,90.750005722,"Inhibitory"
"337",1,1000,0.0150371908,0.0216,77.8125375509,0.0249022879,11.2372094415,-72.8597488403,1,35.7,-41.9062538147,34.08,25,410,33.38,-27.8437519073,782.22,-42.8750038147,1.7168803693,66.9062538147,"Excitatory"
"340",-0.0243319202,71.3454545455,0.174385243,0.17346,145.468786359,0.0182432402,9.95093132942,-73.6837921143,14.0163098879,956.9,-52.5000038147,952.9,36.78125,190,952.5,-28.4062519073,961.16,-55.6250038147,4.0604983058,89.2812538147,"Inhibitory"
"355",-0.014975288,59.9146666667,0.1848214298,0.053835,143.437504768,0.0068384102,9.1886400175,-69.0822906494,16.6904041303,527.145,-54.2812538147,521.885,14.3125009537,170,521.405,-34.5625038147,532.175,-56.2812538147,2.9613584289,68.5937547684,"Inhibitory"
"356",0.0131235671,60.1221875,0.2699356861,0.02422,112.187504768,0.0678921714,6.83821743391,-70.7862167358,16.6327946733,63.365,-46.6250038147,61.35,28.9062519073,190,60.92,-39.6875038147,71.605,-50.8125,3.0218314261,75.531255722,"Inhibitory"
"358",0.0120808067,56.1767647059,0.3151515243,0.04458,215.468749404,0.0110207871,28.0103153747,-69.870262146,17.8009539217,334.1,-53.90625,332.535,47.9062538147,50,332.175,-44.34375,365.405,-56.4062538147,3.5514756365,101.812503815,"Excitatory"
"364",0.0223981015,85.0245454545,0.1029761956,0.058865,139.687538147,0.029876072,27.6047277572,-63.8380661011,11.7613095684,116.185,-48.875,111.975,31.6875019073,130,111.395,-38.28125,128.295,-52.15625,3.987668409,80.5625019073,"Excitatory"
"374",0.0058944724,20.5372093023,0.7556397977,0.07264,95.3126102686,0.0731262863,6.58957217026,-72.6440582275,48.6921073492,185.58,-54.40625,184.8,23.3125019073,320,184.44,-32.1875038147,185.62,-54.5000038147,1.3748661532,77.7187519073,"Inhibitory"
"376",0.0607535815,86.076,0.2370575265,0.061395,163.671776652,0.0431517996,25.1373961283,-64.7870788574,11.6176402249,231.505,-41.78125,230.055,43,50,229.71,-30.0625019073,272.135,-51.6250038147,2.6390771885,84.78125,"Excitatory"
"379",0.0170265693,43.8488095238,0.3488888889,0.05157,208.281219006,0.0155193536,28.8058511449,-74.9811172485,22.8056362501,148.905,-46.0625038147,146.515,20.0625,50,146.04,-40.8125038147,163.38,-50.2187538147,2.9583214852,66.1250038147,"Excitatory"
"382",-0.040384345,82.09,0.1959383754,0.11906,219.062536955,0.0861993805,14.4204689243,-68.8199691772,12.1817517359,854.96,-58.8750038147,851.94,27.3125,90,851.46,-38.1875,859.68,-62.3437538147,3.0788398709,86.1875038147,"Inhibitory"
"387",0.0421622045,79.6509090909,0.2283898305,0.07392,157.343789935,0.0458727479,23.6166024499,-81.4509658813,12.5547845142,242.9,-49.4062538147,241.06,25.0937519073,70,240.63,-40.03125,299.22,-61.7187538147,2.993885291,74.500005722,"Excitatory"
"388",0.0122806423,95.6577777778,0.17,0.0905,149.999842048,0.0183797535,18.8218352121,-68.3788757324,10.4539330019,404.9,-47.3125,400.5,21.8750019073,70,399.92,-42.3750038147,438.66,-56,5.0764777347,69.1875019073,"Excitatory"
"392",0.0156101257,58.4721875,0.3819827586,0.041995,240.781292319,0.1169808283,26.9092326635,-64.784072876,17.1021479229,203.79,-58.5937538147,202.745,46.40625,50,202.29,-37.65625,203.825,-58.78125,1.751767367,105.000003815,"Inhibitory"
"394",0.0216389675,49.4978947368,0.3713122172,0.03878,341.718673706,0.0355428122,31.5699096242,-74.6933822632,20.202879442,148.12,-58.6562538147,146.44,34.6562538147,70,145.9,-38.8125038147,148.3,-58.8437538147,2.2415248463,93.3125076294,"Inhibitory"
"403",0.0017407936,13.7625,0.6646874812,0.035345,95.9821417928,0.0352624357,11.5881878613,-75.1253509521,72.6612170754,138.13,-58.6562538147,137.175,8.75,209.999984741,136.82,-33.34375,138.345,-58.9375,1.1604599878,67.4062538147,"Inhibitory"
"415",0.0305429515,79.7181818182,0.1680803592,0.0668,126.71867013,0.043594446,13.9309004979,-76.2541275024,12.5441897594,684.36,-46.96875,678.88,45.53125,170,678.38,-37,700.12,-52.25,5.371530788,92.5,"Excitatory"
"419",0.0292641029,73.74,0.1895019157,0.05546,123.906247318,0.1195352152,15.3103857262,-79.6576766968,13.5611608354,202.54,-44.96875,200.26,37.90625,80,199.8,-33.40625,253.46,-59.0000038147,3.3847802659,82.875,"Excitatory"
"430",1,1000,0.0077054801,0.01082,167.343825102,0.0316576511,13.0020286468,-68.0115432739,1,25.92,-48.03125,24.06,32,130,23.66,-37.3125,30.38,-49.9062538147,3.3008975325,80.03125,"Inhibitory"
"440",0.0035474262,11.9491566265,1.1672134046,0.005695,99.0623831749,0.0307512935,6.14426333748,-76.7705001831,83.6879146585,12.35,-76.84375,11.775,17,220,11.445,-53.1562538147,12.41,-76.96875,1.0530657376,93.84375,"Inhibitory"
"444",0.0267317212,94.2335,0.1642857143,0.056125,166.250005364,0.1662214994,23.1827548874,-69.4028549194,10.6119373683,177.855,-47.75,176.355,43.9375,70,175.93,-36.84375,217.065,-57.2812538147,2.9741942344,91.6875,"Excitatory"
"452",0.033857391,77.5333333333,0.1910714286,0.02036,289.531320333,0.0597299822,33.5337710894,-62.7012290955,12.8976784179,71.9,-49.6875,69.64,42.0625038147,50,69.08,-36.6875,96.42,-54.0312538147,2.7497632472,91.7500038147,"Inhibitory"
"454",0.0273124145,102.0725,0.1174999998,0.07214,76.4062851667,0.0527104288,12.7815539149,-79.4310836792,9.79695804453,171.22,-46.8437538147,168.92,49.7187538147,210,168.48,-38.78125,196.96,-54.15625,3.9403996277,96.5625076294,"Excitatory"
"464",0.0108185852,28.9274242424,0.317825384,0.02431,292.812526226,0.1566208154,27.3409382367,-69.3377838135,34.5692721073,98.78,-58.15625,97.885,34.0625,40,97.455,-42.5625038147,98.78,-58.15625,1.4738049047,92.21875,"Inhibitory"
"473",0.0540873886,76.2683333333,0.2117424154,0.031835,125.000193715,0.1410330683,12.6728764575,-75.3490219116,13.1116015821,58.175,-51.0312538147,56.345,43.8437538147,209.999984741,55.92,-34.875,58.535,-51.3125038147,2.792200772,94.8750076294,"Excitatory"
"474",0.1227994256,127.0975,0.0742187545,0.056675,162.343755364,0.0750596449,20.2702571347,-72.1620178223,7.86797537324,163.94,-43.5000038147,159.605,40.375,150,159.155,-29.1875,193.53,-52.6875038147,3.6789367382,83.8750038147,"Excitatory"
"475",0.0329465395,53.7814705882,0.2715323434,0.051805,193.437546492,0.0190457106,20.7416789841,-80.5246505737,18.5937645264,325.04,-54.9687538147,323.025,40.0625038147,80,322.595,-40.7812538147,356.505,-56.46875,3.3696612774,95.0312576294,"Excitatory"
"481",0.0239902802,68.4515384615,0.1756286253,0.060385,150.624990463,0.0503459089,22.8166202229,-72.6047592163,14.6088754537,418.16,-46.5,415.68,41.40625,59.9999961853,415.225,-38.59375,508.61,-58.0937538147,3.5026686266,87.90625,"Excitatory"
"493",0.0687944492,121.9,0.2524647887,0.02302,320.468693972,0.0631639063,29.3872915644,-61.775352478,8.20344544709,83.46,-45.0312538147,80.62,25.25,50,80.02,-32.9687538147,104.86,-49.7500038147,2.6689114269,70.2812538147,"Inhibitory"
"495",0.0565058244,10.1333333333,0.8923657867,0.008735,114.531256259,0.0726962611,6.26897167991,-75.6578292847,98.6842105266,15.22,-62.6250076294,14.595,22.1875019073,220,14.315,-38.78125,15.26,-62.8437538147,1.2402457076,84.8125095367,"Inhibitory"
"499",0.0032079635,50.3721052632,0.2103449072,0.025115,98.3444213867,0.1928599477,13.6589096926,-68.2019271851,19.8522574106,57.15,-51.9687538147,55.75,23.5937519073,150,55.295,-43.78125,87.37,-55.7187538147,2.0943282172,75.562505722,"Excitatory"
"500",0.1436420944,90.0285714286,0.2123417656,0.02079,146.874994039,0.0278807431,16.9137772983,-82.7248153687,11.1075848937,89.095,-53.59375,85.695,28.2812519073,209.999984741,85.14,-39.0625,103.46,-57.2812538147,3.5836123272,81.8750019073,"Excitatory"
"506",0.0119547826,61.5613333333,0.2043307032,0.023205,102.812580764,0.0073182927,10.0848246139,-70.6090240479,16.2439626606,73.635,-48.7812538147,71.05,26.875,200,70.66,-34.5625038147,79.485,-51.7812538147,3.9003909039,75.6562538147,"Inhibitory"
"510",1,1000,0.0142857217,0.07963,88.4374603629,0.0902357399,18.808327605,-79.6286087036,1,126.41,-48.1562538147,118.785,21.1562519073,410,117.935,-32.8125038147,155.75,-51.7500038147,3.0574027285,69.312505722,"Excitatory"
"521",0.2278132432,79.89,0.0670785097,0.03829,108.437538147,0.0948032439,12.379894935,-72.2610549927,12.5172111654,79.515,-46.96875,76.31,40.4375,209.999984741,75.89,-37.6250038147,105.6,-53.5625038147,4.2140501194,87.40625,"Excitatory"
"523",-0.0131560784,88.5375,0.1654017658,0.089955,119.374960661,0.0418769866,5.87477409923,-76.1159591675,11.29464916,813.77,-49,808.575,25.6875,209.999984741,808.145,-31.6250019073,820.62,-52.3750038147,3.3468906987,74.6875,"Inhibitory"
"531",0.0674525337,92.256,0.1741641329,0.03648,305.937498808,0.0182690695,62.5643982931,-61.8339958191,10.8394033992,244.84,-50.0312538147,243.26,35.40625,29.9999980927,242.76,-38.125,268.42,-52.875,3.0127907881,85.4375038147,"Excitatory"
"533",0.0179312507,69.5984615385,0.2283333333,0.05622,268.415033817,0.1223601103,28.8296120731,-75.5874557495,14.3681336899,205.14,-52.0625038147,201.58,31.4687519073,50,201,-43.40625,237.78,-57.4687538147,3.6220409409,83.531255722,"Excitatory"
"541",0.1387779555,119.192142857,0.1377540437,0.043765,104.843787849,0.037169531,19.1187489981,-74.8752670288,8.38981476488,105.735,-47.21875,102.12,24.1562519073,230,101.565,-41.09375,551.73,-52.5625,3.5933688452,71.3750019073,"Excitatory"
"542",1,15.8,0.0241071428,0.01918,128.124922514,0.0273503903,11.2996947999,-75.439125061,63.2911392405,50.56,-62.4375038147,49.58,36.0937538147,210,49.22,-46.1875,50.6,-62.5625038147,1.9605306038,98.5312576294,"Inhibitory"
