"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"560",8.988,-65.3312530518,3.448,21.8000007629,989.999938965,3.096,-43.5562522888,330.528,-79.6812530518,2.3214358303,87.1312538147,"Vip"
"582",4.3133333,-63.0416692098,3.4866667,35.052087148,610,3.14,-47.5104192098,609.9966667,-75.5208409627,1.6631779408,98.0937563578,"Sst-IRES-Cre"
"603",3.659,-65.8500045776,3.142,18.6625007629,608,2.906,-50.6562522888,283.387,-76.8500030518,1.2449537015,84.5125053405,"Pvalb-IRES-Cre"
"610",3.586,-65.2437515259,2.889,16.9625007629,509.999969482,2.624,-47.0750030518,397.368,-76.7500030518,1.2837575142,82.2062522888,"Pvalb-IRES-Cre"
"617",3.775,-60.851565361,3.20625,24.2812519073,585,2.99125,-43.6875019073,289.2575,-78.7187538147,1.3847579099,85.1328172683,"Htr3a-Cre_NO152"
"625",3.817,-63.3437530518,3.147,9.1812503815,640,2.92,-43.9562515259,638.815,-75.7937530518,1.3432428428,72.5250034333,"Pvalb-IRES-Cre"
"637",3.817,-60.2125038147,3.215,33.0812515259,480,2.965,-44.9187515259,215.076,-73.6625015259,1.4380547613,93.2937553406,"Pvalb-IRES-Cre"
"640",3.97,-65.5875,3.254,36.225,580,2.935,-45.9562507629,554.44,-72.3187515259,1.4296709005,101.8125,"Sst-IRES-Cre"
"644",4.631,-64.19375,3.521,31.0187519073,610,3.179,-48.0187522888,353.265,-74.2125045776,2.0667682609,95.2125019073,"Sst-IRES-Cre"
"654",3.8675,-61.8593775431,3.2133333,15.5781259537,540,2.9808333,-46.6458365122,330.0041667,-73.0885480245,1.4057880556,77.4375034968,"Pvalb-IRES-Cre"
"661",4.098,-54.8625015259,3.294,30.01875,220,3.014,-36.48125,357.402,-68.525,1.5878005789,84.8812515259,"Pvalb-IRES-Cre"
"673",3.9875,-63.6093762716,3.275,24.7500009537,156.666656494,3.0108333,-44.6927096049,666.1066667,-75.4010454814,1.3366083477,88.3593772253,"Pvalb-IRES-Cre"
"676",4.3625,-59.328127861,3.4225,24.6406259537,450,3.12125,-44.2187519073,479.925,-68.1250038147,1.7984025878,83.9687538147,"Htr3a-Cre_NO152"
"692",3.974,-61.8000030518,3.204,24.9875007629,680,2.945,-43.4312538147,551.29,-74.9250015259,1.5828489081,86.7875038147,"Pvalb-IRES-Cre"
"696",4.4616667,-56.4895846049,3.295,28.8125019073,93.3333333333,2.845,-47.208337148,635.1366667,-65.3020858765,2.0686880422,85.3020865122,"Sst-IRES-Cre"
"706",8.3083333,-63.6718762716,3.3075,15.630209287,660,2.98,-43.942712148,388.3158333,-71.6875038147,2.5093550185,79.3020855586,"Htr3a-Cre_NO152"
"711",4.38,-51.187502861,3.19,40.9531269073,489.999969482,2.85,-40.1953144073,650.4,-69.3750019073,3.1152520669,92.1406297683,"Htr3a-Cre_NO152"
"733",3.435,-65.4937561035,2.82,28.8750007629,260,2.55,-41.1937538147,3.473,-65.6187545776,1.1906092108,94.3687568664,"Pvalb-IRES-Cre"
"783",5.636,-55.4250022888,3.328,30.1125015259,570,2.964,-41.2500030518,183.1,-73.0375045776,2.4919417308,85.5375038147,"Ndnf-IRES2-dgCre"
"797",3.86125,-63.2187519073,3.29625,17.5312504768,115,3.025,-53.242190361,641.02375,-73.5703125,1.2510517287,80.7500023841,"Pvalb-IRES-Cre"
"801",5.78,-56.9375038147,3.25,33.0781269073,239.999984741,2.87,-43.1718769073,684.08,-65.2343788147,3.3017953836,90.015630722,"Vip"
"808",4.665,-55.0468788147,3.4,30.1718759537,260,3.065,-44.8750019073,390.71,-69.0078163147,2.4669031153,85.2187547684,"Chrna2-Cre_OE25"
"810",4.096,-66.0250015259,3.329,14.7937505722,88,3.079,-45.40625,416.932,-72.1000030518,1.4297069586,80.8187520981,"Pvalb-IRES-Cre"
"814",4.425,-60.9218769073,3.4125,32.6406269073,390,3.06,-46.1875,423.1425,-71.0468788147,1.9602994483,93.5625038146,"Htr3a-Cre_NO152"
"817",4.5433333,-59.9635442098,3.4633333,28.5625012716,340,3.01,-44.7604192098,537.0833333,-61.5625025431,1.7130475914,88.5260454814,"Chrna2-Cre_OE25"
"818",4.122,-61.5625022888,3.348,42.5375015259,0,3.051,-44.9562515259,322.44,-70.9875045776,1.7491461187,104.100003815,"Sst-IRES-Cre"
"831",5.339,-56.3375022888,3.422,28.9375007629,62,3.057,-42.8062507629,738.916,-65.5812530518,2.9572227743,85.2750030517,"Htr3a-Cre_NO152"
"835",4.884,-61.4625030518,3.5,38.7312507629,400,3.052,-44.3687507629,599.344,-67.3750030518,2.3265251738,100.193753815,"Sst-IRES-Cre"
"882",4.2116667,-60.2187512716,3.3208333,34.6718762716,650,2.9958333,-45.6406256358,510.6041667,-78.5364646912,1.9574085769,94.8906275432,"Sst-IRES-Cre"
"892",7.056,-59.5125022888,3.384,31.2312515259,660,3.048,-39.1687515259,165.696,-76.0437530518,2.7155627201,90.7437538147,"Ndnf-IRES2-dgCre"
"897",6.8216667,-66.3541666667,3.345,15.28125,353.333333333,3.0266667,-44.4791666667,366.0533333,-78.1875,1.6712375294,81.6354166667,"Pvalb-IRES-Cre"
"900",4.25875,-60.7500009537,3.20875,33.5390625,360,2.75625,-42.9375,594.79875,-66.4921875,1.6068499239,94.2890634537,"Gad2-IRES-Cre"
"912",20.6914286,-50.1026812962,19.54,21.1696436746,509.999969482,19.0914286,-40.2098230634,20.78,-50.1741098676,1.8217883341,71.2723249708,"Chrna2-Cre_OE25"
"916",4.225,-65.35,3.392,41.1687515259,0,3.074,-49.6500015259,494.132,-74.2687530518,1.8086359928,106.518751526,"Sst-IRES-Cre"
"922",4.092,-60.1812515259,3.329,35.8,270,3.077,-43.83125,561.836,-72.0437515259,1.868384341,95.9812515259,"Htr3a-Cre_NO152"
