"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","L_tg"
"134",5.62589,-48.2343788147,5.624305,40.3437538147,140.625,5.623955,-33.90625,5.6382775,-55.4062519073,3.3296906949,88.5781326294,"L4tg"
"136",3.9327066667,-45.0416666667,3.9304066667,42.1979192098,98.25,3.9299466667,-27.760418574,3.9519933333,-52.6562538147,3.1172680305,87.2395858765,"L4tg"
"137",3.1135283333,-47.7500038147,3.11109,38.2708333333,77.7916666667,3.11069,-37.5000012716,3.167365,-55.4687512716,3.9932875612,86.020837148,"L4tg"
"138",3.9841166667,-50.0104204814,3.98249,49.5208358765,99.5833307902,3.982145,-35.0312512716,4.0186916667,-55.1458358765,3.7392970257,99.5312563579,"L4tg"
"139",2.4566366667,-52.5104179382,2.4549783333,34.7291666667,61.3750012716,2.4544766667,-40.1562512716,2.4819,-55.0416679382,2.5458480682,87.2395846049,"L4tg"
"141",3.2451333333,-46.5104166667,3.2426866667,48.4479179382,81.0833333333,3.2423283333,-34.9166679382,3.281485,-55.2500038147,4.7020426441,94.9583346049,"L4tg"
"142",4.43626,-47.1875025431,4.4330666667,42.8333346049,110.791666667,4.4325533333,-33.1562512716,4.4525333333,-54.989587148,3.7667513992,90.020837148,"L4tg"
"143",2.8162033333,-53.1145846049,2.8149183333,36.9375038147,70.375,2.81452,-43.4166692098,2.84451,-55.8750025431,2.640355348,90.0520884196,"L4tg"
"144",1.50931125,-50.539065361,1.507525,36.0703134537,37.65625,1.50710125,-37.0312519073,1.53952375,-54.8281259537,3.0944151965,86.6093788147,"L4tg"
"145",5.4788333333,-51.927087148,5.477,37.7500025431,136.958333333,5.4765466667,-38.7708346049,5.49602,-57.1041704814,3.2919264931,89.6770896911,"L4tg"
"146",3.2953016667,-45.2187512716,3.2903116667,43.6666679382,82.25,3.2897683333,-35.9583358765,3.3499183333,-53.8750012716,4.8851031864,88.8854192098,"L4tg"
"147",4.6687633333,-47.7812512716,4.6651633333,44.6250025431,116.625,4.6647633333,-34.0208333333,4.7108216667,-59.4583346049,4.2825507705,92.4062538147,"L4tg"
"148",2.4150383333,-48.2083333333,2.4126983333,48.5208358765,60.2916615804,2.4123383333,-34.9687512716,2.4409016667,-54.0625025431,4.0672399779,96.7291692098,"L4tg"
"150",2.306985,-50.7916692098,2.304785,45.0520846049,57.625,2.3042766667,-36.6041679382,2.3211383333,-53.7708358765,3.5005414111,95.8437538147,"L4tg"
"151",2.1811183333,-50.3645858765,2.179065,35.125,54.5,2.1785366667,-37.9166666667,2.2174266667,-57.8854204814,2.6017083967,85.4895858765,"L4tg"
"152",1.760485,-51.2083358765,1.758125,41.7291679382,43.9583333333,1.7576966667,-38.0625,1.7834633333,-55.4687512716,3.6234760907,92.9375038147,"L4tg"
"153",3.4914575,-50.3750038147,3.488445,47.3125038147,87.1875,3.487975,-32.578125,3.50731,-54.7031269073,4.2232945368,97.6875076294,"L4tg"
"154",4.785325,-45.1979192098,4.7831533333,38.6979179382,119.583323161,4.7827916667,-35.8958346049,4.81725,-55.6562538147,3.171764043,83.895837148,"L4tg"
"155",0.6948733333,-49.989587148,0.6926133333,35.6041692098,17.2916666667,0.6921333333,-38.8437525431,0.7214266667,-55.7291666667,3.4117736245,85.5937563578,"L4tg"
"156",3.3667233333,-49.4687538147,3.3644716667,49.9166692098,84.1249974569,3.3640666667,-40.9791704814,3.4005166667,-54.2083358765,4.1245886729,99.3854230245,"L4tg"
"157",13.1538366667,-47.8333333333,13.1507316667,16.552084287,328.75,13.1499366667,-31.0208358765,13.1603166667,-50.6979204814,1.5382593579,64.3854176203,"L4tg"
"158",1.3437125,-49.4062538147,1.3420925,42.671875,33.4999990463,1.341655,-36.609375,1.3748725,-52.0625019073,3.226972535,92.0781288147,"L4tg"
"159",2.5459833333,-51.4791704814,2.54403,37.1770846049,63.5833295186,2.543605,-37.3541666667,2.5731066667,-58.833337148,2.7215900509,88.6562550863,"L4tg"
"160",4.3387866667,-46.958337148,4.3360066667,40.8958358765,108.374997457,4.33558,-38.1458358765,4.3902466667,-57.552087148,3.9979121255,87.8541730245,"L4tg"
"161",2.96959,-46.6562538147,2.96784,44.8281288147,74.1875,2.96742,-40.171875,2.96985,-46.8281269073,3.9070485345,91.4843826294,"L4tg"
"162",3.3849766667,-41.8750025431,3.382915,46.3854204814,84.5833333333,3.3824383333,-29.2083346049,3.4307216667,-52.1666692098,3.3123765392,88.2604230245,"L4tg"
"163",3.1697425,-46.0156288147,3.16748,44.6250019073,79.1875,3.167065,-37.2968769073,3.2133575,-55.015625,3.7883495047,90.640630722,"L4tg"
"164",4.6081966667,-49.0416692098,4.6051433333,39.71875,115.124997457,4.6047416667,-34.6875,4.6313666667,-56.6666692098,3.2935162974,88.7604192098,"L4tg"
"165",6.4286416667,-43.3229179382,6.42572,37.9062512716,160.583333333,6.425185,-31.4895852407,6.4642983333,-52.677087148,2.9130819637,81.2291692098,"L4tg"
"166",3.3085483333,-41.2708358765,3.3071233333,41.8333346049,82.625,3.30671,-31.8958352407,3.3541266667,-51.0937525431,2.7333353755,83.1041704814,"L4tg"
"167",4.95288,-46.4166692098,4.9498733333,37.6354179382,123.70833079,4.94944,-34.2916679382,4.9754933333,-57.7916666667,3.4650382421,84.052087148,"L4tg"
"168",2.250925,-46.1458358765,2.2487683333,25.7395839691,56.2083320618,2.2483066667,-35.7291666667,2.2772166667,-51.5937512716,3.0310968526,71.8854198456,"L4tg"
"169",3.5965133333,-43.46875,3.5947266667,37.0416679382,89.875,3.5941933333,-31.5208352407,3.6188466667,-50.8333358765,2.5100327099,80.5104179382,"L4tg"
"170",5.70468,-51.1562525431,5.70239,33.4375012716,142.583335877,5.7020216667,-34.0104166667,5.717875,-55.3229192098,3.3084248901,84.5937538147,"L4tg"
"172",2.0484725,-48.0781269073,2.0465925,47.3437538147,51.1249980927,2.0461925,-36.2968769073,2.0778725,-54.6093788147,3.0715055511,95.421880722,"L4tg"
"173",3.00341,-50.4687512716,3.00173,43.1770846049,75.0416666667,3.00127,-38.3333346049,3.0356233333,-54.8541666667,2.979551254,93.6458358765,"L4tg"
"176",3.73336,-48.6041666667,3.7314716667,41.4687525431,93.2916666667,3.731035,-35.125,3.7542966667,-53.8125012716,3.0654555121,90.0729192098,"L4tg"
"177",2.375995,-48.6250038147,2.372885,37.7812538147,59.2499923706,2.372435,-37,2.407275,-56.0625,3.4785479582,86.4062576294,"L4tg"
"178",3.5675833333,-52.1041704814,3.565665,45.427087148,89.125,3.5652383333,-36.1041679382,3.59466,-53.3229179382,3.637358464,97.5312576294,"L4tg"
"181",4.7220616667,-50.583337148,4.720225,44.46875,118,4.7198066667,-36.2083358765,4.744625,-54.052087148,3.3855041059,95.052087148,"L4tg"
"184",2.8466266667,-44.8229192098,2.843725,24.4375006358,71.125,2.8431466667,-34.5312525431,2.8726783333,-50.020837148,2.9184865569,69.2604198456,"L4tg"
"185",2.7906166667,-52.4270858765,2.7871683333,35.5104179382,69.7083333333,2.7866633333,-41.3645858765,2.8191183333,-58.5833358765,3.8118548296,87.9375038147,"L4tg"
"186",3.3436216667,-54.7395858765,3.3419383333,43.2604192098,83.5,3.3415366667,-34.7916666667,3.3612533333,-57.3437512716,3.2178108599,98.0000050863,"L4tg"
"187",10.7986733333,-44.6458346049,10.7955933333,35.0000038147,269.875,10.7950333333,-36.7083333333,10.81922,-50.8020846049,3.5673791576,79.6458384196,"L4tg"
"188",2.0167533333,-57.6145858765,2.01378,32.6458339691,50.3749987284,2.0132833333,-45.1562538147,2.0487783333,-63.9270858765,3.8541022088,90.2604198456,"L4tg"
"189",3.891585,-50.4375038147,3.88893,45.84375,97.25,3.88854,-36.375,3.905565,-56.46875,3.6081792418,96.2812538147,"L4tg"
