"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"507",6.3663616667,-56.5937512716,6.3645683333,26.666668574,159.125,6.3641483333,-36.5104166667,6.3708133333,-58.3645858765,2.4048424657,83.2604198456,"Htr3a-Cre_NO152"
"513",1.10318,-53.6041704814,1.10144,39.3229179382,27.5416666667,1.1010333333,-38.864587148,1.1192066667,-58.0625025431,3.1951699454,92.9270884196,"Vip"
"519",1.630205,-60.458337148,1.6291533333,37.8020846049,40.75,1.6287016667,-42.0208333333,1.6303116667,-60.583337148,1.70947778,98.2604217529,"Sst-IRES-Cre"
"560",12.7787333333,-48.7395833333,12.7753866667,18.916668574,319.375,12.7749133333,-38.5937525431,12.7834333333,-51.3750025431,3.5704344126,67.6562519073,"Vip"
"582",11.0095783333,-54.3020858765,11.0084666667,17.0625009537,275.208333333,11.00793,-35.4062525431,11.0096166667,-54.333337148,1.2081490857,71.3645868302,"Sst-IRES-Cre"
"603",14.36881,-60.7083358765,14.3681466667,9.8541669846,359.208333333,14.3678,-33.8333346049,14.368845,-60.802087148,0.9871237677,70.5625028611,"Pvalb-IRES-Cre"
"610",7.5178483333,-62.4375038147,7.5171633333,19.0625012716,187.875,7.5168433333,-41.1666679382,7.5178883333,-62.520837148,1.1771167678,81.5000050863,"Pvalb-IRES-Cre"
"617",11.20719,-56.708337148,11.2065716667,20.9687512716,280.166666667,11.206295,-30.5520846049,11.20725,-56.8125038147,1.1917474577,77.6770884196,"Htr3a-Cre_NO152"
"625",22.2290283333,-56.4687538147,22.2282616667,4.645833532,555.708312988,22.2279183333,-29.4479179382,22.2290383333,-56.5104204814,0.9596499628,61.1145873467,"Pvalb-IRES-Cre"
"637",11.5774166667,-53.2604192098,11.57662,18.8125,289.375,11.576275,-30.9479173024,11.57754,-53.4687525431,1.2504334035,72.0729192098,"Pvalb-IRES-Cre"
"640",2.6347133333,-63.8229179382,2.6339133333,35.625,65.7916666667,2.63354,-36.7604192098,2.6347583333,-63.9375,1.3401802686,99.4479179382,"Sst-IRES-Cre"
"644",3.8701466667,-61.5833358765,3.86876,37.9479192098,96.7083333333,3.86836,-41.708337148,3.8703966667,-61.8854204814,2.4402651721,99.5312550863,"Sst-IRES-Cre"
"654",10.96376,-57.3229166667,10.963005,10.0000003179,274.083333333,10.9626983333,-32.1666673024,10.9638516667,-57.4583346049,1.169867457,67.3229169846,"Pvalb-IRES-Cre"
"661",7.406665,-54.9687525431,7.4059216667,34.7395846049,185.125,7.4056016667,-30.1979173024,7.4067233333,-55.0833346049,1.4627381694,89.708337148,"Pvalb-IRES-Cre"
"673",10.6831883333,-57.3541704814,10.68227,6.0104168455,267.04166158,10.6818883333,-30.8645846049,10.68326,-57.4791692098,0.9813387005,63.3645873269,"Pvalb-IRES-Cre"
"676",4.58689,-53.427087148,4.5858633333,19.7604166667,114.666666667,4.58548,-36.8541679382,4.5869666667,-53.552087148,1.6076182326,73.1875038147,"Htr3a-Cre_NO152"
"692",15.079075,-52.3229204814,15.0779333333,5.0520833333,376.958323161,15.07748,-27.7708339691,15.0793183333,-52.5416692098,1.0586477038,57.3750038147,"Pvalb-IRES-Cre"
"696",1.1628675,-54.2500038147,1.1615825,27.7812509537,29,1.161025,-46.7500019073,1.1964,-55.1406269073,2.0264474197,82.0312547684,"Sst-IRES-Cre"
"706",7.763055,-55.770837148,7.7587666667,14.5104176203,193.916666667,7.7583216667,-35.9583346049,7.7677383333,-58.0208346049,3.3174060475,70.2812547683,"Htr3a-Cre_NO152"
"711",3.9243866667,-44.9583346049,3.92264,36.6458346049,98.125,3.9222266667,-36.3020858765,3.9362866667,-48.8645858765,3.8211710893,81.6041692098,"Htr3a-Cre_NO152"
"733",7.55248,-53.8125038147,7.55153,-0.9375000596,188.75,7.55103,-32.21875,7.552535,-53.9375038147,0.7245818994,52.8750037551,"Pvalb-IRES-Cre"
"783",6.75717,-50.0156288147,6.75445,22.03125,168.8125,6.75394,-35.4531288147,6.75973,-51.3593769073,2.9004977677,72.0468788147,"Ndnf-IRES2-dgCre"
"797",11.5541366667,-57.3229204814,11.55346,8.4895839691,288.833333333,11.5531116667,-34.8437512716,11.554195,-57.4166679382,1.0366633378,65.8125044505,"Pvalb-IRES-Cre"
"801",1.23154,-54.2187538147,1.22914,26.5000019073,30.75,1.22862,-38.2500038147,1.23328,-55.03125,2.828300996,80.718755722,"Vip"
"808",4.5963133333,-49.5937538147,4.5946,24.0104173024,114.875002543,4.5941666667,-36.5312525431,4.5976,-50.3958346049,2.5119614209,73.6041711171,"Chrna2-Cre_OE25"
"810",9.5567016667,-61.2812512716,9.5559133333,15.3645839691,238.875,9.5555983333,-32.3333346049,9.5567533333,-61.3958333333,1.1896774851,76.6458352407,"Pvalb-IRES-Cre"
"814",4.05427,-58.5312519073,4.0532875,34.1093769073,101.3125,4.052895,-42.859375,4.0543625,-58.6562519073,1.927138885,92.6406288146,"Htr3a-Cre_NO152"
"817",1.1626266667,-56.9687538147,1.1614666667,27.8958352407,29.0416673024,1.1609466667,-40.8125025431,1.1626866667,-57.0312538147,1.589541691,84.8645890554,"Chrna2-Cre_OE25"
"818",7.20947,-58.4166704814,7.2086916667,41.9895846049,180.208328247,7.2083533333,-42.1875012716,7.2094966667,-58.4791704814,1.6845731865,100.406255086,"Sst-IRES-Cre"
"831",2.7402733333,-52.2395846049,2.7371883333,25.2812512716,68.4166666667,2.7367366667,-38.2083333333,2.7467383333,-55.8854204814,3.1997029949,77.5208358765,"Htr3a-Cre_NO152"
"835",1.6131666667,-60.645837148,1.6116933333,42.9062512716,40.2083333333,1.61118,-41.4895846049,1.61326,-60.7500025431,2.2665390517,103.55208842,"Sst-IRES-Cre"
"882",5.2831566667,-57.5729192098,5.282125,36.7083333333,132.041666667,5.281745,-42.0729179382,5.283235,-57.6979179382,1.9804836621,94.2812525431,"Sst-IRES-Cre"
"892",10.5001,-49.9062525431,10.4976933333,25.4166679382,262.458333333,10.4972266667,-33.0416666667,10.5013,-50.6458358765,3.1367400564,75.3229204813,"Ndnf-IRES2-dgCre"
"897",12.1193133333,-53.53125,12.1181566667,15.0625009537,302.958333333,12.117785,-32.0416666667,12.1195616667,-53.75,1.5310652563,68.5937509537,"Pvalb-IRES-Cre"
"900",1.0301383333,-56.5520846049,1.0290333333,34.5000012716,25.7083333333,1.0284983333,-39.1770846049,1.030175,-56.6562512716,1.5148494313,91.0520858765,"Gad2-IRES-Cre"
"912",1.95068,-50.2500025431,1.9495066667,29.3750019073,48.7083333333,1.9490266667,-39.0937512716,1.9507466667,-50.3541704814,1.7564811009,79.6250044504,"Chrna2-Cre_OE25"
"916",7.5025183333,-60.5208333333,7.5015233333,27.5520833333,187.5,7.5011533333,-38.625,7.5026266667,-60.6979179382,1.6356829455,88.0729166666,"Sst-IRES-Cre"
"922",3.6777375,-50.96875,3.6768,31.468752861,91.875,3.6764475,-32.625,3.6777625,-51.0156269073,1.8135963864,82.437502861,"Htr3a-Cre_NO152"
