"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"485",5.564,-53.1937515259,3.572,47.4062515259,380,3.108,-44.9062515259,97.08,-66.4312530518,3.7130267253,100.600003052,"Rbp4-Cre_KL100"
"488",4.9,-54.6875019073,3.46,37.6718769073,670,3.06,-48.21875,410.24,-81.703125,3.4335263021,92.3593788146,"Nr5a1_Scnn1a"
"491",5.5625,-47.3541692098,3.4941667,34.4270852407,256.666666667,3.0575,-42.9270839691,641.8591667,-73.7187525431,4.1110491571,81.7812544505,"Cux_Slc17"
"500",5.845,-59.007815361,3.395,34.1171894073,390,2.9775,-51.5468788147,546.54875,-83.976568222,4.2220604568,93.1250047683,"Rorb-IRES2-Cre"
"505",4.794,-53.1187515259,3.359,45.6250022888,690,3.021,-48.0500007629,698.274,-75.775,3.6069302959,98.7437538147,"Nr5a1_Scnn1a"
"509",4.8525,-51.0156288147,3.4025,43.3437509537,720,3.06375,-45.3046913147,538.0525,-77.335943222,3.7800612393,94.3593797684,"Rorb-IRES2-Cre"
"517",4.651,-53.8812515259,3.147,33.3062534332,352,2.756,-43.1062515259,373.486,-67.7812530518,2.7954586564,87.1875049591,"Nr5a1_Scnn1a"
"549",4.719,-51.0500022888,3.34,44.5062522888,810.000061035,3.004,-43.2375015259,86.155,-69.2750015259,3.0168878114,95.5562545776,"Rbp4-Cre_KL100"
"550",4.82,-52.4062530518,3.142,31.3750011444,830,2.717,-40.0562522888,284.073,-73.2812515259,2.6311666795,83.7812541962,"Rbp4-Cre_KL100"
"598",6.28,-53.4687538147,3.66,21.5625019073,520,3.14,-31.2812519073,89.68,-72.5625,1.9356677665,75.031255722,"Ntsr1-Cre_GN220"
"615",5.096,-53.2125022888,3.478,39.3187522888,1270,3.063,-55.1500030518,61.312,-78.1000015259,3.3257527988,92.5312545776,"Rbp4-Cre_KL100"
"628",5.3,-54.5000012716,3.6133333,35.0260416667,670,3.1708333,-49.744793574,535.8566667,-80.7604192098,3.5666643831,89.5260429383,"Nr5a1_Scnn1a"
"653",5.215,-51.3177083333,3.39,45.2343762716,630,2.9633333,-44.5729173024,362.5608333,-75.4062512716,4.0443060928,96.5520846049,"Nr5a1_Scnn1a"
"655",5.43375,-56.390627861,3.51125,33.4140634537,650,3.07125,-46.9296884537,87.60875,-73.6250038147,2.5426988156,89.8046913147,"Ntsr1-Cre_GN220"
"665",5.9716667,-52.2604179382,3.38,52.0520858765,720,2.995,-45.8541704814,655.6633333,-76.0416717529,5.2347129432,104.312503815,"Nr5a1_Scnn1a"
"672",5.108,-51.10625,3.386,31.6500015259,570,3.013,-39.6562522888,83.41,-72.0125045776,2.5570341182,82.7562515259,"Ntsr1-Cre_GN220"
