"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"421",0.1506819303,117.956666667,0.1045454588,0.059775,128.90625,0.0993512869,26.2819927496,-73.0203781128,8.47768954701,102.24,-45.03125,98.16,22.0312519073,130,97.64,-34.4062538147,137.61,-53.71875,2.893732392,67.0625019073,"Nr5a1_Scnn1a"
"447",0.027104301,48.5865789474,0.3163556531,0.02448,339.062571526,0.0973013043,24.8041949599,-67.7243728638,20.5818154244,127.535,-48.0625038147,125.39,31.7500019073,40,124.935,-38.9375,171.365,-54.5937538147,2.6642604896,79.812505722,"Rbp4-Cre_KL100"
"453",0.000475832,75.3683333333,0.2374733939,0.051065,137.812420726,0.17492643,20.3768973721,-68.4113006592,13.2681718671,801.585,-51.6875,800,50.71875,70,799.54,-46.34375,868.4,-57.3750038147,3.1639470906,102.40625,"Rbp4-Cre_KL100"
"459",0.0339882254,69.7319230769,0.2477272727,0.05479,245.55298686,0.0131556671,22.9289414375,-82.9349517822,14.340634187,149.665,-55.5312538147,147.735,40.59375,50,147.315,-45.53125,167.02,-60.6562538147,3.9751213548,96.1250038147,"Cux_Slc17"
"467",0.1172673005,67.9033333333,0.2026515146,0.033955,136.250078678,0.0068409266,21.2313732994,-70.2135238647,14.7268175347,68.835,-48.78125,66.475,32.1875,210,66.03,-33.9375,78.495,-51.21875,3.2667529774,80.96875,"Nr5a1_Scnn1a"
"485",0.0309422389,186.84,0.2858452959,0.07432,162.968754768,0.0657943487,13.6846137598,-66.1220245361,5.35217298223,198.48,-51.5000038147,196.5,47.6875,70,195.96,-44.125,222.42,-55.0000038147,3.4285926674,99.1875038147,"Rbp4-Cre_KL100"
"488",0.0121176655,49.1368421053,0.2073033708,0.05534,187.656283379,0.0240895767,21.236039382,-80.8980407715,20.3513281919,170.36,-51.7187538147,168.76,39.2187538147,70,168.3,-41.3125,192.4,-54.2812538147,3.1652918675,90.9375076294,"Nr5a1_Scnn1a"
"491",0.0744861953,97.8427777778,0.2,0.0464,170.781180263,0.0273176432,20.0068022966,-72.5783004761,10.2204784319,100.275,-45.4375038147,97.37,34.15625,90,96.855,-34.625,126.3,-49.5000038147,3.7953221718,79.5937538147,"Cux_Slc17"
"500",0.1436420944,90.0285714286,0.2123417656,0.02079,146.874994039,0.0278807431,16.9137772983,-82.7248153687,11.1075848937,89.095,-53.59375,85.695,28.2812519073,209.999984741,85.14,-39.0625,103.46,-57.2812538147,3.5836123272,81.8750019073,"Rorb-IRES2-Cre"
"505",1,1000,0.1126488154,0.04828,197.812452912,0.0260047987,29.1357366417,-75.0118560791,1,109.245,-50.0312538147,107.16,42.4375,110,106.76,-37.9375,486.64,-53.9375038147,3.2932411812,92.4687538147,"Nr5a1_Scnn1a"
