"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","binary_neuron"
"49",1,1000,0.1222165554,0.1058,153.437465429,0.0041912519,27.5812462127,-75.4887542725,1,157.08,-48.25,154.84,36.2500038147,110,154.38,-38.6875,184.86,-56.2187538147,3.7715877618,84.5000038147,"Excitatory"
"51",0.0868781787,101.536111111,0.1365522202,0.05453,118.080377579,0.0944587663,16.1776718329,-68.4131774902,9.84871282795,255.455,-44.96875,253.605,30.8125019073,50,253.13,-40.8125038147,423.175,-56.3437538147,2.9693590104,75.7812519073,"Excitatory"
"53",-0.0453611792,83.9513636364,0.2767352379,0.063285,96.2498858571,0.1156082377,5.9953477945,-73.3089828491,11.9116588068,666.8,-50.6875038147,663.24,21.375,230,662.775,-34.59375,670.635,-52.71875,2.948517225,72.0625038147,"Inhibitory"
"55",1,42.005,0.0666666698,0.0329,173.995539546,0.0387143195,15.0959429687,-75.2556762695,23.8066896798,161.825,-48.4375038147,160.015,27.125,130,159.51,-48.5625,182.945,-51.5625038147,2.9083137042,75.5625038147,"Excitatory"
"56",0.0182063106,52.8905555556,0.1994126394,0.03879,342.343896627,0.0631874278,29.6373642885,-71.8004760742,18.9069672174,90.7,-47.0000038147,88.67,24.25,50,88.095,-37.40625,113.555,-51.1562538147,2.6471854084,71.2500038147,"Excitatory"
"57",0.0200593683,61.381,0.1996212208,0.044355,178.28117311,0.0534816235,18.6733564981,-79.4305877686,16.2916863525,98.42,-48.34375,95.56,33.8125,90,95.1,-34.9687538147,119.46,-54.40625,3.3345517426,82.15625,"Excitatory"
"58",0.1004902901,80.4504545455,0.2221446793,0.049,197.812542319,0.0240997374,22.8412526885,-81.9204101563,12.4300105655,106.865,-43.6562538147,104.815,26.1875019073,90,104.285,-39.1875038147,117.835,-44.28125,3.2999292534,69.843755722,"Excitatory"
"59",1,1000,0.1020366672,0.08209,145.156219602,0.0200218763,16.3408782644,-81.0480804443,1,120.28,-42.7187538147,117.125,40.5,150,116.685,-32.6875,140.08,-47.5000038147,3.6589712908,83.2187538147,"Excitatory"
"60",0.0265356304,97.82,0.1157142857,0.073615,116.718634963,0.1015481055,23.4320063155,-73.244430542,10.2228583112,130.01,-44.75,126.05,24.84375,130,125.605,-34.9687538147,165.08,-54.0312538147,3.116701594,69.59375,"Excitatory"
"63",0.0411127832,126.037142857,0.1864341227,0.08262,114.375077188,0.0083082104,16.7570747806,-74.8086242676,7.93416906581,141.98,-43.375,139.66,38.5625038147,110,139.12,-35.34375,169.1,-48.4375038147,3.4161073918,81.9375038147,"Excitatory"
"64",0.0319007384,68.1142857143,0.2767857143,0.02318,381.116092205,0.0323237255,37.5600806138,-61.2463378906,14.6812080537,62.82,-48.4375038147,59.84,27.6562519073,50,59.28,-35.1250038147,75.44,-52.9375038147,2.4101321443,76.093755722,"Inhibitory"
"65",0.012016623,25.8751351351,0.4754385998,0.011025,429.464250803,0.0329337977,47.3079940834,-61.4177131653,38.6471411561,127.18,-52.3125,126.16,10.7812509537,10,125.77,-44.65625,145.36,-55.4062538147,1.8165165381,63.0937509537,"Inhibitory"
"66",0.0313114025,43.6734090909,0.4428571429,0.02949,274.062603712,0.0039073336,28.0869513051,-64.5871353149,22.8972278743,111.345,-39.875,108.695,14.375,50,108.05,-37.09375,159.765,-46.5,2.7535484331,54.25,"Inhibitory"
"67",1,42.315,0.0509680838,0.03385,86.249999702,0.0111183869,13.7658263198,-74.0055999756,23.6322816968,74.18,-44.6875038147,69.39,21.25,230,68.775,-28.0937519073,84.41,-49.6875,2.9211096496,65.9375038147,"Excitatory"
"68",0.0048987382,34.1567857143,0.5352867133,0.014115,182.500004768,0.1197708249,10.9378135591,-71.7014846802,29.276759481,101.335,-65.46875,100.26,22.53125,100,99.9,-45.53125,101.475,-65.7187576294,1.7103609361,88,"Inhibitory"
"69",0.0584582705,74.53,0.2107579462,0.05854,200.468793511,0.0824973285,83.6099317423,-67.3841094971,13.4174158057,428.28,-46.8437538147,425.32,35.40625,70,424.84,-38.03125,451.66,-54.2812538147,3.6975132356,82.2500038147,"Excitatory"
"70",0.0455503957,94.072,0.2083333387,0.05872,149.151861668,0.1280240119,11.782991498,-73.0108566284,10.6301556255,253.52,-52.5000038147,251.62,46.5,150,251.18,-34.0312538147,259.72,-53.03125,2.8329930535,99.0000038147,"Excitatory"
"71",-0.0168356848,51.3175,0.2532188891,0.14006,179.531320929,0.0298339929,19.1539949988,-67.0462722778,19.4865299362,510.66,-53.6562538147,507.7,26.5000019073,110,507.22,-37.09375,512.54,-54.5000038147,3.277697075,80.156255722,"Inhibitory"
"74",0.0287648843,49.6315789474,0.1913333333,0.02754,270.312130451,0.0580473505,26.3619109762,-78.7274246216,20.1484623542,74.48,-48.96875,71.68,35.875,70,71.18,-40.5,92.42,-53.7187538147,3.4984139427,84.84375,"Inhibitory"
"75",0.0970336485,106.3575,0.0353070147,0.058835,189.374998212,0.1132833511,21.2956678418,-72.2372360229,9.40225183932,89.405,-49.0312538147,85.395,46.2812538147,130,84.985,-36.03125,110.87,-53.6250038147,4.957589516,95.3125076294,"Excitatory"
"77",0.1291978713,50.5925,0.1235294036,0.03008,124.062463641,0.0150359999,17.1659822889,-80.3704452515,19.7657755596,61.785,-49.6562538147,57.925,29.59375,190,57.37,-37.5,74.28,-54.1875038147,3.8895726102,79.2500038147,"Excitatory"
"78",-0.0099461747,70.8661538462,0.1915019763,0.04966,84.3750014901,0.0581761338,5.87087504062,-75.4689025879,14.1111086989,838.68,-54.40625,834.28,28.3437519073,290,833.88,-32.9687538147,841.7,-55.8750038147,4.3216035135,82.7500019073,"Inhibitory"
"80",0.0161224236,27.0981818182,0.4368303571,0.01316,258.593797684,0.1468254179,12.8784298339,-75.1858596802,36.9028448738,30.46,-49.625,28.92,18.5625019073,90,28.56,-40.1875,30.5,-49.6875,2.6421826655,68.1875019073,"Inhibitory"
"82",1,21.405,0.0382275144,0.019825,233.816966415,0.0327632576,19.1087142287,-69.3228683472,46.7180565288,64.25,-58.625,63.315,32.15625,90,62.975,-41.9375,64.285,-58.6875038147,1.7674112725,90.78125,"Inhibitory"
"84",0.0490471432,78.3515,0.2499999873,0.04684,122.812502086,0.0203067642,17.4061718583,-80.4940795898,12.7629975176,113.4,-49.3125038147,108.615,25.15625,230,107.945,-38.28125,126.23,-52.8125,3.7172731639,74.4687538147,"Excitatory"
"85",1,1000,0.01461039,0.02006,194.218784571,0.1414680332,17.9649075208,-77.8036346436,1,44.94,-43.40625,42.88,28.1875019073,190,42.26,-29.2187519073,797.86,-46.65625,2.1574245857,71.5937519073,"Excitatory"
"86",0.0143715438,52.5841666667,0.4410714286,0.04234,244.37507987,0.1483722031,22.7164448129,-72.7958526611,19.0171312657,114.075,-53.4062538147,112.825,17,70,112.38,-35.5,114.235,-53.59375,1.5819948547,70.4062538147,"Inhibitory"
"87",0.0640748559,98.0666666667,0.179113936,0.061335,208.906248212,0.0733392835,27.6165733133,-72.9885177612,10.1971447995,160.315,-47.5937538147,155.715,35.6250038147,70,155.15,-37.40625,204.55,-53.6562538147,4.1967505762,83.2187576294,"Excitatory"
"89",0.227778151,72.46,0.0696428441,0.024765,109.218865633,0.0487773642,13.2480858952,-69.3731918335,13.8007176373,89.16,-50.2812538147,87.395,41.1250038147,170,86.97,-39.1250038147,109.015,-53.84375,3.2390660332,91.4062576294,"Excitatory"
"90",0.0030900005,14.2991304348,0.3858872104,0.008155,82.5000405312,0.0312513895,7.87073364991,-69.6435470581,69.9343225492,13.17,-54.46875,12.375,16.6875019073,390,12.08,-34.6875,13.275,-54.6875038147,1.4003167676,71.1562519073,"Inhibitory"
"91",1,1000,0.1299973091,0.00522,100.000038743,0.0120830201,8.48381375018,-57.3023872375,1,15.295,-51.9687538147,13.185,31.0000019073,140,12.705,-42.65625,15.605,-52.25,2.7462963644,82.968755722,"Excitatory"
"92",0.0043030781,76.96625,0.1209645684,0.031065,106.25000298,0.0707838535,5.70490916622,-73.8230819702,12.9927078427,105.92,-58.0937538147,100.345,17,160,99.98,-34.875,110.915,-60.5937538147,3.3410425561,75.0937538147,"Inhibitory"
"93",0.0752613537,109.455,0.1596650892,0.064345,233.281329274,0.1183055267,30.4840765486,-73.0314865112,9.13617468366,182.305,-46.0625038147,179.685,46.03125,50,179.225,-37.40625,255.735,-55.6875038147,3.6236248733,92.0937538147,"Excitatory"
"96",0.0083711584,138.005,0.1679961244,0.05319,85.9374776483,0.1082189828,10.9784275589,-70.4233016968,7.24611427122,87.815,-50.34375,85.79,37.7812538147,130,85.39,-42.03125,119.105,-58.21875,3.5580965198,88.1250038147,"Excitatory"
"97",0.0201171852,65.7785714286,0.1890661903,0.05602,148.437619209,0.0588746518,18.8904002954,-78.7241210938,15.2025192746,539.56,-52.6562538147,536.56,37.0625038147,59.9999961853,535.98,-41.0312538147,606.66,-62.375,3.685256854,89.7187576294,"Excitatory"
"98",0.5957585165,293.97,0.2038612644,0.02812,248.125046492,0.178474471,22.1116708312,-72.4742507935,3.40170765724,63.9,-46.6875038147,61.37,37.25,90,60.745,-37,73.475,-48.4687538147,2.754261032,83.9375038147,"Excitatory"
"99",0.0187310267,49.4557894737,0.2459748145,0.03755,195.937529206,0.0292322263,21.92828359,-78.8551330566,20.2200796033,399.255,-54.3125,397.325,39.625,50,396.83,-41.5000038147,440.715,-61.1875038147,3.3482350151,93.9375,"Excitatory"
"100",0.0084344899,36.0992592593,0.4800000127,0.01428,134.843826294,0.0294129495,9.04232449491,-72.8857345581,27.7013994336,27.64,-47.4375038147,26.02,25,190,25.64,-31.5937519073,29.16,-48.0625038147,2.7806876741,72.4375038147,"Inhibitory"
"101",0.1864363974,133.743333333,0.1182619205,0.04158,154.218822718,0.1746139079,22.5543011985,-66.1993484497,7.47700819979,96.105,-42.0937538147,94.44,37.8125,70,94.035,-40.1562538147,96.235,-42.28125,3.345482063,79.9062538147,"Excitatory"
"104",0.0025449441,8.3008888889,1.3648704244,0.004955,105.156250298,0.0280808564,7.76872792077,-74.0991973877,120.469026075,9.525,-65.15625,8.965,25.5000019073,370,8.68,-34.71875,9.55,-65.28125,1.1571953402,90.6562519073,"Inhibitory"
"105",0.1333969544,101.475,0.1331168831,0.03402,312.187582254,0.0285992902,42.0455727007,-61.9263076782,9.85464400099,99.84,-45.53125,97.16,33.5,50,96.58,-34.53125,122.44,-53.1562538147,2.4494800266,79.03125,"Inhibitory"
"106",0.015226471,85.318,0.1594293135,0.06217,91.2500023842,0.0420052446,14.5823818029,-78.7921066284,11.7208560913,191.19,-43.1250038147,187.475,35.6875038147,209.999984741,187.025,-39.71875,232.915,-52.5312538147,3.9278155439,78.8125076294,"Excitatory"
"108",0.0506358445,94.6985,0.1945093458,0.03979,183.750033379,0.0408375636,19.4523683516,-78.2534942627,10.5598293532,98.24,-46.46875,95.335,35.4375038147,70,94.88,-36.7187538147,127.44,-56.8125038147,3.7967368985,81.9062538147,"Excitatory"
"109",0.0306957107,71.0076923077,0.3006976744,0.036845,211.874991655,0.2592666149,23.5101665142,-70.3972854614,14.0829812588,127.94,-50.71875,126.86,36.59375,90,126.51,-42.4687538147,155.04,-54.15625,2.2056403643,87.3125,"Inhibitory"
"112",0.2219406227,55.24,0.194525554,0.03324,132.656246424,0.1843403727,19.5277364589,-73.6015090942,18.1028240406,44.62,-64.96875,43.72,30.7812519073,170,43.34,-46.1562538147,44.68,-65.0000076294,1.9211690004,95.7500019073,"Inhibitory"
"113",0.0278465493,151.652,0.1074452029,0.08578,99.06257689,0.0279425401,18.6710725472,-75.1433410645,6.59404425923,261.2,-49.4062538147,257.04,40.03125,130,256.48,-39.7500038147,307,-57.59375,4.0615370028,89.4375038147,"Excitatory"
"114",0.0246543952,73.405,0.1733333453,0.07042,150.468826294,0.0630087703,18.7585611336,-74.7002639771,13.6230502009,409.86,-50.71875,405.74,35.34375,110,405.24,-43.9062538147,447.78,-58.4062538147,4.7614168323,86.0625,"Excitatory"
"115",0.288858289,147.79,0.1621387283,0.01549,58.2812875509,0.0498790592,17.0602466832,-63.5755844116,6.76635766967,31.765,-49.1875,26.835,33,190,26.235,-40.34375,37.575,-50.875,5.2611661773,82.1875,"Excitatory"
"116",0.0127354028,46.165,0.2849806132,0.05064,189.107134938,0.0259323791,22.8357900394,-77.3416595459,21.6614318206,206.32,-48.5,204.51,31.6875019073,59.9999961853,204.04,-39.4375038147,243.295,-55.15625,2.937839269,80.1875019073,"Excitatory"
"117",0.0031204628,30.7588333333,0.4130952574,0.048925,181.874960661,0.1247264445,12.1855588782,-79.635635376,32.5109860041,135.535,-58.15625,133.9,0.84375,130,133.5,-36.46875,137.04,-58.6875,1.663913212,59,"Inhibitory"
"118",0.0145937569,63.3460714286,0.1823616584,0.06211,210.624992847,0.2835232019,25.0833391584,-68.5026245117,15.7862986204,482.145,-48.96875,479.03,36.0625,59.9999961853,478.4,-38.5625038147,529.615,-54.71875,3.3291524076,85.03125,"Excitatory"
"119",0.0135167677,56.1635294118,0.2239130435,0.04022,217.187687755,0.0523097552,25.8783158023,-70.7851715088,17.8051488301,233.94,-48.5625,230.92,44.125,50,230.48,-33.6875038147,258.52,-56.46875,3.8047895317,92.6875,"Excitatory"
"120",0.274982113,41.93,0.0192418887,0.02564,174.374997616,0.0474362895,11.7746910685,-73.5498428345,23.8492725972,214.58,-44.3750038147,212.52,32.7500038147,50,212.06,-37.0312538147,311.42,-51.8750038147,3.3627786398,77.1250076294,"Inhibitory"
"121",1,1000,0.0067287786,0.01486,239.687502384,0.0489184335,12.5838858687,-73.0588912964,1,44.96,-44.3750038147,43.24,22.4375019073,90,42.76,-35.40625,80.78,-45.375,2.6704405879,66.812505722,"Inhibitory"
"123",0.0180185396,46.556,0.2642649763,0.035175,212.031289935,0.0468316674,26.5532295727,-73.9191589355,21.4795085488,210.72,-47.5937538147,208.6,38.4687538147,70,208.2,-36.0937538147,233.81,-55.4687538147,3.0987129734,86.0625076294,"Excitatory"
"124",0.0362674315,62.1703333333,0.2393501805,0.02706,162.812381983,0.1168040186,19.4287140851,-73.9795761108,16.0848421809,54.79,-46.4375,52.995,36.375,150,52.59,-34.625,64.44,-49.21875,2.7614619912,82.8125,"Excitatory"
"125",0.0739083083,84.3431818182,0.1222350312,0.03987,250.468790531,0.154492259,31.2870282241,-66.1167221069,11.8563229231,125.775,-44.8125,123.875,47.125,80,123.395,-35.3125,170.79,-50.25,2.9269439263,91.9375,"Excitatory"
"126",0.0795338249,110.256,0.1124999898,0.058305,160.000115633,0.0200274847,26.7912492393,-77.0050354004,9.06980118996,103.885,-46.4375,99.275,24.53125,209.999984741,98.755,-33.6250038147,120.605,-51.7812538147,4.1556621666,70.96875,"Excitatory"
"127",1,58.92,0.3183035506,0.011105,109.843753278,0.0612884201,10.1563605231,-67.147102356,16.9721656483,55.66,-47.2500038147,53.32,18.6875019073,310,52.935,-32.375,56.705,-47.9062538147,3.2224068912,65.937505722,"Inhibitory"
"129",0.0027568738,12.5740384615,0.8245761459,0.00759,103.90625149,0.0919351429,4.88846495921,-72.3729629517,79.5289439476,9.555,-60.5,8.66,13.03125,249.999984741,8.32,-42.09375,9.59,-60.53125,1.55732838,73.53125,"Excitatory"
"130",-0.0012323296,329.985,1.4744317463,0.004995,122.187457979,0.0110582625,6.63818967454,-75.7397460938,3.03044077761,8.535,-68.5625,7.85,27.28125,249.999984741,7.515,-48.1250038147,8.55,-68.65625,1.3163180857,95.84375,"Inhibitory"
"131",0.0233020465,56.7364705882,0.1868292785,0.029705,136.718794704,0.0877228975,15.9611719901,-61.491153717,17.625347323,136.78,-47.2812538147,134.755,46.03125,70,134.35,-37.3750038147,167.77,-53.7812538147,3.5390984523,93.3125038147,"Excitatory"
"132",0.0229875044,43.2695454545,0.27609375,0.03684,180.625006557,0.042949032,17.6546386112,-78.7545089722,23.1109430315,229.415,-48.8750038147,227.485,20.2812519073,50,227.01,-35.65625,329.965,-58.0937538147,2.2973004065,69.156255722,"Excitatory"
"135",0.0472376081,11.16875,1.4433650123,0.006105,81.2499970198,0.0091514885,22.5837160764,-74.6396560669,89.5355344152,9.68,-65.3125076294,9.03,16.5,290,8.75,-46.90625,9.69,-65.375,1.405709013,81.8125076294,"Inhibitory"
"137",0.0450018072,90.26,0.1723214377,0.04582,123.281359673,0.0316939764,12.7026528309,-85.1570739746,11.0791048083,109.69,-53.03125,107.78,33.15625,110,107.27,-45.28125,155.875,-59.09375,3.5244247946,86.1875,"Excitatory"
"138",0.2092551622,54.24,0.0526760563,0.035925,148.43736589,0.0466642976,16.4843420319,-76.7660217285,18.4365781711,65.835,-46.03125,63.655,37.0625,150,63.22,-35.03125,79.86,-50.09375,3.6308231029,83.09375,"Excitatory"
"139",1,83.18,0.1568855135,0.031845,145.624890924,0.0955294892,15.7585495358,-69.3971939087,12.0221207021,69.545,-47.2500038147,67.715,45.875,110,67.25,-35.1875,93.325,-53.7187538147,2.4844170064,93.1250038147,"Excitatory"
"140",0.0557216459,99.9033333333,0.1570340607,0.05736,170.312494039,0.0473887436,23.0778482023,-78.7213439941,10.0096760202,171.825,-47.75,169.375,40.25,110,168.97,-34.4062538147,199.855,-54.9062538147,2.8745506029,88,"Excitatory"
"141",0.000773381,8.9421818182,1.0749998436,0.01026,137.656286359,0.0748733133,9.40563043565,-76.361656189,111.829531129,59.645,-56.5937538147,58.895,8.03125,209.999984741,58.56,-37.15625,59.73,-56.7500038147,1.0731779011,64.6250038147,"Inhibitory"
"143",1,47.555,0.0405063291,0.03439,234.687611461,0.0607179217,23.6110219254,-76.8264770508,21.0282830407,60.785,-47.6562538147,58.795,29.8437519073,150,58.335,-32.84375,78.805,-51.0312538147,2.2906380048,77.500005722,"Excitatory"
"144",0.0094423485,29.113030303,0.0059782628,0.01362,491.874992847,0.0494608358,49.0479311567,-58.3895721436,34.3488805388,46.93,-55.28125,45.435,12.6875009537,29.9999980927,44.945,-40.84375,47.175,-55.5,1.6628376235,67.9687509537,"Inhibitory"
"145",-0.0119391019,6.8580555556,2.0156756696,0.006075,197.968780994,0.1219575554,9.1401258857,-72.2550735474,145.813925229,10.405,-59.8437538147,9.535,-0.65625,170,9.245,-44.40625,10.49,-60.0000038147,1.474850505,59.1875038147,"Inhibitory"
"146",0.0176063191,61.5173333333,0.1975795253,0.05122,191.093742847,0.1313373893,29.7536142466,-76.037902832,16.2555810828,309.58,-54.3125,305.76,28.3125,50,305.2,-45.4062538147,366.32,-62.5625038147,4.0739823915,82.625,"Excitatory"
