"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"794",11.4359516667,-38.75,11.4347683333,11.75,285.833333333,11.4331183333,-26.7604179382,11.4571166667,-44.1562525431,0.8501959439,50.5,"Ntsr1-Cre_GN220"
"795",1.4711766667,-49.2187512716,1.469345,35.4791679382,36.7083333333,1.4688716667,-35.4583346049,1.4864583333,-54.2604179382,2.7454538084,84.6979192098,"Rorb-IRES2-Cre"
"809",2.8102533333,-44.28125,2.8080083333,45.0000025431,70.2083333333,2.8075666667,-32.9062512716,2.8476216667,-52.7812525431,3.6179400134,89.2812525431,"Rorb-IRES2-Cre"
"827",2.0167533333,-57.6145858765,2.01378,32.6458339691,50.3749987284,2.0132833333,-45.1562538147,2.0487783333,-63.9270858765,3.8541022088,90.2604198456,"Rorb-IRES2-Cre"
"836",2.51325,-49.3750038147,2.51147,46.3593788147,62.75,2.51102,-36.09375,2.53983,-55.3281288147,3.3626453755,95.7343826294,"Rorb-IRES2-Cre"
"848",4.6236833333,-47.8020833333,4.6202483333,52.1041692098,115.54166921,4.6198883333,-36.2916692098,4.6697766667,-57.7604179382,4.9898331605,99.9062525431,"Nr5a1_Scnn1a"
"852",7.5936366667,-52.4687538147,7.5909483333,28.8958352407,189.75,7.590355,-36.7291679382,7.6027266667,-55.8958346049,2.107802073,81.3645890554,"Cux_Slc17"
"855",4.4515583333,-45.6041679382,4.449215,37.2395858765,111.20833079,4.4487816667,-31.8229198456,4.504495,-52.3125038147,3.7048887154,82.8437538147,"Nr5a1_Scnn1a"
"876",3.1926733333,-52.3958358765,3.1906466667,37.8437512716,79.7916666667,3.19022,-34.0312512716,3.20926,-58.8750038147,3.0071412807,90.2395871481,"Cux_Slc17"
"887",6.5634116667,-43.0208346049,6.56233,22.1458352407,164.041666667,6.5617883333,-27.53125,6.5803366667,-47.8854204814,1.5886530659,65.1666698456,"Ntsr1-Cre_GN220"
"899",5.3263416667,-47.114587148,5.3231533333,34.8437512716,133.041666667,5.3227283333,-35.2812525431,5.3745433333,-57.0625025431,3.7095965409,81.9583384196,"Cux_Slc17"
"909",1.037005,-49.4218769073,1.035605,55.8593769073,25.8750009537,1.0352125,-34.0312519073,1.03709,-49.5000038147,2.8834068486,105.281253815,"Rorb-IRES2-Cre"
"914",4.19642,-48.8750012716,4.1948266667,41.2708358765,104.833333333,4.19438,-33.2708333333,4.21824,-55.7604204814,2.754781675,90.1458371481,"Rorb-IRES2-Cre"
"927",4.020615,-43.8645833333,4.0188883333,39.4062538147,100.458335877,4.01844,-35.8645846049,4.0443116667,-50.4375025431,3.374628251,83.270837148,"Nr5a1_Scnn1a"
"929",3.97063,-50.2604192098,3.9688933333,35.1979192098,99.2083333333,3.968405,-36.8854179382,3.9901483333,-54.7395858765,2.633821389,85.4583384196,"Nr5a1_Scnn1a"
"932",1.5047533333,-52.114587148,1.5028733333,42.3645846049,37.5833333333,1.5024333333,-37.6875038147,1.5209866667,-56.7187538147,3.262995793,94.4791717529,"Cux_Slc17"
